Ticker,Country,Exchange,TurnoverMultiple
AALB,Netherlands,AS,3136.239935402
ACCEL,Netherlands,AS,253.8008997578
ACOMO,Netherlands,AS,386.3181451148
AGN,Netherlands,AS,33659.9183296805
AH,Netherlands,AS,21711.5865728458
AJAX,Netherlands,AS,1601.5503518284
AKZA,Netherlands,AS,40968.0470642519
AMG,Netherlands,AS,539.1173145692
AND,Netherlands,AS,35.3064944054
APAM,Netherlands,AS,10560.0166109124
ASM,Netherlands,AS,3854.6628215481
ASML,Netherlands,AS,43140.1213519437
ATRS,Netherlands,AS,70.4690275695
AXS,Netherlands,AS,393.5974160803
BAMNB,Netherlands,AS,4275.4089283654
BATEN,Netherlands,AS,59.7992848079
BBED,Netherlands,AS,190.4948667666
BBV,Netherlands,AS,2.4750259546
BESI,Netherlands,AS,692.9565117084
BINCK,Netherlands,AS,699.3101857192
BOKA,Netherlands,AS,8512.3119160226
CRBN,Netherlands,AS,1562.1861806437
CRYO,Netherlands,AS,40.2233244896
CTAC,Netherlands,AS,4.5495443534
DICO,Netherlands,AS,4.0678278925
DL,Netherlands,AS,6123.8952589687
DOCD,Netherlands,AS,52.4535701926
DPA,Netherlands,AS,102.1764909447
DSM,Netherlands,AS,33866.0662129427
DTEL,Netherlands,AS,6.7384934825
ECT,Netherlands,AS,11.826969662
ENI,Netherlands,AS,17.5208213173
EXACT,Netherlands,AS,822.9784288845
GRONT,Netherlands,AS,165.6191025493
HAL,Netherlands,AS,325.3154919829
HEIA,Netherlands,AS,67156.922367055
HEIO,Netherlands,AS,24741.223209136
IM,Netherlands,AS,10744.5823047641
INCO,Netherlands,AS,9.2282846926
KARD,Netherlands,AS,76.0244549544
KENDR,Netherlands,AS,75.616564771
KTC,Netherlands,AS,736.841619564
LVIDE,Netherlands,AS,173.417925943
MACIN,Netherlands,AS,32.3405237052
MT,Netherlands,AS,52941.0248010151
NEDAP,Netherlands,AS,123.0591763756
NEDSE,Netherlands,AS,0.7613334871
NOKA,Netherlands,AS,23.2552774253
NSE,Netherlands,AS,7.9280193794
NUO,Netherlands,AS,6942.2429345945
OCI,Netherlands,AS,1072.4568000923
ORANW,Netherlands,AS,48.0166109124
ORDI,Netherlands,AS,1311.3724766409
PHARM,Netherlands,AS,117935.808051678
PNL,Netherlands,AS,12972.336370977
PORF,Netherlands,AS,0.6182950744
RAND,Netherlands,AS,16157.8590379513
RBS,Netherlands,AS,24.6598223555
RDSA,Netherlands,AS,86708.741492675
RDSB,Netherlands,AS,294.3564424963
REN,Netherlands,AS,41005.2739647018
ROOD,Netherlands,AS,11.046256777
SBMO,Netherlands,AS,15002.5608490022
SIA,Netherlands,AS,35.2335909563
SIMAC,Netherlands,AS,3.8758795709
SLIGR,Netherlands,AS,183.2368208559
SOURC,Netherlands,AS,18.2166339832
STRN,Netherlands,AS,12.8273157227
TBIRD,Netherlands,AS,0.1347329565
TFA,Netherlands,AS,26.0699042565
TFG,Netherlands,AS,77.7879801592
TIE,Netherlands,AS,10.0496020302
TNTE,Netherlands,AS,19610.7841734918
TOM2,Netherlands,AS,7176.106125274
UNIA,Netherlands,AS,671.1473064944
USG,Netherlands,AS,5562.1806436729
VALUE,Netherlands,AS,721.6841619564
VPK,Netherlands,AS,8101.6541700312
VWA,Netherlands,AS,72.405121698
WES,Netherlands,AS,373.6347906333
WKL,Netherlands,AS,10793.4017764448
XEI,Netherlands,AS,7.8901834122
YATRA,Netherlands,AS,0.5241665705
ZIGGO,Netherlands,AS,8590.6849694313
AAC.AX,Australia,AX,623.9774617326
AAD.AX,Australia,AX,2470.2061823786
AAI.AX,Australia,AX,1.0873857179
AAJ.AX,Australia,AX,2.5879592434
AAK.AX,Australia,AX,0
AAL.AX,Australia,AX,0.000505259
AAP.AX,Australia,AX,0.451924391
AAR.AX,Australia,AX,0.6698932946
AAU.AX,Australia,AX,1.2251034837
AAX.AX,Australia,AX,410.9368480351
ABC.AX,Australia,AX,5560.1501482801
ABP.AX,Australia,AX,0
ABU.AX,Australia,AX,123.5705311681
ABV.AX,Australia,AX,5.5184379171
ABY.AX,Australia,AX,34.2171193813
ABZ.AX,Australia,AX,55.5117942822
ACB.AX,Australia,AX,6.0089190638
ACG.AX,Australia,AX,87.239840223
ACK.AX,Australia,AX,5.88402709
ACL.AX,Australia,AX,180.1762267851
ACP.AX,Australia,AX,0.2063410837
ACR.AX,Australia,AX,2483.6847437905
ACS.AX,Australia,AX,0.8944776406
ACW.AX,Australia,AX,0.9372458056
ADA.AX,Australia,AX,2.1083026183
ADD.AX,Australia,AX,0.0245060126
ADJ.AX,Australia,AX,204.9067838994
ADN.AX,Australia,AX,14.6195934827
ADO.AX,Australia,AX,514.9602601776
ADQ.AX,Australia,AX,3.2718589199
ADX.AX,Australia,AX,2.7937911595
ADY.AX,Australia,AX,3.0853628831
AEB.AX,Australia,AX,16.7679203676
AEE.AX,Australia,AX,6.9934786739
AEF.AX,Australia,AX,4.7220613841
AEI.AX,Australia,AX,1.03607423
AEK.AX,Australia,AX,6.7294772795
AEM.AX,Australia,AX,6.5932029197
AEU.AX,Australia,AX,385.1682889191
AFA.AX,Australia,AX,1.6754320509
AFI.AX,Australia,AX,1494.8000802953
AFR.AX,Australia,AX,17.0171403853
AFT.AX,Australia,AX,0
AFV.AX,Australia,AX,3.0737257437
AGD.AX,Australia,AX,0.7268175797
AGE.AX,Australia,AX,8.9977473613
AGG.AX,Australia,AX,13.454691079
AGI.AX,Australia,AX,1272.9350488684
AGJ.AX,Australia,AX,0.9911358
AGK.AX,Australia,AX,19092.0919348483
AGO.AX,Australia,AX,12561.0869072788
AGR.AX,Australia,AX,9.9015704515
AGS.AX,Australia,AX,47.9516650377
AGX.AX,Australia,AX,0
AGY.AX,Australia,AX,0.1506314646
AHD.AX,Australia,AX,626.4454426374
AHE.AX,Australia,AX,0
AHK.AX,Australia,AX,0.2945156351
AHN.AX,Australia,AX,1.3161798426
AHQ.AX,Australia,AX,0.2038254925
AHZ.AX,Australia,AX,877.6806600429
AIA.AX,Australia,AX,1114.6494665682
AIO.AX,Australia,AX,17418.8864958819
AIR.AX,Australia,AX,1.0993762755
AIV.AX,Australia,AX,1.0311364778
AIY.AX,Australia,AX,0.1673985209
AIZ.AX,Australia,AX,172.9187566972
AJA.AX,Australia,AX,338.4168960544
AJC.AX,Australia,AX,5.0647729566
AJJ.AX,Australia,AX,1.152427131
AJL.AX,Australia,AX,86.9814470918
AJM.AX,Australia,AX,33.5913952208
AJQ.AX,Australia,AX,59.6297925458
AJX.AX,Australia,AX,32.3480727304
AKA.AX,Australia,AX,9.6465803598
AKF.AX,Australia,AX,15.9707648422
AKG.AX,Australia,AX,29.8632748813
AKK.AX,Australia,AX,63.3369534886
AKM.AX,Australia,AX,10.3808635284
AKP.AX,Australia,AX,17.0205243781
ALK.AX,Australia,AX,125.6045829637
ALL.AX,Australia,AX,7644.2295317476
ALQ.AX,Australia,AX,0
ALT.AX,Australia,AX,51.7916878424
ALU.AX,Australia,AX,555.7642393559
ALY.AX,Australia,AX,3.8884549032
ALZ.AX,Australia,AX,10705.4173630177
AMA.AX,Australia,AX,140.3699951339
AMB.AX,Australia,AX,2.5737503447
AMC.AX,Australia,AX,36655.0553212597
AMH.AX,Australia,AX,48.810279781
AMM.AX,Australia,AX,924.6937002469
AMO.AX,Australia,AX,1.1233586301
AMP.AX,Australia,AX,37038.5563994002
AMT.AX,Australia,AX,0.0668144794
ANG.AX,Australia,AX,417.6864145549
ANN.AX,Australia,AX,9424.8661188142
ANO.AX,Australia,AX,8.9128029633
ANP.AX,Australia,AX,37.5164266031
ANQ.AX,Australia,AX,51.6250509478
ANW.AX,Australia,AX,1.6077736122
ANZ.AX,Australia,AX,154626.356454493
AOA.AX,Australia,AX,1.0728849765
AOC.AX,Australia,AX,10.3795760116
AOH.AX,Australia,AX,74.7288596799
AOK.AX,Australia,AX,126.6365747597
AON.AX,Australia,AX,11.6546031197
AOP.AX,Australia,AX,1.5758477685
AOU.AX,Australia,AX,1.4115666615
APD.AX,Australia,AX,41.0538721466
APE.AX,Australia,AX,192.561194726
APG.AX,Australia,AX,14.0493608451
API.AX,Australia,AX,0
APN.AX,Australia,AX,789.9805454368
APP.AX,Australia,AX,0.1360402968
APZ.AX,Australia,AX,141.6451730054
AQA.AX,Australia,AX,1109.5057336163
AQC.AX,Australia,AX,13.000871093
AQD.AX,Australia,AX,9.8240197191
AQG.AX,Australia,AX,1782.8025423463
AQI.AX,Australia,AX,1.8264792947
AQO.AX,Australia,AX,78.5472425295
AQP.AX,Australia,AX,267.0266009007
AQQ.AX,Australia,AX,1.90618086
AQR.AX,Australia,AX,6.2009401396
AQZ.AX,Australia,AX,115.9460365643
ARA.AX,Australia,AX,11.1323105318
ARD.AX,Australia,AX,3.4587801056
ARE.AX,Australia,AX,3.0667246959
ARG.AX,Australia,AX,929.7088964633
ARH.AX,Australia,AX,2.4115275355
ARI.AX,Australia,AX,11719.3093452071
ARM.AX,Australia,AX,3.0410415786
ARO.AX,Australia,AX,0
ARP.AX,Australia,AX,1606.0159979329
ARU.AX,Australia,AX,19.0412658513
ARV.AX,Australia,AX,1.7972561495
ARW.AX,Australia,AX,15.581789465
ARX.AX,Australia,AX,2.5956639879
ASB.AX,Australia,AX,266.7160670527
ASL.AX,Australia,AX,2395.4390405445
ASP.AX,Australia,AX,0.0338822841
ASW.AX,Australia,AX,3.9583464756
ASX.AX,Australia,AX,16293.1313404545
ASZ.AX,Australia,AX,108.7044729948
ATP.AX,Australia,AX,8.382586958
ATR.AX,Australia,AX,3.6415108432
ATU.AX,Australia,AX,284.7082754006
ATV.AX,Australia,AX,2.9506870299
ATVCD.AX,Australia,AX,0
AUB.AX,Australia,AX,548.8563830006
AUC.AX,Australia,AX,4.4194656246
AUI.AX,Australia,AX,139.7470882529
AUK.AX,Australia,AX,6.5873473488
AUQ.AX,Australia,AX,37.775423684
AUZ.AX,Australia,AX,1.9837431268
AVB.AX,Australia,AX,216.3258831441
AVD.AX,Australia,AX,0.0132379744
AVG.AX,Australia,AX,90.7116568616
AVH.AX,Australia,AX,30.7681794325
AVI.AX,Australia,AX,9.5095470357
AVJ.AX,Australia,AX,99.7004266356
AVK.AX,Australia,AX,0.5058697017
AVQ.AX,Australia,AX,148.1230297852
AVX.AX,Australia,AX,4.1942557773
AVY.AX,Australia,AX,0.3897948149
AVZ.AX,Australia,AX,0.4803091475
AWC.AX,Australia,AX,12561.9317584035
AWD.AX,Australia,AX,33.3969193857
AWE.AX,Australia,AX,2522.5805946153
AWV.AX,Australia,AX,5.0237722056
AXC.AX,Australia,AX,0
AXE.AX,Australia,AX,25.7015515237
AXI.AX,Australia,AX,2.528724765
AXT.AX,Australia,AX,0.4504868816
AXZ.AX,Australia,AX,4.3933689327
AYA.AX,Australia,AX,20.3875828302
AYB.AX,Australia,AX,0.9792639962
AYC.AX,Australia,AX,0.7901714602
AYG.AX,Australia,AX,1.4848156904
AYI.AX,Australia,AX,0
AYM.AX,Australia,AX,0.1710264699
AYR.AX,Australia,AX,11.4271862791
AZJ.AX,Australia,AX,27298.7887088245
AZK.AX,Australia,AX,2.6395795488
AZM.AX,Australia,AX,23.941443073
AZQ.AX,Australia,AX,0
AZS.AX,Australia,AX,44.3368523859
AZV.AX,Australia,AX,104.9447667616
AZY.AX,Australia,AX,5.1186653067
AZZ.AX,Australia,AX,199.5072272853
BAB.AX,Australia,AX,13.2833709711
BAR.AX,Australia,AX,0.7337553094
BAS.AX,Australia,AX,4.9737317517
BAU.AX,Australia,AX,30.6633756011
BBG.AX,Australia,AX,1544.881138152
BBL.AX,Australia,AX,0.9439542677
BBR.AX,Australia,AX,11.1705576773
BBX.AX,Australia,AX,0.546504627
BCD.AX,Australia,AX,3.5707399771
BCI.AX,Australia,AX,0
BCK.AX,Australia,AX,11.7610304277
BCN.AX,Australia,AX,0.6008758747
BCT.AX,Australia,AX,12.0810979787
BDI.AX,Australia,AX,0
BDR.AX,Australia,AX,3311.4109229854
BEL.AX,Australia,AX,5.8467914617
BEN.AX,Australia,AX,11719.0639272811
BEZ.AX,Australia,AX,2.457233309
BFE.AX,Australia,AX,0.8009075121
BFG.AX,Australia,AX,37.9293888505
BGA.AX,Australia,AX,1485.9472326035
BGG.AX,Australia,AX,7.8879288108
