Ticker,Turnover
AALB,3398508
ACCEL,275025
ACOMO,418624
AGN,36474729
AH,23527218
AJAX,1735480
AKZA,44394000
AMG,584201
AND,38259
APAM,11443098
ASM,4177009
ASML,46747714
ATRS,76362
AXS,426512
BAMNB,4632940
BATEN,64800
BBED,206425
BBV,2682
BESI,750905
BINCK,757790
BOKA,9224154
CRBN,1692824
CRYO,43587
CTAC,4930
DICO,4408
DL,6636006
DOCD,56840
DPA,110721
DSM,36698116
DTEL,7302
ECT,12816
ENI,18986
EXACT,891800
GRONT,179469
HAL,352520
HEIA,72772920
HEIO,26810208
IM,11643098
INCO,10000
KARD,82382
KENDR,81940
KTC,798460
LVIDE,187920
MACIN,35045
MT,57368218
NEDAP,133350
NEDSE,825
NOKA,25200
NSE,8591
NUO,7522788
OCI,1162141
ORANW,52032
ORDI,1421036
PHARM,127798190
PNL,14057148
PORF,670
RAND,17509060
RBS,26722
RDSA,93959760
RDSB,318972
REN,44434340
ROOD,11970
SBMO,16257150
SIA,38180
SIMAC,4200
SLIGR,198560
SOURC,19740
STRN,13900
TBIRD,146
TFA,28250
TFG,84293
TIE,10890
TNTE,21250736
TOM2,7776208
UNIA,727272
USG,6027318
VALUE,782035
VPK,8779155
VWA,78460
WES,404880
WKL,11696000
XEI,8550
YATRA,568
ZIGGO,9309081
