Ticker,MarketCap,Turnover
AAC.AX,660.2M,676157.57697
AAD.AX,1.102B,2676777.17438
AAI.AX,18.229B,1178.31834851
AAJ.AX,5.2M,2804.3773351
AAK.AX,3.6M,0
AAL.AX,749K,0.5475112343
AAP.AX,1.8M,489.716568241
AAR.AX,864K,725.913121331
AAU.AX,3.8M,1327.55276252
AAX.AX,80.9M,445301.441952
ABC.AX,2.228B,6025117.70443
ABP.AX,1.262B,0
ABU.AX,62.4M,133904.116837
ABV.AX,7.7M,5979.91728793
ABY.AX,59.5M,37078.5259896
ABZ.AX,28.2M,60153.9680791
ACB.AX,11.8M,6511.41492054
ACG.AX,15.2M,94535.2718617
ACK.AX,22.8M,6376.07885539
ACL.AX,183.3M,195243.46375
ACP.AX,28.8M,223.596356812
ACR.AX,166.5M,2691382.88049
ACS.AX,37.2M,969.278333333
ACW.AX,2.2M,1015.62298611
ADA.AX,23.9M,2284.60942477
ADD.AX,634K,26.5553279041
ADJ.AX,116.3M,222042.113703
ADN.AX,8.9M,15842.1569877
ADO.AX,114.8M,558023.811935
ADQ.AX,3.5M,3545.46812211
ADX.AX,7.1M,3027.42194521
ADY.AX,9.3M,3343.37635417
AEB.AX,33.0M,18170.1377083
AEE.AX,4.0M,7578.30832802
AEF.AX,36.3M,5116.94376736
AEI.AX,13.0M,1122.7159375
AEK.AX,19.5M,7292.22981698
AEM.AX,6.5M,7144.55951389
AEU.AX,342.5M,417377.98708
AFA.AX,76.7M,1815.54005613
AFI.AX,6.350B,1619802.73701
AFR.AX,35.1M,18440.19875
AFT.AX,6.1M,0
AFV.AX,6.6M,3330.76605903
AGD.AX,13.6M,787.597699764
AGE.AX,7.0M,9750.18398444
AGG.AX,1.384B,14579.8396205
AGI.AX,1.232B,1379384.24233
AGJ.AX,12.1M,1074.01953125
AGK.AX,8.716B,20688668.1229
AGO.AX,595.1M,13611507.7999
AGR.AX,8.1M,10729.5892805
AGS.AX,56.3M,51961.6230265
AGX.AX,1.6M,0
AGY.AX,1.1M,163.228020833
AHD.AX,1.437B,678831.942778
AHE.AX,961.9M,0
AHK.AX,2.9M,319.144505088
AHN.AX,3.9M,1426.24538194
AHQ.AX,1.2M,220.870399306
AHZ.AX,169.6M,951076.705239
AIA.AX,4.274B,1207862.02821
AIO.AX,5.576B,18875540.8791
AIR.AX,4.2M,1191.31161654
AIV.AX,6.9M,1117.36526575
AIY.AX,3.4M,181.397222222
AIZ.AX,2.231B,187379.087726
AJA.AX,268.2M,366717.008987
AJC.AX,5.4M,5488.31459513
AJJ.AX,16.9M,1248.79884988
AJL.AX,239.3M,94255.2706048
AJM.AX,65.9M,36400.4756461
AJQ.AX,48.1M,64616.3339474
AJX.AX,16.7M,35053.1803125
AKA.AX,8.7M,10453.2756424
AKF.AX,9.9M,17306.3200521
AKG.AX,61.8M,32360.5912433
AKK.AX,21.2M,68633.5062241
AKM.AX,24.4M,11248.963241
AKP.AX,108.2M,18443.8657292
ALK.AX,98.7M,136108.266214
ALL.AX,2.969B,8283478.22634
ALQ.AX,3.540B,0
ALT.AX,31.7M,56122.7677382
ALU.AX,259.3M,602240.023872
ALY.AX,2.8M,4213.62694444
ALZ.AX,2.579B,11600657.89
AMA.AX,96.9M,152108.435977
AMB.AX,9.3M,2788.98021728
AMC.AX,12.621B,39720334.3225
AMH.AX,216.7M,52892.0394277
AMM.AX,503.8M,1002021.21093
AMO.AX,5.4M,1217.29949553
AMP.AX,15.756B,40135905.6783
AMT.AX,2.6M,72.4018402778
ANG.AX,132.1M,452615.440972
ANN.AX,3.051B,10213020.548
ANO.AX,8.2M,9658.13611111
ANP.AX,20.9M,40653.7377778
ANQ.AX,20.4M,55942.1958333
ANW.AX,3.1M,1742.22368056
ANZ.AX,92.114B,167556985.513
AOA.AX,798K,1162.6049827
AOC.AX,9.5M,11247.5680556
AOH.AX,85.2M,80978.0605706
AOK.AX,88.8M,137226.558324
AON.AX,8.2M,12629.2193056
AOP.AX,2.9M,1707.62803819
AOU.AX,6.1M,1529.60892361
APD.AX,58.7M,44487.0022049
APE.AX,1.013B,208664.124635
APG.AX,21.5M,15224.2386458
API.AX,295.3M,0
APN.AX,529.2M,856042.668549
APP.AX,1.1M,147.416666667
APZ.AX,145.1M,153490.250598
AQA.AX,1.395B,1202288.15059
AQC.AX,4.0M,14088.0689382
AQD.AX,3.6M,10645.5533681
AQG.AX,769.4M,1931889.40495
AQI.AX,6.1M,1979.21862571
AQO.AX,53.2M,85115.755686
AQP.AX,206.7M,289356.700401
AQQ.AX,3.1M,2065.58523441
AQR.AX,23.9M,6719.49375872
AQZ.AX,119.3M,125642.023872
ARA.AX,73.8M,12063.25
ARD.AX,3.8M,3748.02059193
ARE.AX,6.6M,3323.17954861
ARG.AX,4.928B,1007455.80293
ARH.AX,9.8M,2613.19152563
ARI.AX,1.126B,12699336.5892
ARM.AX,5.1M,3295.34868056
ARO.AX,3.5M,0
ARP.AX,898.7M,1740319.08576
ARU.AX,25.6M,20633.5917081
