Ticker,MarketCap,Turnover
AEDU3.SA,7.885B,0
AELP3.SA,789.0M,0
AFLT3.SA,189.3M,0
AFLU3.SA,94.1M,0
AGRO3.SA,550.2M,0
ALLL3.SA,5.712B,0
ALPA3.SA,5.091B,0
ALSC3.SA,2.862B,0
AMAR3.SA,3.024B,0
AORE3.SA,30.1M,0
ARTR3.SA,6.321B,0
ARZZ3.SA,2.628B,0
AUTM3.SA,2.385B,0
AZEV3.SA,57.8M,0
BAHI3.SA,39.8M,0
BAZA3.SA,889.4M,0
BBDC3.SA,139.8B,0
BEES3.SA,647.6M,0
BHGR3.SA,864.4M,0
BPHA3.SA,971.7M,0
BRFS3.SA,45.467B,0
BRIN3.SA,1.005B,0
BRPR3.SA,3.969B,0
BVMF3.SA,21.820B,0
CCXC3.SA,131.0M,0
CEGR3.SA,4.621T,0
CESP3.SA,7.385B,0
CIEL3.SA,72.078B,0
CSAN3.SA,15.979B,0
CSMG3.SA,4.724B,0
CTAX3.SA,1.761B,0
DOHL3.SA,332.8M,0
DTEX3.SA,5.935B,0
EEEL3.SA,503.4M,0
EVEN3.SA,1.540B,0
FIBR3.SA,12.151B,0
FRAS3.SA,506.2M,0
GFSA3.SA,1.305B,0
GUAR3.SA,6.546B,0
HRTP3.SA,318.3M,0
IMCH3.SA,1.683B,0
ITSA3.SA,53.251B,1132608.32706
ITUB3.SA,166.2B,0
KEPL3.SA,1.074B,0
KROT3.SA,16.564B,0
LCAM3.SA,285.0M,0
LIGT3.SA,4.558B,0
LINX3.SA,2.411B,7330533.44508
MGLU3.SA,1.699B,0
MLFT3.SA,1.638B,0
MMXM3.SA,376.3M,0
MRFG3.SA,2.914B,0
NETC3.SA,10.135B,0
OGXP3.SA,582.5M,29726632.4434
OIBR3.SA,3.690B,0
OSXB3.SA,162.5M,0
PDGR3.SA,2.051B,0
PLAS3.SA,89.5M,0
QGEP3.SA,2.321B,0
QUAL3.SA,6.916B,0
RADL3.SA,6.086B,0
REDE3.SA,371.1M,0
RPMG3.SA,270.1M,0
RSID3.SA,695.8M,0
SANB3.SA,56.358B,0
SBSP3.SA,16.268B,0
SGPS3.SA,182.0M,0
SHOW3.SA,360.7M,0
SSBR3.SA,1.320B,0
TECN3.SA,933.0M,0
TELB3.SA,399.1M,0
TERI3.SA,1.905B,0
TIMP3.SA,32.216B,0
UCAS3.SA,259.7M,0
VAGR3.SA,1.116B,0
VIGR3.SA,943.2M,0
VIVR3.SA,43.6M,0
VIVT3.SA,42.797B,0
VLID3.SA,2.140B,0
VVAR3.SA,10.907B,0
WHRL3.SA,6.026B,0
