Ticker,Turnover
AAB,209475
ALMB,3431750
ATHENA,0
BAVA,5799650
BIOPOR,75543
BLVIS,166320
BO,3808000
CBRAIN,199120
CHEMM,99792
CHR,65762200
COLOB,90631430
COLUM,128310
COM,46000
DAB,46360
DANSKE,244153480
DANTH,3260
DELTAQ,37600
DFDS,1618800
DIBA,0
DJUR,160000
DKC,1152
DLH,220225
DNORD,14953250
DSV,66926780
EAC,3081000
EGNETY,290400
EI,0
ENALYZ,0
ESOFT,0
EWII,0
EXQ,239980
FASTPC,0
FFARMS,55560
FLS,178978800
FPEPI,0
FPMER,0
FPOPT,0
FPPAR,0
FPPEN,3531
GABR,28600
GEN,111206700
GES,167700
GJ,13000
GN,236684950
GRLA,272000
HART,83750
HH,1283720
IC,3078350
JDAN,0
JMI,0
JOBNDX,75600
JYSK,30219550
KBHL,1200000
KLIMA,64750
KRE,0
LASP,30500
LOLB,103750
LUN,22627070
MATAS,16070400
MERM,0
MNBA,0
MOLS,53650
MPI,12800
NEUR,56615
NEWCAP,679528
NKT,11321200
NORDIC,103952
NORDJB,261600
NORTHM,148200
NRDC,26108
NRDF,52500
NRSU,873000
NUNA,97800
OJBA,390500
OSSR,2348750
PARKEN,308100
PNDORA,436303520
PRIMOF,59400
RBREW,3282400
RELLA,235400
RILBA,1300200
ROV,41425
RTX,357000
SALB,327000
SBS,81640
SCD,20550
SCHO,2366400
SIM,18680700
SKAKO,12680
SKJE,161500
SMART,0
SPEAS,0
SPG,628750
SPHIM,0
SPNO,0
SVEND,0
SYDB,15261840
TDC,84612220
TIV,0
TKDV,364980
TMCOM,0
TOP,18112630
TOPO,719608
TORM,568958
TOTA,15920
TPSL,423306
TRIFOR,152320
TRYG,24024000
UIE,672000
UPB,0
VEFY,0
VELO,1525520
VIBHK,21195
VIINT,23600
VIPRO,0
VJBA,128250
VORD,0
VWS,285255180
WDH,20055000
WIRTEK,0
ZEAL,2203200
