Ticker,AvgTurnover
AEP,139414000
AES,108542430
AXP,244689640
BA,503003382
BAC,1055658968
CAT,165265108
CHRW,60486143
CNP,133805912
CNW,42901740
CSCO,471662960
CSX,173834540
CVX,800104488
D,489673146
DAL,418584300
DD,196018580
DIS,542506800
DUK,165291030
ED,93561152
EIX,83911680
ALEX,4339456
EXC,218548553
EXPD,33080727
FDX,176194500
FE,60824010
GE,608850110
GMT,21005532
HD,417089900
HPQ,223053198
IBM,587735645
INTC,822512394
JBHT,109831528
JBLU,48133710
JPM,680324016
JNJ,539543985
KSU,41582850
KO,710445699
LSTR,11968100
LUV,87712284
MCD,282522632
MMM,214287057
MRK,423657699
MSFT,984775568
NEE,198825120
NI,129494625
NSC,203513772
PCG,93139760
PEG,113168796
PFE,576182398
PG,570686856
R,31075283
SO,149553375
T,556748348
TRV,114755355
UAL,277000381
UNP,311415132
UTX,337307075
UPS,159902856
VZ,459257246
WMB,286624730
XOM,859521126
WMT,518534511
