Ticker,MarketCap,Turnover
AB9.DU,57.2M,0
ABN.DU,5.8M,0
ABO.DU,37.7M,37468.0860629
AIB.DU,51.084B,9075.86735176
BGS.DU,163.1M,0
BUF.DU,193K,6.1469512088
CLG.DU,37.6M,82.2789166856
DGW1.DU,3.716B,20.811610441
DOR.DU,70K,46.4889722973
IL0.DU,2.922B,1330.43322071
ILM1.DU,13K,0.1424344812
IO5A.DU,79.7M,0.8568477443
LWD.DU,4.4M,5.1234827224
MSU.DU,201.6M,0
PCU.DU,15.219B,26.1451830325
PDEK.DU,3.1M,68.1255930393
PLT.DU,31K,72.2058787486
RHT.DU,8.8M,48.6234134556
RLV.DU,127.5M,7499.65737505
S26.DU,17.6M,5340.87846851
SBE.DU,3.6M,57.906899389
SGS.DU,4.7M,276.820468829
SM1.DU,5.145B,0
TRX.DU,56K,32.4066455419
WMR.DU,2.5M,1.2520445585
WO8.DU,5.1M,4.6144850405
