Ticker,Turnover
2HR,0
42BA,0
500,0
6MK,0
7AA,0
8GM,0
AAD,0
AB1,4280
ACOA,0
ADD,0
ADS,0
ADV,0
AEC1,0
AEND,0
AFX,0
AGX,0
AHOE,0
AINN,0
AIXA,0
ALD,0
ALG,0
ALU,0
ALV,0
AMD,0
AOMD,0
ARL,0
ARO,0
ARRB,0
ASG,0
ATW,0
AUS,0
AXA,0
B5A,0
BAC,0
BAF,0
BAS,8242
BAYN,10150
BC8,0
BCO,0
BDT,0
BE8,0
BEI,0
BHE,0
BHS,0
BIJ,0
BIO,0
BIW,0
BMW,17090
BNP,0
BNR,0
BON,0
BOSS,0
BOY,0
BSD2,1956
BSN,0
BST,0
BTQ,0
BYW6,0
CAR,0
CAS,0
CAT1,0
CBK,39900
CCC3,0
CEV,0
CGE,0
CGYK,0
CHV,0
CIL,0
CIS,3300
CLS1,0
CMC,0
COK,0
COM,0
CON,0
COP,0
CRG,0
CRIH,0
CTNK,0
CWC,0
CXR,0
CY2,0
D9C,0
DAI,20112
DB1,0
DBAN,0
DBK,0
DEQ,0
DEX,0
DEZ,0
DIC,0
DLG,0
DPB,0
DPW,5258
DRI,0
DRN,0
DRW8,0
DSY1,0
DTE,16926
DUE,0
DUP,0
DWNI,0
EAD,5342
EDL,0
EEX,0
EJR,0
EMP,0
ENA,0
ENI,0
ENL,0
EOAN,0
ETG,0
EUCA,0
EUK2,0
EV4,0
EVD,0
EVK,2961
EVT,0
FB2A,0
FIE,0
FME,5326
FNTN,0
FO4N,0
FRA,0
FRE,0
G1A,0
GBF,0
GBRA,0
GE1,0
GEC,0
GFJ,0
GFK,0
GGQ1,0
GGS,0
GIB,0
GIL,0
GLJ,0
GMM,0
GOB,0
GSC1,0
GTQ1,0
GU8,0
GWI1,3642
GXI,0
GZF,0
HAK,0
HAW,0
HDD,5420
HDI,0
HEI,29015
HF1,0
HG1,0
HHFA,0
HLG,0
HNM,0
HNR1,30830
HOT,0
HVB,0
HWP,0
HWSA,0
IBE1,0
IBM,0
IES,0
IFX,0
IKB,0
INH,0
INL,0
ITK,0
IVG,0
IXD,0
JEN,0
JNJ,0
KBC,0
KCO,0
KD8,0
KFI1,0
KRN,0
KTF,0
KU2,0
KWI,0
KWS,0
LEO,11550
LHA,5472
LIN,0
LLD,0
LOR,0
LPK,0
LXS,26710
M5Z,0
MAK,0
MAN,0
MCH,0
MDN,0
MDO,21084
MEO,0
MHR,0
MKAN,0
MLP,0
MMM,0
MOH,0
MOR,0
MPCK,0
MRK,0
MSF,0
MTX,0
MUV2,0
MVV1,0
MYM,0
NCB,0
NDA,0
NDX1,0
NEM,0
NOA3,0
NOEJ,0
NSN,0
NST,0
O1BC,0
O2C,0
O4B,0
OLB,0
P1Z,0
PA9,0
PFE,0
PFV,0
PHI1,0
PHM7,5228
PNE3,0
PRA,0
PRG,0
PS4,0
PSAN,0
PSM,0
PUM,0
QCE,0
QIA,0
QSC,0
R3Q,0
R6C,0
R8R,0
RAA,0
RDEB,0
REP,0
RHK,0
RHM,0
RIC1,0
RNL,0
RSI,0
RWE,20160
S92,3693
S9P2,0
SAP,11650
SAX,0
SAZ,3614
SBS,0
SCA,0
SCUN,0
SDF,0
SFQ,0
SGE,0
SGL,6090
SGM,0
SGS,0
SHM,0
SIE,0
SIX2,0
SK1A,0
SKB,0
SKFB,0
SKYD,0
SLT,0
SMHN,0
SND,0
SNG,0
SNM,0
SNW,0
SOBA,0
SOO1,0
SOW,0
SPR,0
SQU,0
SRT,0
SUY1,0
SWV,0
SY1,0
SZG,0
SZU,0
TEG,0
TIM,0
TKA,14077
TLX,0
TNE5,0
TOTB,0
TPL,0
TQI,0
TRVC,0
TTI,0
TTK,0
TUI1,0
TWB,0
UBK,0
UNP,0
UP7,0
USE,3750
UTC1,0
UTDI,0
V6C,1410
VBH,0
VIA,0
VOG,0
VOS,0
VOW,0
VSM,0
VT9,0
VVU,0
VWS,0
W9X,0
WAC,0
WCH,0
WDI,0
WDP,0
WIN,0
WMT,0
XCA,0
XER,0
XONA,0
ZIL2,0
ZO1,0
