Ticker,MarketCap,Turnover
0001.HK,317.5B,411956619.732
0002.HK,161.3B,156580816.464
0003.HK,177.5B,160989343.5
0004.HK,169.4B,275071052.582
0005.HK,1.520T,1039089675.24
0006.HK,145.0B,179552588.705
0007.HK,1.803B,5532352.3125
0008.HK,33.656B,36161473.3014
0009.HK,795.6M,1023679.81113
0010.HK,56.910B,23997903.1706
0011.HK,243.2B,128234789.79
0012.HK,137.0B,135715421.958
0013.HK,455.7B,572982732.542
0014.HK,38.889B,35676938.9694
0015.HK,960.9M,1000877.28832
0016.HK,288.0B,378515125.316
0017.HK,77.196B,142581972.537
0018.HK,2.110B,501955.590451
0019.HK,86.432B,123119429.719
0020.HK,66.040B,30851801.8472
0021.HK,927.6M,1039530.74367
0022.HK,312.0M,1122563.38056
0023.HK,74.962B,68663224.9445
0024.HK,1.560B,24430917.6945
0025.HK,3.575B,475498.931771
0026.HK,2.806B,386070.655208
0027.HK,252.4B,722779312.808
0028.HK,9.057B,2919120.46039
0029.HK,657.0M,354951.131919
0030.HK,201.9M,3351062.71736
0031.HK,2.160B,6753001.82786
0032.HK,2.380B,651906.327222
0033.HK,233.0M,1552231.11944
0034.HK,10.532B,4167505.27438
0035.HK,5.402B,3319673.89272
0036.HK,230.1M,1266045.11944
0037.HK,128.8M,164821.430035
0038.HK,2.086B,19322490.332
0039.HK,1.190B,1642114.70849
0040.HK,541.6M,91988.9306597
0041.HK,18.237B,15298772.7277
0042.HK,343.1M,2039929.29562
0043.HK,18.414B,1832633.14082
0044.HK,14.882B,2190020.92517
0045.HK,16.340B,3766645.48924
0046.HK,568.5M,329762.756944
0047.HK,2.221B,230978.941168
0050.HK,2.734B,290096.823333
0051.HK,9.330B,432056.354063
0052.HK,2.001B,1698549.14729
0053.HK,31.584B,6631645.90399
0054.HK,23.343B,34847113.1763
0055.HK,183.4M,1000776.42969
0056.HK,9.863B,1137550.46024
0057.HK,1.439B,314263.544583
0058.HK,259.1M,38197.8045139
0059.HK,1.862B,511517.33342
0060.HK,343.2M,279087.825623
0061.HK,397.5M,477777.023438
0062.HK,5.656B,658810.227222
0063.HK,305.3M,168034.417038
0064.HK,1.655B,3056934.48958
0065.HK,326.6M,1235130.5175
0066.HK,171.7B,56423026.7893
0067.HK,7.005B,21647535.5467
0068.HK,928.6M,24171.9701562
0069.HK,37.897B,26531965.9108
0070.HK,798.6M,17716197.1699
0071.HK,5.516B,353174.829583
0072.HK,757.7M,237664.830104
0073.HK,2.200B,4178746.76147
0074.HK,1.448B,6401363.828
0075.HK,1.928B,55182.3443403
0076.HK,616.0M,6550816.55252
0077.HK,271.3M,121873.01553
0078.HK,4.497B,2955961.18662
0079.HK,136.8M,608291.675434
0080.HK,84.8M,0
0081.HK,10.680B,29823939.6241
0082.HK,2.276B,48571473.3997
0083.HK,76.777B,64743522.3162
0084.HK,2.123B,1227496.12795
0085.HK,2.555B,7581733.90194
0086.HK,12.769B,5742326.82727
0087.HK,52.772B,5943602.80538
0088.HK,3.560B,1065022.51653
0089.HK,1.025B,122457.143954
0090.HK,332.0M,222435.913194
0091.HK,543.9M,1067979.17742
0092.HK,1.127B,4251490.27214
0093.HK,1.566B,115377.083332
0094.HK,545.1M,419458.206719
0095.HK,1.631B,4824379.78663
0096.HK,254.5M,72071.6359375
0097.HK,1.859B,2093252.42733
0098.HK,639.5M,218638.409462
0099.HK,1.152B,123208.716103
0100.HK,3.920B,2413790.19375
0101.HK,107.4B,109918825.681
0102.HK,16.883B,120325780.251
0103.HK,509.6M,256031.635337
0104.HK,225.6M,381380.274688
0105.HK,8.064B,205349.768125
0106.HK,1.758B,4065784.33078
0107.HK,2.184B,5949715.65286
0108.HK,1.642B,299546.574167
0109.HK,490.3M,162412.76625
0110.HK,400.6M,1834311.89389
0111.HK,525.6M,1591957.61443
0112.HK,874.6M,446046.33941
0113.HK,1.806B,895298.728069
0114.HK,547.8M,90084.8191491
