Ticker,Turnover
AALI,0
ABBA,2436000
ABDA,18795000
ABMM,0
ACES,0
ACST,857220000
ADES,3424320000
ADHI,0
ADMF,107350000
ADMG,432860800
ADRO,88839855000
AGRO,0
AHAP,0
AIMS,8140000
AISA,0
AKKU,0
AKPI,355000
AKRA,50586816000
AKSI,0
ALDO,0
ALKA,0
ALMI,31700
ALTO,2227512500
AMAG,0
AMFG,0
AMRT,0
ANJT,8150000
ANTM,23293089000
APEX,0
APIC,0
APLI,1215400
APLN,0
APOL,0
ARGO,0
ARII,0
ARNA,1381406000
ARTA,40200
ARTI,36609600
ASBI,1155000
ASDM,0
ASGR,0
ASIA,0
ASII,0
ASJT,0
ASRI,124081956000
ASRM,1500000
ASSA,0
ATPK,42665000
AUTO,8525067000
BABP,636395700
BACA,69620400
BAEK,0
BAJA,15116400000
BAPA,31494400
BATA,41370000
BAYU,0
BBCA,0
BBKP,0
BBLD,0
BBMD,0
BBNI,0
BBNP,0
BBRI,0
BBRM,268600
BBTN,171355140000
BCAP,18453500
BCIC,0
BCIP,1391247000
BDMN,15581020000
BEKS,11783200
BEST,40962505500
BFIN,210000000
BHIT,0
BIMA,0
BIPI,0
BIPP,78276000
BISI,581351500
BJBR,0
BJTM,0
BKDP,49700
BKSL,29124840600
BKSW,2155000
BLTA,0
BMAS,2623000
BMRI,367788825000
BMSR,0
BMTR,0
BNBA,1711500
BNBR,0
BNGA,980160500
BNII,0
BNLI,0
BORN,500138500
BPFI,0
BRAM,0
BRAU,0
BRMS,0
BRNA,0
BRPT,10863000
BSDE,0
BSIM,35000000
BSSR,0
BSWD,0
BTEK,8000866500
BTEL,0
BTON,0
BTPN,0
BUDI,0
BULL,0
BUMI,11452166400
BUVA,5880000
BVIC,73482400
BWPT,0
BYAN,0
CASS,0
CEKA,0
CENT,42672300
CFIN,110550300
CITA,0
CKRA,0
CLPI,20220000
CMNP,0
CMPP,0
CNKO,4831312200
CNTX,560000
COWL,0
CPGT,136890900
CPIN,46383670000
CPRO,0
CSAP,81205200
CTBN,0
CTRA,28337088000
CTRP,18540137000
CTRS,5990068000
CTTH,27282400
DART,29172000
DAVO,0
DEFI,0
DEWA,0
DGIK,3496092000
DILD,0
DKFT,1634942400
DLTA,0
DNET,963578000
DOID,0
DPNS,4397700
DSFI,525200
DSNG,2969336000
DSSA,0
DUTI,0
DVLA,0
DYAN,0
ECII,424794000
EKAD,164918400
ELSA,15665429400
ELTY,900000
EMDE,0
EMTK,0
ENRG,0
EPMT,0
ERAA,63107712500
ERTX,0
ESSA,0
ESTI,0
ETWA,961000
EXCL,0
FAST,845432000
FASW,225450000
FISH,0
FMII,476000000
FORU,121370000
FPNI,0
FREN,0
GAMA,2258876700
GDST,32487000
GDYR,0
GEMA,16882000
GEMS,0
GGRM,51668505000
GIAA,2016005200
GJTL,18234855000
GLOB,470000
GMCW,0
GMTD,0
GOLD,0
GPRA,83963600
GREN,2610000
GSMF,0
GTBO,1163886000
GWSA,8524900
GZCO,91623000
HADE,0
HDFA,0
HDTX,0
HERO,1429145000
HEXA,0
HITS,0
HMSP,0
HOME,1324132000
HOTL,964500400
HRUM,23555772500
IATA,598691900
IBST,0
ICBP,0
ICON,0
IGAR,0
IIKP,0
IKAI,1191800
IKBI,0
IMAS,1420640000
INAF,231684000
INAI,33089000
INCI,21783300
INCO,25485498000
INDF,0
INDR,0
INDS,35607000
INDX,103009500
INDY,2505379500
INKP,0
INPC,38056200
INPP,31000
INRU,0
INTA,0
INTD,0
INTP,0
INVS,3521191500
IPOL,0
ISAT,26217112500
ISSP,0
ITMA,0
ITMG,20463325000
ITTG,0
JAWA,0
JECC,0
JIHD,1283349000
JKON,30240000
JKSW,0
JPFA,0
JPRS,0
JRPT,0
JSMR,46620600000
JSPT,0
JTPE,0
KAEF,3050740000
KARK,0
KARW,2445300
KBLI,468259200
KBLM,15500
KBLV,36300000
KBRI,0
KDSI,10564000
KIAS,76348800
KICI,12516000
KIJA,0
KKGI,0
