Ticker,MarketCap,Turnover
100220.KS,114.7B,495255417.555
100250.KS,175.6B,853313174.961
100840.KS,119.4B,397352511.773
101060.KS,512.7B,1631222727.17
101140.KS,9.202B,12363090.4632
101990.KS,31.923B,334510350.567
102260.KS,240.6B,1158283693.77
102280.KS,59.751B,1002365545.32
102460.KS,303.1B,822262917.961
103130.KS,159.8B,2855652937.59
103140.KS,754.9B,4806197907.6
103590.KS,348.5B,2609189536.84
104110.KS,32.867B,271383324.024
104120.KS,21.408B,150509120.091
104700.KS,256.8B,176777257.226
105560.KS,13.561T,38921159954.3
105630.KS,1.056T,2951327787.67
105840.KS,147.2B,364186032.413
107590.KS,224.3B,68892436.9748
108670.KS,1.913T,7914608180.92
109070.KS,12.056B,56445511.0296
111770.KS,1.981T,3421500411.25
114090.KS,2.517T,8941194222.07
115390.KS,701.7B,8576492706.38
117930.KS,739.3B,8235255610.55
118000.KS,18.603B,423638328.67
119650.KS,63.900B,454561648.189
120030.KS,83.677B,1629168064.4
120110.KS,1.747T,4412199087.46
122900.KS,1.374T,2665638135.72
123690.KS,29.162B,135483479.671
123700.KS,131.9B,305520358.237
128820.KS,121.5B,465180014.829
128940.KS,941.4B,6119013301.8
900050.KS,124.3B,3537875052.08
