Ticker,MarketCap,Turnover
888.L,418.0M,108607710.382
AAL.L,18.256B,6072082615.95
ABF.L,23.980B,1834639146.16
ABG.L,846.3M,222633760.252
ABT.L,57.344B,0
ACL.L,79.6M,14701454.4617
ACO.L,1.4M,5521.17434919
ADM.L,3.918B,756800915.107
ADN.L,5.089B,1849609968.43
AEP.L,277.6M,4019164.75095
AERL.L,742.2M,0
AEX.L,16.1M,8125197.87218
AFR.L,1.566B,420758940.363
AFRB.L,775.3M,103086.509274
AGA.L,111.0M,25394445.1333
AGD.L,3.532B,2828254.14507
AGK.L,4.161B,1253934007.56
AHT.L,4.341B,1247903638.1
AIE.L,265.4M,97400141.2881
AIP.L,45.0M,8338091.01031
AKT.L,1.1M,395545.451655
ALNT.L,1.024B,81424201.5738
ALU.L,40.8M,1586239.21174
ALY.L,184.9M,8484955.41386
AMEC.L,3.592B,1280665746.93
AML.L,2.329B,382052145.297
ANA.L,773.9B,0
ANH.L,1.163B,53955009.6848
ANTO.L,7.527B,1684487076.39
APF.L,191.9M,29859714.7459
AQP.L,113.9M,54130569.571
ARM.L,12.342B,3477930385.44
ARW.L,383.2M,189301743.606
ASBE.L,1.0M,37778.3564714
ASHM.L,2.461B,386223912.842
ASPL.L,82.7M,14351.7837747
ATK.L,1.266B,153781522.163
AVAP.L,67.2M,16618532.6079
AVM.L,15.6M,16655409.8929
AVON.L,182.7M,19023343.1137
AVV.L,1.287B,286302986.075
AYM.L,5.1M,358842.693273
AZN.L,54.797B,9732572943.16
BAB.L,4.150B,1079842285.54
BAC.L,147.2B,0
BAE.L,2.3M,268023.387178
BAG.L,740.1M,40007223.3382
BARC.L,34.929B,12185414243.7
BATS.L,65.952B,8762150637.57
BBA.L,1.449B,178683796.061
BBY.L,1.601B,543736871.734
BDEV.L,3.558B,1417805360.68
BET.L,1.010B,123655315.421
BEZ.L,1.265B,158620849.078
BFA.L,78.088B,1732096803.33
BGEO.L,812.8M,249353325.358
BHY.L,237.6M,12388692.6592
BISI.L,11.2M,457192.374083
BKG.L,3.143B,808437782.866
BKIR.L,8.118B,1218477415.89
BLT.L,101.1B,11483222303.5
BMS.L,106.7M,9989520.10346
BMY.L,130.5M,14432222.1385
BNC.L,71.088B,5034758843.32
BNZL.L,5.278B,645260656.641
BOE.L,100.7B,5094541.6423
BOK.L,2.330B,453422737.095
BOY.L,1.318B,132001067.366
BPI.L,166.2M,22013746.0321
BPTY.L,781.8M,297637122.651
BQE.L,43.7M,5169135.67328
BRAM.L,556.7M,64925307.8693
BRBY.L,6.397B,1744666196.94
BRSN.L,1.660B,153651835.362
BRT.L,109.1M,10975337.3137
BRW.L,841.5M,90652771.768
BSY.L,13.867B,2623755934.2
BTG.L,2.241B,292141007.675
BVA.L,55.314B,1654311187.69
BVC.L,75.6M,5610053.29571
BVIC.L,1.768B,335324418.652
BVS.L,1.060B,234654990.91
BWNG.L,1.182B,169649346.042
BWO.L,1.248B,42842.3236515
BWY.L,1.889B,496542466.685
CAD.L,22.5M,720953.239457
CAL.L,163.7M,5443795.95301
CAM.L,305.8M,13521204.7373
CAPC.L,2.508B,430004027.798
CAPD.L,38.9M,3296966.94911
CAR.L,71.7M,55948023.8553
CAU.L,88.0M,10561638.7604
CAY.L,187.8M,5271221.47921
CBG.L,1.919B,342931551.99
CCC.L,1.371B,40029333.7277
CCL.L,17.165B,1689796784.84
CCR.L,1.570B,0
CDFF.L,13.4M,116686.963034
CEY.L,693.6M,235461765.542
CFYN.L,16.1M,1570818.38203
CGL.L,1.919B,341743655.473
CGS.L,206.8M,9171397.94315
CHG.L,387.6M,176240327.265
CHW.L,344.8M,36485165.1626
CIN.L,3.4M,391725.940897
CINE.L,491.3M,160042077.524
CIU.L,350.0M,59978792.3073
CKN.L,437.9M,31237767.301
CLI.L,580.2M,33511106.965
CLIG.L,75.2M,9668586.49987
CLLN.L,1.429B,446109542.562
CML.L,58.7M,6932757.20459
CMS.L,117.0M,29019718.4665
CNA.L,15.893B,3898625466.06
CNE.L,1.158B,470336576.373
CNS.L,20.7M,2579785.13391
COB.L,3.322B,528220664.423
COD.L,23.126B,0
COLT.L,1.243B,42045498.4739
COST.L,166.9M,52439640.9349
CPG.L,18.094B,9459193.39319
CPI.L,7.465B,1124430509.89
CPP.L,17.5M,10461063.9354
CPR.L,352.8M,24703238.6456
CPW.L,1.813B,126842051.266
CRCL.L,802.5M,445618977.287
CRDA.L,2.924B,832349037.538
CRE.L,63.4M,10412861.4711
CRH.L,11.225B,0
CRL.L,2.7M,269354.987345
CRM.L,159.6M,10552715.4973
CSN.L,369.5M,50372291.0689
CSR.L,940.6M,480651.028305
CSRT.L,277.0M,38826822.8836
CTA.L,40.673B,1014051.01331
CTI.L,136.1M,1203186.30705
CTO.L,31.3M,3105382.82576
CTR.L,95.0M,4481314.63422
CWC.L,1.209B,301987499.563
CWD.L,1.156B,172443915.203
CWK.L,613.9M,42907595.5323
CZB.L,13.036B,283346993.122
DCC.L,2.993B,0
