Ticker,MarketCap,Turnover
A2A.MI,2.635B,11836349.7206
ACA.MI,27.007B,65877.0416484
ACE.MI,2.328B,856842.573589
ACO.MI,67.9M,73663.5535092
ACP.MI,46.1M,105281.212094
ACS.MI,91.3M,69695.9439611
AE.MI,42.2M,262002.711661
AEF.MI,120.9M,387078.741269
AFI.MI,113.2M,26512.5672423
AGL.MI,1.683B,10341508.6077
AGN.MI,13.374B,33155.9123965
AGS.MI,6.537B,30459.4481189
AH.MI,12.367B,0
ALU.MI,7.241B,365143.453546
ALV.MI,55.039B,478254.715429
AMP.MI,1.015B,827306.813291
ARE.MI,6.7M,168044.830623
ARN.MI,150.1M,162446.470755
ASC.MI,443.1M,581396.023091
ASR.MI,132.2M,851678.699196
AST.MI,811.6M,1666517.91901
AT.MI,982.8M,605836.461021
ATL.MI,16.472B,30236258.7514
AUTME.MI,68.7M,46335.6856498
AXA.MI,42.245B,181031.616393
AZM.MI,2.530B,16094656.144
B.MI,37.1M,0
BAN.MI,129.9M,0
BASF.MI,79.862B,115458.875708
BAY.MI,84.927B,216012.861119
BC.MI,1.110B,2845407.4065
BCM.MI,20.6M,126505.008123
BDB.MI,388.0M,167505.468217
BDBR.MI,351.8M,13673.2760281
BE.MI,89.6M,157583.485828
BEC.MI,77.5M,124457.850054
BEST.MI,19.8M,23977.1147214
BET.MI,69.3M,267673.439015
BF.MI,202.3M,268314.249365
BFE.MI,158.9M,284087.976856
BGN.MI,2.303B,5296393.46925
BIA.MI,38.0M,193033.601197
BIE.MI,13.4M,108233.653122
BIM.MI,502.8M,256415.098545
BLZ.MI,86.1M,71660.33998
BMPS.MI,174.6M,0
BMW.MI,60.671B,200990.780799
BNP.MI,61.143B,2109420.16104
BNS.MI,1.254B,1509855.27995
BOE.MI,88.8M,622.816302236
BP.MI,2.224B,20807202.9228
BPE.MI,2.152B,16796410.8738
BPSO.MI,1.212B,1801067.52511
BRE.MI,1.793B,4688613.81753
BRI.MI,84.3M,222197.795907
BSRP.MI,548.8M,57517.1994538
BSS.MI,236.5M,465126.662909
BZU.MI,2.602B,7935008.17759
BZUR.MI,1.489B,704072.277254
CAD.MI,41.1M,28017.5466991
CAI.MI,488.1M,916857.790655
CALT.MI,300.3M,60528.2951629
CARR.MI,108.2M,195866.406432
CASS.MI,941.2M,634390.793203
CC.MI,54.3M,38514.2966685
CDR.MI,9.5M,4399.06768089
CE.MI,2.250B,1208898.42956
CED.MI,145.2M,50233.7375221
CEM.MI,927.7M,1189512.19812
CHL.MI,9.9M,124081.063007
CIA.MI,24.7M,22033.7351062
CIR.MI,847.8M,977719.392938
CLE.MI,30.2M,164991.702351
CLF.MI,14.9M,46340.0794063
CLT.MI,32.0M,275621.506836
CMB.MI,188.2M,89973.9950758
CNP.MI,18.0M,31214.6189668
COB.MI,142.8M,435254.22995
COF.MI,381.1M,204121.673885
CPR.MI,3.667B,6864692.89158
CRG.MI,338.3M,5351049.55656
CRGR.MI,3.192B,21794.1989811
CRR.MI,19.579B,22409.2155438
CSP.MI,60.8M,101887.986777
CTIC.MI,303.9M,0
CVAL.MI,479.3M,3374616.68608
DA.MI,54.8M,58184.3399907
DAI.MI,72.853B,148909.430451
DAL.MI,540.6M,545741.263821
DAN.MI,1.754B,914279.733062
DANR.MI,1.264B,1314587.65493
DBK.MI,26.390B,515692.882939
DEA.MI,397.3M,413046.736314
DIA.MI,1.670B,3473159.21155
DIB.MI,42.3M,162384.382136
DIS.MI,222.6M,585110.272688
DLC.MI,208.6M,194110.612524
DLG.MI,2.343B,1928484.75897
DMA.MI,4.5M,47595.5343919
DMN.MI,108.2M,82718.6290009
DNN.MI,32.377B,12358.669351
DTE.MI,56.615B,146941.573957
ECA.MI,22.9M,150041.13636
EDNR.MI,4.868B,0
EEMS.MI,10.5M,277341.314753
EGPW.MI,10.480B,11744663.5475
ELC.MI,103.0M,155125.93695
ELN.MI,110.0M,163376.970274
