Ticker,Turnover
01X,0
02G,0
02M,0
02V,0
79,0
07K,0
07W,1755
08W,0
0BD,0
0C1,0
0CP1,0
0CZ,0
0DV,0
0,0
0KE,0
0LC,1019
0MJA,0
0ML,0
0SC,0
0SG,0
0UA,0
0WC,3220
0WP,0
0XB,0
102,0
13B,0
144,0
14A,0
16T,0
1AJ1,0
1CA,0
1CN,270
1CT,0
1FA,0
1FE,0
1GE,0
1GW,0
1HTA,0
1LA,0
1LG,0
1LP,0
1MH,0
1NC,0
1NS,0
1P2,0
1PL,0
1SK,0
1SO,0
1T5,0
1TQ,0
1VO,0
20A,0
21M,0
273,0
276A,11475
29X,0
2AE,0
2BH,0
2CD,0
2CI,0
2DB,0
2EV,0
2HR,0
2IB,0
2IS,0
2J1,0
2JA,0
2JC,0
2KD,0
2LR,0
2N9A,0
2NC,0
2TR,0
2YS,0
30M,0
31Z,0
32N,7065
33A,0
33R,0
33X1,0
34T1,0
34U,0
36M1,0
37RN,0
37S,0
39J,0
3A1,0
3BG,0
3C6A,0
3CAA,0
3CC,0
3CQ,0
3DM,0
3DW,0
3EC,0
3EV,0
3FH,0
3FO,0
3FV,0
3GY,0
3H3,0
3HG,0
3HU,0
3IB,0
3IW,0
3JR,0
3M71,0
3MJ,0
3NB,0
3NY,0
3P7,17132
3PW,0
3PY1,0
3R9,0
3RB,0
3RR,0
3RV,0
3SD,0
3SI,0
3SY,0
3T4,0
3TK,0
3V4,0
3V64,16634
3VE,0
3W9,0
3XO,0
41G1,0
44T,0
45S,0
46BA,0
46C1,0
48CA,0
48I,0
49D,0
49F,0
4BV,0
4BY,0
4CF,0
4DS,0
400000000,0
4EH,0
4FF,0
4FM,0
4FN,0
4FO,0
4FP,0
4FU,0
4FV,0
4FY,0
4FZ,0
4G3A,0
4GE,0
4GJ,0
4GM,0
4GN,0
4GO,0
4GP,0
4H5,0
4HB,0
4HN,0
4HW,0
4I1,0
4ID,0
4LD,0
4M4,0
4NS,0
4OJ,0
4P4,0
4P9,0
4PT,0
4QW,0
4SK,0
4XD,0
4XS,0
50E,0
55G,0
56P,0
58I,0
599A,0
59M,0
5AA,0
5AB,0
5AT,0
5BG,2532
5BN,0
5CM,0
5CW,0
5F4,0
5HY,0
5LM,0
5MB,0
5MH,0
5OG,0
5PF,0
5PV,0
5S4,0
5TN,0
5TP,0
5YG,0
60N,0
65P,0
68B,550
6AB,0
6AH,0
6AX,36
6BC,0
6BK,0
6C4,0
6C9,0
6000000000,0
6H2,0
6HB,0
6HP,0
6HW,0
6K1,0
6LD,0
6LM,0
6MK,0
6MT,0
6ND,0
6OL,0
6PG,0
6TH,0
6TO,0
6TUW,0
6WX,0
6YP1,0
70P,0
72A,0
74M,0
75C,0
7A2,0
7AA,0
7AZ,0
7B7,0
7BF,0
7CH,0
7DG,0
7DM1,900
7FM,0
7GG,0
7HD,0
7IM,0
7KT,0
7KXN,0
7NX,0
7PW,0
7PZ,0
7RM,0
7S4,0
7SA,0
7T0,0
7TF,0
7TG,0
