Ticker,MarketCap,Turnover
A,19.159B,104777707.266196
AAME,81.7M,38992.5354112051
AAON,1.197B,3484905.82382111
AAPL,542.5B,33949631872.7048
AAWW,921.9M,10445987.2045438
ABAX,996.7M,5890533.81039579
ABCB,532.3M,1625152.18441859
ABCD,90.9M,48074.285714388
ABCO,1.849B,15577925.0869919
ABIO,30.1M,607433.677963783
ABMD,954.6M,8954828.40707246
ABTL,119.3M,2589498.7652318
ACAD,2.249B,39982785.9740803
ACAS,3.931B,43397789.2184845
ACAT,484.0M,12686286.3021607
ACET,505.6M,7870104.13617708
ACFC,63.1M,89419.8858874812
ACFN,51.0M,1652207.82895978
ACGL,7.496B,22427317.6468781
ACHC,2.364B,21649186.5373258
ACHN,717.3M,23423977.3328815
ACIW,2.052B,13066898.0040157
ACLS,212.4M,1226495.35313426
ACNB,118.1M,45211.0606866069
ACOR,1.359B,20085650.5581872
ACPW,63.9M,203138.766233968
ACRX,434.0M,6056660.18963879
ACST,116.2M,805268.316439668
ACTG,836.0M,8351018.3573469
ACTS,162.5M,166408.63168859
ACUR,51.3M,275932.991073788
ACXM,1.653B,22366869.5228341
ADAT,24.9M,112123.172188351
ADBE,35.980B,213161437.577809
ADEP,137.0M,3495768.94544363
ADES,446.9M,6220504.91687661
ADI,16.750B,97502696.0883597
ADP,37.975B,124813796.781793
ADSK,12.647B,113677331.671417
ADTN,1.219B,18366736.6746346
ADUS,244.8M,1675020.29605006
ADVS,1.694B,8914053.98343262
AEGN,844.1M,5383498.14936118
AEGR,955.2M,71691552.6363118
AEHR,23.3M,30970.0211687676
AEIS,762.6M,12426471.6319665
AEPI,182.6M,1506973.71350565
AETI,55.0M,143611.754805214
AEY,28.3M,111546.493733727
AEZS,63.9M,568334.170736083
AFAM,201.4M,1499299.17125265
AFCB,40.3M,37881.5695237584
AFFX,655.6M,7592452.71818026
AFFY,3.9M,416176.787532627
AFH,141.9M,943830.105673661
AFOP,329.0M,15502185.612576
AFSI,3.161B,23207707.2499943
AGEN,226.5M,1742129.63227381
AGII,1.300B,5993375.72142598
AGNC,8.167B,89561487.9087177
AGNCP,9.342B,481541.320000089
AGYS,314.4M,719421.361815815
AHGP,3.811B,3788456.35999792
AHPI,18.2M,9199.27272726
AIMC,985.0M,4419528.52424903
AIQ,287.7M,1081593.93731682
AIRM,2.026B,24020385.4256521
AIRT,29.9M,48297.9708226158
AIXG,1.584B,932124.539091145
AKAM,10.783B,115864894.367348
AKRX,3.162B,19489126.8702471
ALCO,284.2M,466042.24026033
ALCS,23.0M,47453.6112552118
ALGN,4.428B,50317001.3155014
ALGT,2.131B,11399136.8863618
ALIM,246.0M,946743.03878696
ALKS,7.198B,47546168.2196987
ALLB,63.8M,93026.7522748416
ALLT,414.0M,3621017.51175731
ALNY,4.935B,57404776.8650246
ALOG,960.7M,8863050.78309412
ALOT,106.4M,94906.1266669488
ALSK,89.1M,530040.866492599
ALTI,40.6M,105698.513333314
ALTR,10.754B,109774045.224194
ALXA,77.9M,398059.860779012
ALXN,31.325B,198810464.375407
AMAG,443.0M,8523406.46687494
AMAP,1.138B,17151159.8928559
AMAT,27.221B,262624160.261244
AMBA,905.1M,23406866.1242885
AMBT,16.1M,85480.6358443056
