Ticker,MarketCap,Turnover
ABA.NZ,116.0M,70596.7219917
AIA.NZ,4.589B,6626725.787
AIR.NZ,2.373B,5555281.53135
ALF.NZ,4.5M,2614.97817708
AMP.NZ,16.810B,193658.706465
ANZ.NZ,98.744B,1762725.59269
APN.NZ,575.5M,7630.63405753
ARG.NZ,771.1M,0
ATM.NZ,452.0M,868565.991426
AWF.NZ,67.2M,12995.7820833
BFW.NZ,148.0M,7177.83184028
BGR.NZ,570.2M,36293.8381944
BLT.NZ,17.6M,6160.5125
BRL.NZ,41.1M,60402.7318149
CAV.NZ,94.3M,72637.8128472
CDI.NZ,145.6M,10614.4543924
CEN.NZ,3.901B,1960285.46661
CMO.NZ,170.3M,11900.4738899
CNU.NZ,670.8M,3205102.33326
CUE.NZ,69.8M,335.209695208
CVT.NZ,120.5M,35427.6566493
DGL.NZ,429.1M,29155.2532639
DIL.NZ,344.4M,961115.304514
DNZ.NZ,479.4M,349396.251786
DPC.NZ,107.8M,38969.0665104
EBO.NZ,1.476B,1207831.8096
FBU.NZ,6.092B,15252427.0259
FCG.NZ,9.395B,896141.153148
FIN.NZ,4.5M,27.28375
FPH.NZ,2.581B,3996516.83263
FRE.NZ,786.4M,684574.831322
GFF.NZ,1.408B,51621.6271424
GFL.NZ,5.6M,752.547881944
GLL.NZ,1.317B,95824.6034708
GPG.NZ,949.8M,1683750.44234
HBY.NZ,261.6M,162400.997917
HLG.NZ,182.4M,186676.239427
HNZ.NZ,365.1M,455934.774671
IFT.NZ,1.365B,1661022.2689
JWI.NZ,8.2M,681.684375
KMD.NZ,656.8M,1857900.61524
KRK.NZ,23.0M,2028.91333333
LIC.NZ,227.3M,23732.7835937
LPC.NZ,322.1M,3616.46027778
MAD.NZ,11.2M,6512.88519097
MCK.NZ,227.0M,12769.7317708
MET.NZ,951.2M,3837563.41199
MFT.NZ,1.421B,1148232.8659
MGL.NZ,45.8M,30391.241875
MHI.NZ,471.1M,137145.008333
MOA.NZ,13.2M,17884.1889236
MOW.NZ,6.4M,134.2125
MRP.NZ,3.093B,3560786.52133
MVN.NZ,75.3M,68255.1739812
MYK.NZ,1.6M,252.87708545
NPX.NZ,614.2M,942989.361719
NTH.NZ,125.9M,7388.0549233
NWF.NZ,14.2M,5243.44791667
NZO.NZ,334.9M,262478.203056
NZR.NZ,473.2M,142761.911606
NZX.NZ,342.9M,343290.848542
OGC.NZ,1.037B,189797.188635
OIC.NZ,262.8M,61893.517708
OMG.NZ,5.0M,43.7147916667
PBG.NZ,483.8M,635.489722222
PEB.NZ,280.1M,699194.001458
PFI.NZ,545.2M,331476.780625
PGC.NZ,79.7M,22048.6210938
PGW.NZ,313.3M,170890.229094
PHB.NZ,160.2M,0
POT.NZ,2.081B,506093.588747
PPG.NZ,2.9M,2259.96697917
PPL.NZ,76.1M,94390.2031771
PPP.NZ,47.1M,4869.31154917
RAK.NZ,44.2M,22162.7512153
RBC.NZ,155.4M,29138.9499653
RBD.NZ,326.9M,206790.453715
RIS.NZ,745K,73.2315214958
RNS.NZ,6.2M,3277.52796875
RYM.NZ,4.222B,6736673.91684
SAN.NZ,377.9M,86500.4901042
SCT.NZ,67.0M,14658.3535938
SCY.NZ,26.4M,9890.54861111
SDL.NZ,7.0M,4434.9375
SEK.NZ,43.3M,1802.01125
SGL.NZ,907K,21.0976222861
SKC.NZ,2.281B,7914870.07162
SKL.NZ,339.3M,277322.285052
SKT.NZ,2.658B,8451086.98375
SLG.NZ,13.0M,2542.99292368
SLI.NZ,90.7M,76386.0549306
SML.NZ,491.9M,537864.646267
SNK.NZ,21.7M,47009.6673611
SPN.NZ,90.8M,4368.00449653
SPY.NZ,49.8M,37146.4161774
STU.NZ,275.0M,338683.902274
SUM.NZ,749.2M,2851667.59109
TEL.NZ,4.896B,15184773.1376
TEN.NZ,97.6M,11002.6516319
THL.NZ,121.2M,126189.317591
TLS.NZ,69.031B,1106741.6158
TME.NZ,1.384B,5766676.84639
TPI.NZ,1.894B,481962.41855
TPW.NZ,2.222B,261133.938542
TRS.NZ,5.4M,347.380989583
TTK.NZ,47.1M,42922.9767882
TUA.NZ,74.5M,18627.9729688
TUR.NZ,234.0M,3766.56901042
TWR.NZ,346.4M,1101732.81528
VCT.NZ,2.519B,634064.252778
WBC.NZ,114.0B,4767775.27246
WDT.NZ,13.9M,5965.22296875
WHS.NZ,938.9M,502297.919957
WTL.NZ,1.4M,98.0407017786
WYN.NZ,215.4M,459822.693611
XRO.NZ,3.292B,7352905.35549
ZEL.NZ,1.576B,4676752.22262
