Ticker,MarketCap,Turnover
AB.PA,357.3M,1542724.83976
ABBV.PA,58.244B,108.505590278
ABCA.PA,261.3M,215114.635581
AC.PA,8.666B,30579870.084
ACA.PA,26.445B,60131119.7143
ADI.PA,127.3M,79246.7072705
ADOC.PA,90.7M,252963.956076
ADP.PA,9.478B,3691433.29501
ADVI.PA,109.5M,20401.5520211
AF.PA,2.876B,28826908.3052
AFO.PA,41.7M,17144.4268658
AGCR.PA,19.7M,82.9445774005
AGTA.PA,458.9M,25397.5151943
AI.PA,33.282B,65127918.6167
AKA.PA,434.1M,365256.074689
AKE.PA,4.562B,14395692.961
ALA2M.PA,24.8M,19618.5259012
ALACI.PA,19.9M,2636.78579914
ALADM.PA,22.7M,23280.9776615
ALADO.PA,1.0M,108433.206702
ALALO.PA,5.4M,112466.074228
ALANT.PA,12.6M,6862.46133848
ALAQU.PA,7.0M,3408.51875829
ALAST.PA,31.9M,18106.6444915
ALAUP.PA,40.4M,237490.186166
ALBFR.PA,42.3M,41546.8174927
ALBIO.PA,7.1M,26286.4851106
ALBRI.PA,211.2M,2430.83314368
ALBUD.PA,4.2M,11492.2160852
ALCAR.PA,333.9M,1037600.04902
ALCER.PA,25.2M,4340.43656273
ALCES.PA,3.5M,8551.4259052
ALCLA.PA,63.4M,22567.7482012
ALCLS.PA,270.1M,1240938.79596
ALCNP.PA,13.3M,182.726212776
ALCOG.PA,15.3M,7332.94140941
ALCRM.PA,6.7M,13912.7644152
ALDEI.PA,70.7M,164635.627282
ALDIE.PA,10.8M,4127.90168239
ALDLS.PA,35.6M,29014.6226081
ALDMO.PA,13.2M,2519.72955011
ALDOL.PA,7.1M,305.305631904
ALEHT.PA,44.9M,644821.850038
ALENT.PA,9.4M,2324.14423767
ALEUA.PA,71.3M,141.331657513
ALEUP.PA,38.5M,522743.029924
ALFBA.PA,21.3M,10832.0530103
ALFRE.PA,2.8M,483.24932422
ALGBE.PA,108.8M,67352.6773516
ALGCM.PA,48.4M,5935.23012552
ALGEM.PA,65.9M,2519.54517603
ALGEN.PA,13.4M,33721.0419285
ALGLD.PA,6.9M,4865.31919959
ALGOW.PA,1.440B,759094.454281
ALGUI.PA,107.3M,13751.8982861
ALHEO.PA,22.0M,1690.78679775
ALHIT.PA,10.8M,3656.60136706
ALHOM.PA,98.2M,2906.12244968
ALHPC.PA,130.9M,184605.177322
ALHVS.PA,40.2M,9598.19222353
ALHYG.PA,48.6M,1399883.71881
ALI2S.PA,2.8M,1124.47835297
ALIMO.PA,361K,54.813105835
ALINN.PA,32.8M,5031.56527372
ALINS.PA,11.0M,25355.0869992
ALINT.PA,23.7M,49619.469372
ALIPS.PA,73.5M,2263.53848598
ALKEY.PA,13.8M,5563.91065925
