Ticker,MarketCap,Turnover
500.SI,159.0M,45051.0555556
510.SI,65.3M,19329
519.SI,79.9M,108222.083333
526.SI,86.6M,128197.208333
528.SI,318.3M,135381.243924
533.SI,150.7M,17979.3157831
535.SI,18.8M,124032.783333
538.SI,17.4M,11980.4583333
543.SI,29.2M,2491.96597222
544.SI,309.6M,786736.746354
547.SI,87.7M,4137.1453125
552.SI,36.8M,10813.3411458
554.SI,122.2M,192026.943751
558.SI,236.3M,847230.365451
560.SI,63.7M,49998.0027892
561.SI,96.9M,32779.7604167
564.SI,60.6M,12259.9822917
566.SI,176.5M,1386581.30197
568.SI,244.7M,548047.232639
569.SI,38.5M,1901.21388889
570.SI,29.2M,1292.86111111
573.SI,176.1M,14900.396875
575.SI,32.1M,53276.0837451
578.SI,235.9M,99522.4666667
579.SI,69.1M,355120.545865
588.SI,107.3M,44993.8521248
591.SI,57.8M,56357.9572917
593.SI,192.2M,57367.0513889
596.SI,45.4M,36254.5713542
5AB.SI,58.7M,9418.80993785
5AU.SI,32.6M,12706.0479167
5BK.SI,13.9M,4993.2453125
5BM.SI,84.9M,12437.0277778
5CB.SI,11.6M,1569.34987345
5CF.SI,91.0M,13516.1767361
5CH.SI,218.3M,115045.26179
5CN.SI,79.1M,59510.4739583
5CP.SI,2.649B,1382114.16556
5CQ.SI,185.6M,885959.296007
5CT.SI,62.1M,69883.8381944
5DA.SI,375.6M,388972.112911
5DD.SI,80.6M,5670.07222222
5DL.SI,31.6M,4647.47077357
5DM.SI,618.2M,844654.107023
5DN.SI,1.072B,7338435.28976
5DO.SI,71.8M,24702.2453125
5DP.SI,180.0M,44628.2454629
5EC.SI,12.2M,66715.2669548
5EN.SI,541.8M,2473213.73611
5ER.SI,46.2M,11078.7865223
5ET.SI,55.8M,4857584.61111
5FD.SI,169.8M,817993.646804
5FH.SI,25.8M,120485.997917
5FL.SI,314.8M,452501.813368
5FR.SI,271.2M,427311.16875
5GB.SI,1.452B,3001929.01758
5GC.SI,32.7M,2109616.3315
5GF.SI,13.2M,2145.57986111
5GI.SI,171.8M,787279.706597
5GJ.SI,254.4M,2298405.33333
5HH.SI,27.3M,55683.1859375
5HJ.SI,21.2M,299.061999621
5IA.SI,77.5M,90917.4962552
5IC.SI,154.4M,52093.1791667
5IE.SI,21.8M,119255
5IG.SI,1.568B,1154079.85503
5IM.SI,666.4M,259946.686458
5JK.SI,423.5M,217389.034722
5JS.SI,1.424B,1827164.30885
5KH.SI,17.4M,7400.1484375
5KI.SI,68.9M,94414.7173775
5KU.SI,90.0M,15220.9277778
5LY.SI,124.4M,87572.1328125
5MC.SI,99.4M,282099.375347
5MS.SI,42.7M,2506324.94031
5MZ.SI,176.3M,32958.9552521
5NF.SI,155.3M,57943.0803468
5NV.SI,43.2M,702014.736806
5OU.SI,202.3M,3303846.94774
5PC.SI,56.4M,8827.03993056
5SR.SI,357.3M,234370.155729
5UX.SI,2.093B,945318.387153
600.SI,1.009B,924466.859722
A01.SI,96.9M,292268.221277
A02.SI,26.2M,10436.9140625
A04.SI,279.0M,108649.844183
A05.SI,218.6M,4963.47980603
A0G.SI,63.9M,19853.0152778
A10.SI,32.4M,88775.0875
A13.SI,23.6M,8988.75036587
A18.SI,33.9M,16356.9484375
A23.SI,147.7M,47971.0677083
A26.SI,1.627B,667180.559028
A27.SI,72.2M,154915.583333
A30.SI,800.0M,231097.249703
A31.SI,149.1M,595490.059722
A33.SI,152.4M,13764849.255
A34.SI,326.0M,72824.4979167
A50.SI,1.169B,5374591.26186
A52.SI,33.9M,9705.784375
A53.SI,58.0M,529610.325
A54.SI,53.8M,12524.7411458
A55.SI,71.8M,5513.42779911
A59.SI,49.9M,2259.35469431
A69.SI,42.9M,2170.30956767
A6F.SI,38.0M,806770.169965
A75.SI,24.8M,131657.4
A78.SI,88.9M,7453467.88542
A7RU.SI,729.1M,265539.07563
A7S.SI,272.2M,3056211.33247
AD7.SI,12.4M,162584.623611
AI1.SI,12.5M,1600.30922333
AJ2.SI,9.6M,1250.89583333
AK3.SI,336.3M,1196421.07986
AM3.SI,3.1M,56588.425
AP4.SI,352.0M,156669.955407
AU8U.SI,1.202B,1193202.4375
B03.SI,182.6M,111725.495486
B07.SI,19.2M,38061.16875
B0I.SI,9.8M,15713.2875
B0Z.SI,757.2M,383431.645977
B10.SI,106.9M,50363.6903635
B16.SI,1.506B,1359662.77268
B1N.SI,159.7M,33997.7725694
B1ZU.SI,254.2M,246688.795833
B20.SI,1.587B,4407997.94167
B22.SI,47.3M,0
B26.SI,22.8M,618.3734375
B28.SI,571.1M,77358.5069444
B2F.SI,3.309B,2635428.61563
B2W.SI,8.003B,15706.9911941
B2X.SI,120.8M,93103.9767361
B32.SI,65.3M,7159.403125
B3C.SI,99.6M,5789.775
B49.SI,142.0M,4983.81736111
B58.SI,505.0M,67322.4795139
B61.SI,1.595B,163342.458808
B69.SI,112.3M,111401.815278
B7K.SI,58.8M,13927.9930556
B9R.SI,400.0M,158574.583333
B9S.SI,112.2M,789060.193523
BN2.SI,158.4M,292354.595486
BN4.SI,19.579B,33221917.3117
BS6.SI,4.234B,0
C04.SI,39.0M,9105.09722222
C05.SI,40.6M,5030.52633391
C06.SI,94.4M,25032.9909722
C07.SI,15.598B,9651809.31979
C09.SI,9.548B,7664633.78854
C0Z.SI,2.4M,737.983677967
C10.SI,40.1M,7416.27708333
C11.SI,34.3M,1912.82986111
C13.SI,317.3M,51855.446015
C14.SI,1.042B,890949.94456
C22.SI,668.5M,151310.140972
C29.SI,507.2M,692458.490728
C2PU.SI,1.410B,880643.598958
C31.SI,13.626B,25000712.1795
C33.SI,261.4M,67305.2048002
C37.SI,43.7M,8213.87395833
C38U.SI,6.885B,14362675.3059
C3T.SI,90.2M,67428.5694444
C41.SI,132.5M,918.947569444
C4P.SI,23.7M,20487.375
C50.SI,45.0M,1916.06822917
C52.SI,5.301B,8487715.51181
C59.SI,7.8M,1317.67881944
C60.SI,5.5M,513327.253902
C68.SI,222.5M,8243603.46389
C71.SI,43.6M,8709.29722222
C76.SI,156.7M,41369.8807794
C8R.SI,129.1M,533123.267535
C92.SI,5.9M,781.629340278
C9Q.SI,51.2M,3025.27170139
CC3.SI,7.237B,7554924.40465
CH8.SI,111.7M,53453.7652778
CL7.SI,53.9M,20568.3648698
CT1.SI,21.6M,52746.7949932
CX5.SI,7.6M,3484.00972222
CY6U.SI,757.2M,533778.984375
CZ3.SI,16.9M,525.308854167
CZ4.SI,87.4M,9947.35
D01.SI,14.197B,2122011.15573
D03.SI,713.9M,819241.928125
D04.SI,99.3M,113479.671181
D05.SI,41.231B,59832828.3163
D11.SI,122.3M,1501.390625
D2U.SI,14.4M,170845.378472
D2V.SI,23.8M,3705.02222222
D38.SI,64.0M,56458.5082901
D3W.SI,24.5M,10662.4467554
D4N.SI,807.4M,373831.148437
D50.SI,2.0M,335.370603123
D5N.SI,38.9M,34930.3171875
D6U.SI,42.0M,5030.84375
D79.SI,253.0M,107977.955556
D8DU.SI,55.6M,31131.746875
DC9.SI,28.4M,5059.29408929
DM0.SI,152.2M,13655.0355538
DT2.SI,20.4M,4309.01041667
DU4.SI,643.0M,1515976.30312
E02.SI,360.2M,155302.65
E13.SI,55.8M,126189.911111
E15.SI,9.7M,109205.2375
E16.SI,282.2M,47161.8374339
E17.SI,46.2M,13551.0763889
E18.SI,222.8M,70752.8727122
E23.SI,30.7M,292285.452083
E25.SI,57.9M,2348.44375
E27.SI,11.4M,8391.88368056
E28.SI,152.2M,192854.968056
E3B.SI,330.9M,717561.533333
E5H.SI,7.253B,20996313.9099
E5P.SI,421.8M,84894.2916667
E6A.SI,88.8M,3575.89652778
E6R.SI,154.2M,10680.2265625
E8Z.SI,698.2M,108529.466069
E91.SI,67.8M,10415.2519757
E94.SI,44.7M,3103.13194444
E9A.SI,153.0M,12828.1591226
E9L.SI,10.3M,59370.7456828
EB5.SI,3.802B,4837498.4625
EB7.SI,24.9M,4865.89969181
EE6.SI,132.1M,13363.3824653
EG0.SI,116.6M,2185333.72153
EH5.SI,717.3M,25302.0570368
ER0.SI,221.7M,263116.862847
F01.SI,261.7M,1297086.41518
F03.SI,213.1M,50233.74375
F06.SI,31.9M,0
F10.SI,112.6M,57191.4736111
F11.SI,63.1M,11127.6389869
F13.SI,76.2M,114330.024276
F17.SI,2.386B,207953.209722
F18.SI,74.7M,3890.04872506
F1E.SI,487.6M,91489.0394449
F20.SI,57.7M,565188.9375
F22.SI,40.7M,14586
F25U.SI,12.672B,3853352.74167
F2X.SI,45.9M,53123.5965278
F31.SI,1.544B,364552.203125
F34.SI,20.477B,22081240.9765
F3EU.SI,485.7M,16659.3877516
F3V.SI,322.6M,235038.297569
F6D.SI,17.0M,115620.119792
F83.SI,1.590B,1161316.84896
F86.SI,38.7M,21924.8385417
F99.SI,4.393B,2438269.89687
F9D.SI,968.2M,736648.502431
F9M.SI,275.5M,48678.432706
FO8.SI,47.5M,90226.0151042
FP1.SI,22.8M,18739.1
FQ7.SI,173.3M,160480.85625
FQ8.SI,29.8M,25661.215716
FV2.SI,38.6M,28830.6574653
G05.SI,1.332B,1708623.01997
G07.SI,10.493B,425028.03125
G08.SI,111.2M,93440.1114583
G0I.SI,70.0M,26269.5720486
G10.SI,2.657B,231.329983719
G11.SI,93.0M,50199.932074
G13.SI,16.460B,22309101.1625
G18.SI,56.3M,379799.685417
G20.SI,267.1M,33957.928125
G31.SI,62.9M,30197.5722222
G41.SI,278.1M,25171.6232639
G4F.SI,284.9M,1956252.62813
G50.SI,44.1M,47365.0350694
G54.SI,6.7M,10217.325
G77.SI,30.7M,0
G92.SI,722.6M,123929.774981
GG7.SI,126.6M,79614.4833333
GH3.SI,43.9M,21052.7821181
GJ8.SI,158.9M,1044752.55746
GU5.SI,11.6M,14510.6694444
H02.SI,1.859B,541592.563542
H06.SI,50.8M,3514.04548611
H07.SI,570.1M,147990.597958
H12.SI,327.6M,14142.698645
H13.SI,1.489B,629569.292535
H15.SI,2.053B,1071874.57172
H16.SI,9.6M,8129.453125
H17.SI,470.5M,110189.566667
H18.SI,727.9M,34938.7427902
H19.SI,209.1M,33623.3256944
H20.SI,39.0M,18303.1442296
H22.SI,596.4M,176586.816667
H27.SI,75.2M,86974.3568465
H30.SI,878.5M,420548.677881
H64.SI,123.9M,61951.6904514
H73.SI,126.4M,21292.5546875
