Ticker,Turnover
ABBV,0
ABT,0
ACIN,172950
ACUN,0
ADBN,111350
ADENE,0
ADVN,33220
ADXN,375469
AEVS,0
AFGN,810120
AIRE,0
ALLN,2450220
ALPH,3384790
ALSN,386880
AMS,6291540
APEN,2005
APGN,286000
APHN,1900
ARYN,6518670
ASCN,1002800
AUTN,2557980
BANB,53020
BAP,0
BARN,4603200
BAS,0
BAX,0
BBN,544995
BC,116740
BCGE,22980
BCHN,2973300
BCJ,0
BCVN,3138450
BEAN,1233500
BEKN,360400
BELL,0
BHI,0
BKW,987840
BLIN,13175
BLKB,196900
BOBNN,1928410
BON,0
BOS,0
BPDG,10131
BRKN,294450
BSKP,180960
BSLN,6247260
BUCN,2244000
BVZN,0
CADN,1540
CALN,78240
CAT,0
CFT,9500
CICN,69350
CIE,0
CKWN,0
CLTN,299200
CLXN,0
COPN,1210300
COTN,2842000
CPGN,43600
CPHN,0
CYTN,169676
CZH,238000
DAE,995040
DAN,170100
DCN,0
DESN,0
DKSH,10952580
EDHN,1600965
EDIE,0
EFGN,483840
ELMN,0
EMMN,602000
EMSN,3391075
EPH,0
ESUN,2600
EVE,4257652
FHZN,1846200
FORN,2834200
FORNE,0
FTON,7375
GALN,8735000
GAM,4997045
GAME,157600
GATE,2514980
GAV,44900
GBMN,34830
GE,4530
GEBNE,0
GFMN,6453
GOB,0
GOLI,45770
GRKP,370500
GT,0
GUR,254000
HBLN,0
HELN,4504500
HLEE,0
HOCN,100800
HREN,0
HUBN,209660
HUE,115500
HUN,0
IFCN,1276800
IHSN,0
IMPN,4118380
IMZ,0
INDNE,0
INI,0
INRN,54500
IPS,0
IS,235550
JFN,60345
KABN,2489800
KARN,111440
KOMN,1170300
KUD,1109220
KUNN,2404500
LECN,58233
LEHN,2043000
LEON,0
LIFE,137772
LINN,0
LISN,4980000
LISP,5849200
LLB,1946415
LLY,0
LOEP,18000
LOGN,5069200
LOHN,372500
LUKN,213600
MASN,306600
MBTN,10098880
MCHN,276000
METN,1462200
MIKN,37150
MMM,0
MOB,86130
MOBN,2519370
MYRN,58435
NATN,578690
NESNE,0
NEWN,0
NIBN,0
NIHN,83000
NOBN,10516850
NWRN,995500
ODHN,1079140
OERL,22162500
OFN,0
ORON,207100
PARG,1910795
PAXN,0
PCG,0
PEAN,124805
PED,0
PEDP,0
PEL,5300
PEP,0
PFE,0
PGHN,6384480
PM,169350
PMI,36375
PRFN,0
PSPN,3761875
PUBN,121770
PUBNE,0
PWTN,1469160
REPI,0
REPP,52850
RIEN,3469200
RLD,0
RO,5128500
ROL,133740
SAHN,162750
SANN,146400
SCHN,2442440
SCHPE1,528800
SCR,30250
SFPN,39000
SFZN,241500
SGKN,1295000
SHLTN,2397
SIN,290000
SLB,0
SLOG,51837
SMET,0
SNBN,0
SOPN,0
SQN,273800
STGN,138550
STLN,4547750
STMN,3449330
STRN,0
SUN,0
SWTQ,669000
SWTQE,0
TAMN,68400
TECN,975200
TEMN,11411550
TIBN,216120
TMX,149960
TOHN,9310
UBXN,2094400
UHRN,8162190
USIN,0
VAHN,348300
VALN,1134580
VATN,1163500
VBSN,0
VCH,125995
VET,1047000
VIJN,0
VILN,0
VLRT,0
VONN,760450
VPB,47550
VZN,46950
WARN,0
WFT,220440
WKB,149300
WMN,245100
WMNE,0
YPSN,54355
ZEH,582200
ZG,0
ZMH,0
ZUBN,0
ZUGN,117800
ZWM,0
