Ticker,Turnover
ACDP,0
ADGR,50982
ADO,540
ADVT,1200
AFHL,75012
AFID,0
AFIL,1934064
AFPR,266067
AFRE,11986
ALBA,72028
ALD,3552
ALGS,0
ALLT,1037400
ALMD,5640
ALVR,201354
AMAN,0
AMOT,5811168
AMPL,0
AMS,1720
ANGL,13760
ANLT,48100
AOC,1935
APOS,11656
ARAD,0
ARAN,159600
ARD,187464
ARGM,2030
ARKO,105000
ARPT,1937950
ARYT,19684
ARZM,0
ASDR,3780
ASDV,3350
ASGR,123284
ASHO,56925
ASPR,161994
AUDC,927875
AURA,20850
AVER,10980
AVGL,158184
AVIA,12460
AVIV,25400
AVLN,122925
AYAL,71625
AZRG,2562750
AZRM,314084
BBYL,3434112
BCEL,156066
BCNV,184680
BCOM,2103990
BEZQ,14359440
BGI,266
BICL,93291
BIG,392560
BIOV,36084
BLRX,503990
BLSR,897000
BMDX,9660
BNIN,0
BOLT,428789
BRAM,32639
BRAN,306816
BRIL,22806
BRIN,25735320
BRMG,2796
BSEN,20052
BSI,845920
BSP,13350
BYAR,5500
BYSD,287130
CAMT,962808
CAST,52160
CBI,1015338
CDEV,401660
CEL,1448525
CFBI,653956
CGEN,2804232
CHAM,4600
CII,0
CISY,5850
CLIS,2065986
CLPT,73791
CMER,43692
CPTP,4158
CRMT,19573
CRNT,359384
CRSO,15728
CTCH,64100
CTPL1,0
DANE,144480
DANH,1951
DIMRI,520174
DISI,3362780
DLEA,638925
DLEKG,5272600
DLEN,229900
DNA,4598
DNYA,59820
DORI,143016
DPRM,156604
DRAL,14572
DRCN,129780
DROM,9576
DRSL,1844
DSCT,6208668
DXIL,0
ECJM,1117208
ECP,777095
EDRL,2288
ELAL,382740
ELCO,570720
ELCRE,92829
ELDAV,2100
ELRN,651725
ELSPC,57720
ELTR,415760
EMCO,11184
EMDV,11220
EMIT,7408260
EMTC,157110
ENDY,11400
ENLT,319636
ENRG,0
EQTL,489767
ESLT,8114680
ETVW,8514
EVGN,1241106
EXCE,4721
EXEN,129636
EXPO,2200
EXTR,0
EZ,4400
EZCH,1973398
FBRT,134715
FIBI,698804
FIBR,1197
FLSN,0
FORT,0
FOX,6983709
FRDN,8880
FRUT,14297400
FTIN,3802573
FVT,0
GAON,2080
GEFEN,9
GIBC,3322
GILN,5000
GIVN,0
GLCM,10040
GLPL,30912
GLVR,12945
GNGR,77616
GOHO,29000
GOLD,79640
GOLF,118286
GRTN,224
GSFI,27280
GTR,14448
HAML,22912
HAP,159120
HARL,4661297
HDST,75548
HMAM,0
HOD,2830
IBI,0
IBLD,417147
ICCM,101796
ICL,24585174
IDBH,1064250
IE,108841
IES,104940
IGLD,359283
ILCO,3163700
ILDC,209475
IMCO,46970
ININ,103740
INSL,947430
INTCL,6335
INTP,81400
INTR,0
IPC,0
ISAL,0
ISRO,3720
ISRS,144000
ISTA,15240
ITGI,277056
ITMR,577395
ITRN,632958
JBKT,2430
JBNK,25515
JOEL,1771910
KARE,13778
KETR,6150
KLIL,107050
KLIR,0
KMDA,2274384
KMNH,0
KMOR,0
KNFM,1938
KOR,0
KRIS,35154
KRNV,12636
KRUR,244836
KRYT,7548
KTOV,9506
LAPD,3000
LBTL,12389
LDER,149930
LDRC,21920
LEVA,0
LEVI,0
LHIS,36500
LIFE,0
LODZ,11000
LPSN,686720
LUDN,154468
LUMI,17780900
LVPR,12284
LVR,63288
MABR,146421
MARA,23712
MAYN,2100
MBMX,0
MCTC,89585
MDCL,383850
MDGS,8493
MDPR,14906
MEDI,65945
MEDN,89460
MEYD,0
MGDL,2930256
MGIC,329226
MGOR,5950
MISH,1079300
MLRG,4780
MLSR,840567
MLTM,200664
MLTX,0
MMAN,158470
MMHD,3527599
MNIN,96642
MNRV,38760
MRPR,744
MSHR,68310
MSLA,6468
MTCO,8500
MTRN,133172
MTRX,895050
MZOR,2596800
MZTF,6050094
NAWI,454342
NCT,2400
NETZ,2580
NFTA,397509
NICE,2395960
NISA,55907
NRH,2247
NSEL,9708
NSKO,90750
NSVX,0
NTBA,1521772
NTGR,7011
NTO,203610
NTS,6345
NTX,171080
NVMI,721266
NXGN,507096
NXTM,6900
OGEN,24480
OHH,0
ONE,52381
OPAL,6844
ORAD,0
ORBI,59598
ORCT,0
ORIN,8105
ORL,2498059
ORMT,1929583
ORTC,16638
ORTM,5712
OSEM,2291290
PAYT,1248
PCBT,248400
PERI,450882
PHMD,611830
PHOE1,793860
PIH,192
PINR,0
PIU,17388
PLMG,6348
PLRC,18672
PLRM,18551
PLSN,1410070
PLST,478584
PLX,629424
POLI,21866250
POLRM,190368
PPIL,9000
PRGO,0
PRSD,11500
PRSK,6720
PRTC,64504
PRTL,2340
PSTI,903903
PTBL,474600
PTCH,1960
PTGR,0
PTNR,2094638
PZOL,1236020
QLTU,14915
QNCO,1848
RAVD,1790
RDHL,122400
REKA,64650
RHTCH,2500
RIMO,5880
RLCO,6195
RMLI,1617920
ROBO,0
ROSB,350
ROTS,11568
RPAC,8250
RSEL,9889
RVL,21708
SAE,1442298
SALG,9940
SANO1,125070
SCC,663005
SCIX,555324
SCOP,304232
SDS,3850
SHAN,3852
SHDSH,2907
SHNP,48906
SKBN,1120882
SLAD,0
SMCM,1606
SMOG,42240
SMT,497665
SNCB,66
SNEL,101388
SNFL,24273
SOLH,0
SPCT,45008
SPNS,277452
SPNTC,55767
SRAC,71530
SRFT,15262
STCM,3173
STG,0
STNT,10982
STRS,1958998
SUNY,0
TALD,6062
TATTF,11956
TAYA,0
TDGN,73710
TDRN,56728
TEFN,2040
TEVA,20368480
TFRE,11800
TFRLF,17893
TFVC,780
TLSY,10030
TMBU,0
TOPS,0
TPUZ,0
TREN,1245
TSEM,6982392
TSNT,0
TTAM,271000
TUBE,3048
TUZA,7344
TZMI,1976
ULTR,0
UNIT,1902
UNON,209250
VCTR,13476
VILR,70752
VISN,1213600
WALA,0
WDMD,1392
WDRE,14920
WLFD,194904
XENA,4186
YAAD,0
ZMH,0
ZNKL,7740
ZUR,84095
