Ticker,Turnover
AAB,4340
AAV,2594852
ABT,705798
ABX,35204361
ACC,112500
ACD,0
AD,4350000
AEI,209275
AEM,35931696
AEZ,21000
AF,5600
AFN,740220
AGI,1835352
AGT,1724144
AGU,33306231
AHX,25944
AIF,4133160
ALA,10970916
ALB,7340
ALC,22988
ALS,257480
AM,90688
AMF,26240
AMM,10878
ANV,486000
ANS,330372
ANX,5409
APY,1515
AQA,0
AR,1971662
ARE,4807660
ARG,8858
ARX,18922872
ARL,0
ASR,402956
ATA,5974930
ATH,7695450
ATN,26520
ATP,1526280
AUE,0
AUM,44694
AUQ,1650684
AVK,0
AVL,90650
AVP,0
AXL,31560
AXR,288120
AXX,104993
AXY,42560
AZC,722644
BAA,153792
BAN,15472
BBO,207080
BCB,142464
BCE,47240144
BCI,4380
BDT,195804
BIN,1960713
BIR,3780216
BK,78900
BKI,50256
BKP,0
BKX,83232
BLD,2660553
BLU,58875
BLX,4008125
BMO,74942088
BNC,23997
BNE,4026100
BNK,7451535
BNP,6824322
BOS,34003
BOY,0
BQE,150
BRB,29760
BRE,118020
BNS,121030992
BRP,278250
BRY,545714
BSC,8720
BU,34692
BTO,12305616
BUI,1965
BX,1775
BZA,0
CAB,152775
CAL,56358
CAE,8044965
CAM,254961
CAX,70
CAS,356975
CAZ,60458
CBN,9230
CBD,127920
CBO,1850947
CBQ,163744
CBR,58671
CBU,0
CCM,2200
CCA,3740800
CCO,10329441
CCZ,4700
CDH,60885
CDG,2392
CDU,99
CDV,146888
CDZ,1249970
CEG,985
CEE,19097
CEU,3959592
CEW,39800
CEZ,240
CFB,0
CF,6005878
CFP,10835805
CFW,4289048
CG,2924173
CGG,574544
CGI,341048
CFX,180412
CGJ,5540
CGL,446940
CGR,50534
CGX,4566744
CGO,685500
CHB,323250
CHH,80920
CHI,8228
CHW,216225
CIC,165680
CIE,203464
CIF,99507
CIX,33472040
CJT,337280
CJP,43549
CKE,388076
CKI,142891
CLL,39997
CLF,517508
CLO,129148
CLS,1705752
CLU,75208
CM,70453188
CMG,290200
CMH,2470
CMR,140000
CMW,4608
CNE,4845584
CNL,1182860
CNQ,88043293
CNR,76326250
COP,11880
