Ticker,Turnover
ABE,0
AEM,0
AGLT,11200
AGR,34700
AIN,14000
AMAG,14172
ANDR,5115124
ATB,0
ATEC,0
ATRS,0
ATS,226324
AW2,0
BENE,1020
BFC,8325
BHD,0
BIND,0
BPTY,60520
BWT,12688
C8I,0
CAI,1706600
CEG,0
CRF,0
CWI,1404039
DOC,432000
EAGB,8000
EBS,10305405
ECO,0
ETV,0
EVN,440298
FKA,1872
FLU,758328
GAGS,0
HEAD,0
HED,0
HIS,0
HST,0
HTI,96
HUS,0
IIA,6870030
IPO,0
KTCG,1165500
KTM,7326
LNZ,1052710
LTH,0
MAN,0
MTHO,0
OBS,0
OESD,0
OMV,2834166
OTS,0
PAL,406375
PARS,18389
PIN,0
PLA,0
POS,472000
POST,1311960
PYT,362670
QCP,0
QINO,848
RAT,0
RBI,4611592
RHI,384800
ROS,151938
SAC,5856
SBO,336880
SEM,234050
SGS,0
SLBS,0
SPI,339090
STM,0
STR,441000
SWUT,570
TEAK,3146
TKA,3703700
UBS,1580
UIV,13245
UQA,740554
VBPS,725
VER,5040700
VIG,929376
VLA,1766160
VOE,4607850
VVPS,0
WIE,902259
WOL,1800
WPB,0
WXF,41760
ZAG,1286900
ZOO,0
