Ticker,MarketCap,Turnover
1P2.DE,8.5M,2170.19362614
1PL.DE,29.9M,35953.0020483
1VS.DE,33.0M,13179.5614222
2GB.DE,129.8M,208254.544738
3RB.DE,45.923B,190320.216383
3W9.DE,11.9M,0
49G.DE,19.0M,7948.41366573
4BY.DE,1.399B,475.087165841
4DS.DE,66.4M,29328.1294095
4FF.DE,8.435B,139.022703199
4WM.DE,2.2M,0
5AB.DE,19.7M,62877.2329791
75C.DE,21.101B,105.738983829
7A2.DE,43.928B,687.81323706
8GC.DE,53.143B,111730.160361
8GS.DE,36.3M,51594.4089583
A3E.DE,7.0M,2390.87864358
A6R.DE,276.5M,2121.94039969
A6T.DE,3.0M,2156.16421281
A7A.DE,16.8M,4300.4656081
A8A.DE,22.8M,4608.01779535
AAD.DE,291.2M,473510.634618
AAGN.DE,83.3M,8405.22800916
AAQ.DE,93.6M,101957.830115
AB1.DE,151.3M,425472.563523
ABE1.DE,221.0M,23695.6855797
ABJ.DE,38.350B,212823.506171
ABL.DE,45.058B,0
ABR.DE,15.246B,1281607.23167
ACT.DE,10.345B,31656.1530961
ACWN.DE,89.6M,0
ACX.DE,162.7M,55212.5775109
AD2.DE,3.940B,767.257962008
ADD.DE,230.7M,341868.958597
ADI1.DE,10.644B,10044.6083227
ADL.DE,102.1M,120471.35929
ADM.DE,21.100B,6080.59802875
ADN1.DE,78.7M,36465.7374346
ADS.DE,15.243B,76342672.8804
ADV.DE,147.0M,474869.423047
AEI.DE,147.5M,242048.070552
AFX.DE,1.697B,1072345.36621
AGE.DE,350.6M,12590.5952627
AGYA.DE,3.6M,1411.41375
AINN.DE,57.627B,45387.641778
AIXA.DE,1.171B,6264348.64085
AJ3.DE,3.760B,2826.7688941
AJA.DE,106.1M,72435.9272422
ALG.DE,4.7M,2713.72293902
ALU.DE,12.866B,0
ALV.DE,55.152B,183217851.461
AMG.DE,66.209B,54723.691462
ANO.DE,53.4M,169658.431155
AOF.DE,118.5M,36811.834507
APM.DE,19.5M,24186.7667568
AQE.DE,17.104B,700.117152778
AR4.DE,861.7M,1471400.22864
ARL.DE,2.034B,6220724.38105
ARM.DE,15.463B,39373.4553317
ARO.DE,4.5M,3471.12389489
ARRB.DE,19.493B,244537.847299
ART.DE,17.1M,12059.7987121
AS1.DE,10.7M,23014.3499764
ASG.DE,25.089B,14670.6939835
ATF.DE,16.3M,71142.2063339
AUS.DE,373.4M,54954.5555575
AV7.DE,19.7M,706.329546051
AXA.DE,42.293B,0
AYO.DE,3.928B,14182.2871972
AYO2.DE,2.946B,656.650060024
AZ2.DE,4.373B,96300.9865899
AZU.DE,2.498B,6479.27932292
B5A.DE,319.6M,461007.585021
B7E.DE,17.2M,12825.5998319
B8A.DE,214.2M,45813.1631687
B8F.DE,62.4M,60324.6109137
BAF.DE,194.0M,1103681.22662
BAS.DE,78.071B,192865029.781
BAYN.DE,85.093B,173486617.65
BBDB.DE,4.522B,48297.4327655
BC8.DE,1.309B,1771329.75554
BCLN.DE,5.322B,2147.68351394
BCY.DE,44.108B,177997.843175
BDT.DE,1.151B,1581551.76282
BEI.DE,15.918B,28531114.3063
BEO.DE,33.6M,1224.6893132
BFC.DE,26.7M,3488.09744227
BGR.DE,817.6M,220.273715278
BHP1.DE,132.9B,62524.7147094
BHS.DE,138.1M,23077.422314
BHU.DE,23.107B,2202.21714568
BIG1.DE,6.7M,3589.31041123
BIJ.DE,542.1M,314979.98076
BIL.DE,126.1B,341991.874827
BIO.DE,1.184B,232978.926594
BIPX.DE,11.0M,8497.42402969
BIW.DE,113.9M,67241.6926174
BLON.DE,4.013B,2772.09404597
BLT.DE,126.1B,0
BMM.DE,2.7M,744.57970765
BMT.DE,82.067B,277488.837941
BMW.DE,60.690B,121559198.005
BNR.DE,6.816B,9761293.43359
BNT1.DE,19.9M,24453.0124473
BOF.DE,22.975B,2614.07676686
BOSA.DE,7.247B,430.475690276
BOSS.DE,7.516B,11339176.8975
BOY.DE,54.388B,75574.3140526
BPE5.DE,119.0B,778516.361968
BRH.DE,164.4T,0
BRM.DE,61.042B,7757.23984174
BSD2.DE,88.247B,301498.98034
BSL.DE,118.6M,100056.020378
BST.DE,110.9M,0
BTL.DE,29.300B,0
BTQ.DE,37.308B,17896.0648785
BUE.DE,118.0M,6631.9393568
BVB.DE,266.5M,581147.151485
BWB.DE,122.1M,36405.5332365
BWJ.DE,2.876B,914.750741473
BX7.DE,7.687B,10712.0627781
BY6.DE,5.157B,44456.7101066
BYW.DE,1.392B,32529.5065388
BYW6.DE,1.410B,1158421.12007
C1V.DE,5.9M,4697.40305667
C3OA.DE,317K,7193.21088566
C6T.DE,137.6B,6096.61041667
C8I.DE,118.0M,32183.3783022
CAP.DE,268.1M,248483.224558
CAT1.DE,49.495B,35676.7072355
CBA.DE,6.765B,13286.2823953
CBK.DE,13.161B,116639773.185
CE2.DE,411.2M,184993.473425
CEA.DE,126.7M,19361.4925159
CEDA.DE,2.9M,361.053640517
CEV.DE,321.6M,453268.946402
CEW3.DE,5.1M,5006.61727587
CFC.DE,4.2M,2951.41015818
CGE.DE,7.407B,123851.566884
CGYK.DE,1.9M,35415.0204303
CHL.DE,55.044B,4609.54424123
CHU.DE,82.859B,7534.68512111
CLRN.DE,4.647B,25760.3387546
CLS1.DE,5.308B,11380791.8765
CMAB.DE,9.085B,1534.4358117
CMC.DE,158.9B,36605.9966387
CNN1.DE,26.905B,23543.4583771
CNWK.DE,31.1M,41475.7856786
CO9.DE,8.366B,612.041522491
COE.DE,100.8M,0
COK.DE,538.3M,3712174.37247
COM.DE,1.073B,275358.05273
CON.DE,33.721B,63478522.2443
COP.DE,989.5M,635403.349311
COR.DE,711.9M,0
CRA1.DE,75.794B,25815.335
CRIH.DE,34.845B,601236.082437
CRZ.DE,14.6M,9025.49860822
CS1.DE,14.596B,670.947916667
CSH.DE,102.6M,127362.61438
CSX.DE,32.975B,159160.661193
CSY.DE,24.1M,16147.0702544
CTM.DE,141.9B,87876.8906707
CUR.DE,13.2M,27114.2370232
CVG.DE,3.084B,408.28744439
CVLC.DE,50.658B,35850.0026435
CVV.DE,5.368B,573.458583433
CWC.DE,338.9M,841860.328848
CX6.DE,10.9M,0
CXGH.DE,2.298B,3646.64971333
CXU.DE,6.942B,8777.75066963
CY1.DE,14.9M,2182.89877929
D1Y.DE,3.855B,161.428628472
D2B.DE,9.0M,1122.13787641
D2F.DE,28.8M,8897.78890426
D4D.DE,11.623B,971.878610268
