,Ticker,MarketCap,AvgVol,Turnover
0,AAC.AX,660.2M,403762,676157.57697
1,AAD.AX,1.102B,1206030,2676777.17438
3,AAI.AX,18.229B,189,1178.31834851
4,AAJ.AX,5.2M,245073,2804.3773351
5,AAK.AX,3.6M,380925,0
6,AAL.AX,749K,5078,0.5475112343
7,AAP.AX,1.8M,59872,489.716568241
8,AAR.AX,864K,77815,725.913121331
11,AAU.AX,3.8M,25204,1327.55276252
12,AAX.AX,80.9M,268057,445301.441952
14,ABC.AX,2.228B,2099680,6025117.70443
17,ABP.AX,1.262B,599144,-
19,ABU.AX,62.4M,2821010,133904.116837
20,ABV.AX,7.7M,369225,5979.91728793
22,ABY.AX,59.5M,141081,37078.5259896
23,ABZ.AX,28.2M,170454,60153.9680791
24,ACB.AX,11.8M,118303,6511.41492054
26,ACG.AX,15.2M,179403,94535.2718617
27,ACK.AX,22.8M,5491,6376.07885539
28,ACL.AX,183.3M,378436,195243.46375
30,ACP.AX,28.8M,1195,223.596356812
31,ACR.AX,166.5M,2175690,2691382.88049
32,ACS.AX,37.2M,7856,969.278333333
34,ACW.AX,2.2M,142137,1015.62298611
35,ADA.AX,23.9M,5470,2284.60942477
36,ADD.AX,634K,43374,26.5553279041
37,ADJ.AX,116.3M,1476420,222042.113703
38,ADN.AX,8.9M,281650,15842.1569877
39,ADO.AX,114.8M,2910480,558023.811935
40,ADQ.AX,3.5M,292389,3545.46812211
41,ADX.AX,7.1M,203747,3027.42194521
42,ADY.AX,9.3M,232838,3343.37635417
43,AEB.AX,33.0M,133771,18170.1377083
45,AEE.AX,4.0M,214190,7578.30832802
46,AEF.AX,36.3M,175,5116.94376736
47,AEI.AX,13.0M,8262,1122.7159375
49,AEK.AX,19.5M,126206,7292.22981698
50,AEM.AX,6.5M,573835,7144.55951389
52,AEU.AX,342.5M,448264,417377.98708
54,AFA.AX,76.7M,8456,1815.54005613
55,AFI.AX,6.350B,263490,1619802.73701
56,AFR.AX,35.1M,178288,18440.19875
57,AFT.AX,6.1M,67164,0
58,AFV.AX,6.6M,7032,3330.76605903
59,AGD.AX,13.6M,5127,787.597699764
60,AGE.AX,7.0M,100502,9750.18398444
62,AGG.AX,1.384B,1855,14579.8396205
63,AGI.AX,1.232B,497373,1379384.24233
64,AGJ.AX,12.1M,9701,1074.01953125
65,AGK.AX,8.716B,1231180,20688668.1229
66,AGO.AX,595.1M,10967800,13611507.7999
67,AGR.AX,8.1M,137922,10729.5892805
68,AGS.AX,56.3M,291368,51961.6230265
70,AGX.AX,1.6M,145887,-
71,AGY.AX,1.1M,78,163.228020833
73,AHD.AX,1.437B,92544,678831.942778
74,AHE.AX,961.9M,760740,-
76,AHK.AX,2.9M,3880,319.144505088
77,AHN.AX,3.9M,42013,1426.24538194
78,AHQ.AX,1.2M,18534,220.870399306
80,AHZ.AX,169.6M,3328490,951076.705239
81,AIA.AX,4.274B,55823,1207862.02821
85,AIO.AX,5.576B,3946460,18875540.8791
86,AIR.AX,4.2M,6282,1191.31161654
87,AIV.AX,6.9M,118774,1117.36526575
90,AIY.AX,3.4M,5408,181.397222222
92,AIZ.AX,2.231B,39164,187379.087726
93,AJA.AX,268.2M,70052,366717.008987
94,AJC.AX,5.4M,496888,5488.31459513
95,AJJ.AX,16.9M,9517,1248.79884988
96,AJL.AX,239.3M,86556,94255.2706048
97,AJM.AX,65.9M,152482,36400.4756461
98,AJQ.AX,48.1M,283369,64616.3339474
99,AJX.AX,16.7M,154293,35053.1803125
101,AKA.AX,8.7M,142799,10453.2756424
102,AKF.AX,9.9M,76005,17306.3200521
103,AKG.AX,61.8M,39575,32360.5912433
104,AKK.AX,21.2M,13100000,68633.5062241
105,AKM.AX,24.4M,199180,11248.963241
106,AKP.AX,108.2M,7666,18443.8657292
112,ALK.AX,98.7M,298432,136108.266214
113,ALL.AX,2.969B,1879510,8283478.22634
114,ALQ.AX,3.540B,1247760,-
117,ALT.AX,31.7M,2634860,56122.7677382
118,ALU.AX,259.3M,196902,602240.023872
119,ALY.AX,2.8M,147059,4213.62694444
120,ALZ.AX,2.579B,4734930,11600657.89
121,AMA.AX,96.9M,330147,152108.435977
122,AMB.AX,9.3M,33291,2788.98021728
123,AMC.AX,12.621B,2896050,39720334.3225
124,AMH.AX,216.7M,13606,52892.0394277
125,AMM.AX,503.8M,598432,1002021.21093
126,AMO.AX,5.4M,16066,1217.29949553
127,AMP.AX,15.756B,6877160,40135905.6783
128,AMT.AX,2.6M,2875,72.4018402778
130,ANG.AX,132.1M,227345,452615.440972
131,ANN.AX,3.051B,385216,10213020.548
132,ANO.AX,8.2M,598601,9658.13611111
133,ANP.AX,20.9M,507480,40653.7377778
134,ANQ.AX,20.4M,8015840,55942.1958333
135,ANW.AX,3.1M,170928,1742.22368056
136,ANZ.AX,92.114B,4854620,167556985.513
137,AOA.AX,798K,124117,1162.6049827
138,AOC.AX,9.5M,75850,11247.5680556
140,AOH.AX,85.2M,204898,80978.0605706
141,AOK.AX,88.8M,854514,137226.558324
143,AON.AX,8.2M,847079,12629.2193056
144,AOP.AX,2.9M,48295,1707.62803819
145,AOU.AX,6.1M,11992,1529.60892361
148,APD.AX,58.7M,94853,44487.0022049
149,APE.AX,1.013B,32804,208664.124635
151,APG.AX,21.5M,501934,15224.2386458
152,API.AX,295.3M,383657,-
154,APN.AX,529.2M,2128550,856042.668549
155,APP.AX,1.1M,14405,147.416666667
156,APZ.AX,145.1M,91786,153490.250598
157,AQA.AX,1.395B,783768,1202288.15059
158,AQC.AX,4.0M,1789160,14088.0689382
159,AQD.AX,3.6M,271781,10645.5533681
161,AQG.AX,769.4M,347619,1931889.40495
162,AQI.AX,6.1M,4000,1979.21862571
163,AQO.AX,53.2M,960791,85115.755686
164,AQP.AX,206.7M,933329,289356.700401
165,AQQ.AX,3.1M,139963,2065.58523441
166,AQR.AX,23.9M,134230,6719.49375872
167,AQZ.AX,119.3M,121287,125642.023872
168,ARA.AX,73.8M,19495,12063.25
169,ARD.AX,3.8M,106348,3748.02059193
170,ARE.AX,6.6M,205877,3323.17954861
171,ARG.AX,4.928B,23096,1007455.80293
172,ARH.AX,9.8M,80784,2613.19152563
173,ARI.AX,1.126B,12590600,12699336.5892
175,ARM.AX,5.1M,83903,3295.34868056
176,ARO.AX,3.5M,14925,0
177,ARP.AX,898.7M,100922,1740319.08576
179,ARU.AX,25.6M,247141,20633.5917081
180,ARV.AX,1.9M,549598,1947.55169505
181,ARW.AX,8.4M,17922,16884.816609
182,ARX.AX,3.7M,447149,2812.72638889
183,ASB.AX,443.6M,413670,289020.19816
184,ASL.AX,263.9M,1161400,2595757.63031
185,ASP.AX,9.8M,1278,36.7156901568
186,ASW.AX,25.7M,6061,4289.36319967
187,ASX.AX,6.865B,442565,17655644.4488
188,ASZ.AX,92.0M,213584,117794.884549
192,ATP.AX,23.1M,67158,9083.58079234
193,ATR.AX,52.1M,11122,3946.0321875
195,ATU.AX,282.5M,134948,308517.004931
196,ATV.AX,13.6M,165126,3197.43823281
197,ATVCD.AX,849K,10668,0
199,AUB.AX,620.3M,56830,594754.498029
200,AUC.AX,7.7M,105324,4789.0434375
202,AUI.AX,881.0M,1476,151433.438508
203,AUK.AX,8.0M,132804,7138.21427083
206,AUQ.AX,12.1M,620604,40934.3934896
208,AUZ.AX,2.7M,156949,2149.63364583
210,AVB.AX,117.9M,3495320,234416.135122
211,AVD.AX,65K,30159,14.345
212,AVG.AX,59.6M,182336,98297.4191667
213,AVH.AX,34.1M,218395,33341.1684375
214,AVI.AX,10.8M,1455300,10304.7829066
215,AVJ.AX,212.9M,120481,108037.874813
216,AVK.AX,1.9M,93616,548.173055556
217,AVQ.AX,44.9M,7658520,160509.818151
218,AVX.AX,11.1M,390162,4545.00041667
219,AVY.AX,1.2M,17570,422.39140625
220,AVZ.AX,2.4M,102494,520.475
221,AWC.AX,3.761B,11995700,13612423.3017
222,AWD.AX,1.7M,10785100,36189.7367693
223,AWE.AX,960.7M,2109130,2733531.39684
225,AWV.AX,6.4M,179399,5443.88515625
226,AXC.AX,709K,57503,-
227,AXE.AX,12.1M,115428,27850.8437699
228,AXI.AX,19.5M,85821,2740.18937346
232,AXT.AX,1.4M,18908,488.158847127
233,AXZ.AX,82.8M,1201,4760.76440972
234,AYA.AX,24.7M,50103,22092.4944444
235,AYB.AX,5.4M,9602,1061.15494792
236,AYC.AX,9.5M,8652,856.249548611
239,AYG.AX,7.7M,956640,1608.98340249
240,AYI.AX,478K,642468,0
241,AYM.AX,2.1M,61453,185.328558393
243,AYR.AX,2.6M,602134,12382.7847317
250,AZJ.AX,10.815B,5110860,29581649.9146
251,AZK.AX,5.1M,90515,2860.31438853
252,AZM.AX,15.7M,391115,25943.54625
253,AZQ.AX,5.5M,73463,-
254,AZS.AX,20.0M,973962,48044.5216667
256,AZV.AX,64.4M,432943,113720.772882
258,AZY.AX,2.4M,198710,5546.71369295
259,AZZ.AX,135.1M,402530,216191.019167
260,BAB.AX,24.8M,513287,14394.1928686
264,BAR.AX,3.0M,143108,795.115597183
265,BAS.AX,3.1M,334257,5389.66006944
266,BAU.AX,31.2M,253397,33227.6003857
267,BBG.AX,230.3M,1742350,1674071.82333
268,BBL.AX,24.0M,1876,1022.89244331
269,BBR.AX,16.3M,65127,12104.6955631
270,BBX.AX,1.1M,123799,592.206076389
272,BCD.AX,4.2M,264320,3869.34310764
273,BCI.AX,406.5M,0,-
274,BCK.AX,419.1M,130289,12744.5465972
275,BCN.AX,4.5M,1046390,651.124119764
277,BCT.AX,4.8M,92118,13091.3797972
278,BDI.AX,2.9M,2056560,0
281,BDR.AX,494.2M,4904450,3588327.66142
283,BEL.AX,10.3M,18677,6335.72939764
284,BEN.AX,5.117B,987499,12699070.6482
286,BEZ.AX,15.2M,28477,2662.71944444
287,BFE.AX,8.0M,498485,867.883402778
288,BFG.AX,148.9M,50266,41101.2339931
289,BGA.AX,753.6M,211048,1610209.56993
291,BGG.AX,75.5M,59578,8547.55685764
292,BGH.AX,2.4M,15852,564.658321999
293,BGL.AX,144.3M,238344,325340.408533
294,BGS.AX,8.0M,1489980,49447.2352778
297,BHP.AX,194.2B,5865820,241859178.647
299,BIS.AX,12.3M,12047,9352.03236859
300,BIT.AX,24.0M,391074,51130.6443229
301,BKI.AX,866.0M,32817,325988.15637
302,BKL.AX,456.9M,8628,300701.495446
303,BKM.AX,1.0M,169725,0
304,BKN.AX,644.9M,989267,5531797.34125
305,BKP.AX,4.5M,623026,625.305005079
306,BKW.AX,1.982B,60960,742527.829238
307,BKY.AX,52.3M,100640,32949.6599576
308,BLA.AX,153.6M,58858,111988.840938
309,BLD.AX,4.197B,3763810,19056135.4357
310,BLG.AX,36.5M,61989,14359.2833854
312,BLK.AX,17.8M,44530,8829.14865447
313,BLR.AX,8.7M,1791120,14231.875
315,BLT.AX,97.5M,434237,341484.004924
316,BLY.AX,91.4M,1579280,1144610.98698
317,BLZ.AX,3.4M,1687000,0
318,BMB.AX,24.1M,149765,24794.6288804
320,BMG.AX,1.3M,1159230,1776.79034452
321,BML.AX,7.4M,4999820,8575.3990625
322,BMN.AX,25.3M,253236,20094.9633333
323,BMY.AX,1.8M,87464,728.689450939
324,BMZ.AX,3.5M,21463,2775.42854167
326,BND.AX,44.2M,382126,115376.848438
327,BNE.AX,388K,2827420,14318.3503637
328,BNO.AX,237.8M,307344,339830.330039
329,BNR.AX,1.9M,81396,1122.68980903
331,BNV.AX,1.8M,661,9.3645081868
333,BOA.AX,5.6M,69154,6034.62281986
334,BOC.AX,180.5M,27826,12234.2060571
335,BOE.AX,13.8M,1284100,7051.82394097
336,BOL.AX,59.4M,673895,144415.521806
337,BOQ.AX,3.984B,1239470,17666730.8561
339,BPG.AX,1.8M,522709,0
340,BPH.AX,1.6M,67389,657.720225694
342,BPL.AX,2.6M,36296,618.941909722
343,BPO.AX,8.7M,2709280,0
344,BPT.AX,2.205B,5174470,6702074.80028
345,BRB.AX,5.7M,6562,1134.16108538
346,BRC.AX,25.9M,5377,4087.18170139
347,BRD.AX,679K,1259250,0
348,BRG.AX,1.090B,265189,2072291.01627
350,BRO.AX,1.7M,197807,0
351,BRU.AX,340.3M,798467,1234314.03646
353,BSA.AX,25.2M,141180,24089.8699747
354,BSE.AX,179.8M,378258,187922.888021
356,BSL.AX,3.140B,2755470,16717969.9531
358,BSM.AX,652K,306023,1621.47869355
359,BSN.AX,1.5M,283082,2006.50333333
360,BSP.AX,1.2M,21094,904.85484375
361,BSR.AX,10.8M,1841960,11401.4454514
364,BTN.AX,437K,278414,985.29375
365,BTR.AX,25.5M,299644,184531.820243
366,BTT.AX,1.641B,203976,1194978.05541
368,BUE.AX,1.3M,389748,1006.36479167
369,BUG.AX,10.5M,8437,3681.49171875
371,BUL.AX,57.0M,787711,81187.8252096
372,BUR.AX,6.7M,381356,6134.82041667
373,BUX.AX,16.4M,108218,24198.312047
374,BUY.AX,10.3M,493714,5697.49790809
377,BWF.AX,12.1M,15660,4623.66152442
380,BXB.AX,14.384B,2945230,36314281.7237
381,BXN.AX,3.4M,2492390,7667.80315422
382,BYI.AX,69.8M,12593,46055.4840654
383,BYL.AX,41.8M,102115,47904.4626986
384,BYR.AX,6.0M,119574,1852.85552083
385,BZL.AX,5.3M,18927,119.414930556
386,CAA.AX,56.8M,384171,105626.097657
387,CAB.AX,493.9M,278888,1309453.56457
388,CAF.AX,36.2M,132820,25054.1208313
390,CAJ.AX,189.6M,1527220,619102.044025
391,CAM.AX,69.1M,40486,-
392,CAP.AX,7.2M,46328,4183.89883094
393,CAQ.AX,35.7M,182596,20881.471875
394,CAS.AX,44.3M,235978,72739.688125
395,CAV.AX,1.9M,37222,672.898263889
396,CAY.AX,4.7M,186445,3542.59317708
397,CAZ.AX,8.1M,104873,5620.5999208
398,CBA.AX,131.8B,2304970,226211011.461
403,CBS.AX,4.7M,124851,5448.84130783
404,CBX.AX,5.3M,2289660,23664.703125
406,CCF.AX,2.5M,67259,1416.40402197
407,CCJ.AX,3.4M,24508,2742.18458333
409,CCL.AX,7.269B,3064810,-
410,CCP.AX,395.8M,73727,796188.963229
413,CCV.AX,456.1M,534528,914101.422188
414,CDA.AX,136.2M,178193,499637.160345
415,CDB.AX,2.7M,12658500,50000.9707812
416,CDD.AX,928.5M,423510,3014408.02083
417,CDG.AX,22.9M,145306,18724.975
419,CDI.AX,586.6M,795445,897052.592222
423,CDP.AX,397.6M,8700,67934.1170607
424,CDT.AX,1.2M,24981,915.029286686
425,CDU.AX,361.5M,349724,-
426,CDV.AX,1.8M,124490,3284.59293056
427,CDY.AX,19.1M,1780280,100989.629792
428,CEL.AX,26.3M,243741,53909.6691146
431,CES.AX,764K,36642,111.303111172
432,CFE.AX,50.8M,1042770,110907.942361
433,CFU.AX,22.8M,4165220,90127.8266667
437,CGF.AX,3.907B,1766920,-
438,CGH.AX,115.4M,79410,67976.0170139
439,CGI.AX,183K,13682,3.1119791667
440,CGM.AX,1.3M,173094,281.049618056
441,CGO.AX,26.8M,21421,11561.7327525
443,CGR.AX,16.5M,123152,24032.2940721
444,CGS.AX,29.7M,33937,9123.78815792
446,CGU.AX,1.3M,178191,2051.65589435
448,CHC.AX,1.348B,915758,2641956.25694
449,CHF.AX,6.9M,60213,1598.23591192
452,CHN.AX,36.5M,294067,37185.3518018
453,CHP.AX,1.4M,861235,1441.75358551
454,CHR.AX,20.3M,710,1431.19104167
455,CHZ.AX,22.0M,122550,36160.5234375
458,CII.AX,60.5M,8915,6951.4790625
460,CIN.AX,710.8M,477,36948.3924301
462,CIR.AX,10.2M,35232,4697.95809028
463,CIW.AX,37.0M,10172,21745.8616667
464,CIX.AX,80.5M,449336,112128.907656
466,CJT.AX,5.4M,2364,9.5518672199
467,CKA.AX,66.0M,226774,108160.793437
468,CKF.AX,189.7M,82702,224130.615003
469,CKK.AX,2.5M,1290540,3175.87190972
470,CKL.AX,53.1M,25598,35807.3969965
472,CLA.AX,2.0M,4337670,33914.8986111
473,CLH.AX,235.4M,120616,509887.661354
475,CLQ.AX,7.8M,664796,14163.5955903
478,CLT.AX,9.3M,7355,2097.69690972
479,CLV.AX,72.3M,84181,41384.416935
480,CLX.AX,129.4M,14548,39059.0277778
481,CLY.AX,1.7M,107446,1398.49833333
482,CMC.AX,4.5M,30096,2052.99065099
483,CMG.AX,173.9M,500045,200740.142778
484,CMI.AX,51.0M,18925,22836.2447222
486,CMP.AX,26.1M,54810,2488.28076389
488,CMT.AX,8.3M,29394,5717.35140625
490,CMW.AX,1.713B,4725420,-
491,CMY.AX,1.8M,660470,11963.1648264
492,CNB.AX,96.2M,343,91.9369270833
494,CND.AX,22.8M,135231,20131.7508681
496,CNI.AX,61.5M,24051,22211.62625
497,CNL.AX,7.5M,49463,2255.00512153
498,CNN.AX,8.1M,2710650,0
501,CNQ.AX,31.1M,218055,8402.81902778
503,CNS.AX,456K,2048,-
504,CNU.AX,626.0M,331512,711761.291504
505,CNX.AX,20.0M,1100060,26922.1755208
506,COE.AX,166.3M,276813,182943.091545
507,COF.AX,59.3M,264284,72325.5108333
508,COH.AX,3.555B,178914,14142316.2206
509,COI.AX,73.3M,298740,56662.5212674
510,COJ.AX,344K,4367,139.247916667
511,COK.AX,112.5M,2224040,156486.639314
512,COM.AX,9.7M,147972,4355.17125
513,COO.AX,35.6M,65210,15497.8868056
514,COT.AX,1.4M,7121,969.378151261
515,COY.AX,4.0M,95977,2734.01138889
516,COZ.AX,24.6M,147588,9314.61930556
519,CPD.AX,1.7M,19476,1489.30477431
521,CPL.AX,39.8M,744798,163861.503229
524,CPU.AX,6.980B,1193420,17754512.365
527,CQC.AX,33.4M,66933,3795.84927083
529,CQR.AX,1.419B,871863,3896693.85875
530,CRB.AX,4.5M,131209,2607.16987847
535,CRL.AX,1.5M,17691,421.568472222
536,CRM.AX,4.7M,2378,450.926215278
537,CRQ.AX,916K,7417,274.474496528
539,CRZ.AX,2.570B,662416,8752919.96674
540,CSD.AX,12.5M,97189,15652.0607639
541,CSE.AX,26.7M,252895,29190.9196181
542,CSL.AX,32.436B,1030790,-
543,CSP.AX,8.4M,49508,7676.68312757
545,CSS.AX,53.1M,2055460,228558.195245
547,CSV.AX,267.8M,210450,307649.393576
549,CTD.AX,501.6M,121925,705259.380729
550,CTE.AX,18.2M,7182,10209.8879514
551,CTM.AX,12.7M,126574,18238.0972569
553,CTO.AX,35.9M,956729,23876.3145833
554,CTP.AX,102.0M,1180580,-
555,CTR.AX,11.9M,4903090,61271.4052272
556,CTT.AX,799K,10914,186.255416667
557,CTX.AX,5.862B,500483,11604708.0212
558,CTY.AX,1.688B,230,1035.34846163
559,CUE.AX,80.3M,217642,40029.0547222
560,CUG.AX,888K,44300,756.176059028
561,CUL.AX,10.6M,3547150,14857.1854479
562,CUP.AX,191.9M,48184,101309.63637
564,CUU.AX,1.7M,64476,1421.19565972
565,CUV.AX,65.0M,35803,32630.2533333
566,CUX.AX,1.9M,137086,3011.995
567,CVC.AX,171.9M,4684,12728.879978
569,CVG.AX,3.5M,287458,2666.1875
570,CVN.AX,78.4M,2604900,155434.410434
572,CVS.AX,608K,29768,2.6736970782
573,CVV.AX,5.1M,257807,13151.5863194
574,CVW.AX,348.8M,93919,34552.0815278
576,CWE.AX,73.3M,1188310,95474.0704167
577,CWG.AX,3.0M,28990,2486.75911458
580,CWN.AX,11.144B,1603070,23977276.8559
