,Ticker,MarketCap,AvgVol,Turnover
1,AEDU3.SA,7.885B,5985120,-
2,AELP3.SA,789.0M,2164,-
3,AFLT3.SA,189.3M,58,-
4,AFLU3.SA,94.1M,6,-
5,AGRO3.SA,550.2M,17536,-
7,ALLL3.SA,5.712B,4034620,-
8,ALPA3.SA,5.091B,3717,-
9,ALSC3.SA,2.862B,310041,-
10,AMAR3.SA,3.024B,189877,-
13,AORE3.SA,30.1M,239,-
15,ARTR3.SA,6.321B,311645,-
16,ARZZ3.SA,2.628B,217036,-
17,AUTM3.SA,2.385B,161805,-
18,AZEV3.SA,57.8M,8,-
19,BAHI3.SA,39.8M,3441,-
21,BAZA3.SA,889.4M,48469,-
23,BBDC3.SA,139.8B,1219410,-
27,BEES3.SA,647.6M,27919,-
29,BHGR3.SA,864.4M,167223,-
39,BPHA3.SA,971.7M,1144570,-
42,BRFS3.SA,45.467B,2404680,-
44,BRIN3.SA,1.005B,861197,-
47,BRPR3.SA,3.969B,2178010,-
52,BVMF3.SA,21.820B,10702200,-
62,CCXC3.SA,131.0M,661189,-
66,CEGR3.SA,4.621T,31250,-
69,CESP3.SA,7.385B,8488,-
72,CIEL3.SA,72.078B,2977170,-
86,CSAN3.SA,15.979B,1268040,-
87,CSMG3.SA,4.724B,187412,-
90,CTAX3.SA,1.761B,730,-
102,DOHL3.SA,332.8M,4,-
104,DTEX3.SA,5.935B,1919580,-
108,EEEL3.SA,503.4M,1192,-
118,EVEN3.SA,1.540B,1840990,-
123,FIBR3.SA,12.151B,1201710,-
127,FRAS3.SA,506.2M,12528,-
133,GFSA3.SA,1.305B,7444210,-
141,GUAR3.SA,6.546B,27153,-
147,HRTP3.SA,318.3M,4443190,-
155,IMCH3.SA,1.683B,227625,-
159,ITSA3.SA,53.251B,28447,1132608.32706
160,ITUB3.SA,166.2B,87125,-
167,KEPL3.SA,1.074B,35297,-
169,KROT3.SA,16.564B,2363450,-
171,LCAM3.SA,285.0M,302827,-
175,LIGT3.SA,4.558B,1063220,-
176,LINX3.SA,2.411B,192491,7330533.44508
191,MGLU3.SA,1.699B,965473,-
193,MLFT3.SA,1.638B,16,-
194,MMXM3.SA,376.3M,1849120,-
200,MRFG3.SA,2.914B,2002080,-
211,NETC3.SA,10.135B,170,-
215,OGXP3.SA,582.5M,18833400,29726632.4434
216,OIBR3.SA,3.690B,4325880,-
217,OSXB3.SA,162.5M,982016,-
219,PDGR3.SA,2.051B,24252600,-
224,PLAS3.SA,89.5M,38270,-
235,QGEP3.SA,2.321B,941112,-
236,QUAL3.SA,6.916B,2076350,-
237,RADL3.SA,6.086B,1424880,-
241,REDE3.SA,371.1M,503,-
247,RPMG3.SA,270.1M,904708,-
248,RSID3.SA,695.8M,6801710,-
251,SANB3.SA,56.358B,786361,-
253,SBSP3.SA,16.268B,1688440,-
258,SGPS3.SA,182.0M,116150,-
259,SHOW3.SA,360.7M,161747,-
269,SSBR3.SA,1.320B,116686,-
279,TECN3.SA,933.0M,110714,-
281,TELB3.SA,399.1M,95,-
284,TERI3.SA,1.905B,250503,-
287,TIMP3.SA,32.216B,3814620,-
297,UCAS3.SA,259.7M,93775,-
301,VAGR3.SA,1.116B,858228,-
303,VIGR3.SA,943.2M,131,-
305,VIVR3.SA,43.6M,810952,-
306,VIVT3.SA,42.797B,14556,-
307,VLID3.SA,2.140B,367825,-
310,VVAR3.SA,10.907B,711,-
312,WHRL3.SA,6.026B,3102,-
