Ticker,AvgClose,AvgVol,AvgTurnover
ALUA,4,979800,3919200
APBR,75,5920200,444015000
BHIP,2.54,1249300,3173222
BMA,36.5,6251100,228165150
BPAT,8.9,305600,2719840
COME,1.02,2407400,2455548
EDN,5.76,14027700,80799552
ERAR,3.63,4592700,16671501
FRAN,39.8,11067100,440470580
GGAL,14.8,25131200,371941760
LEDE,6.05,281000,1700050
MIRG,163,1104300,180000900
MOLI,27.6,399000,11012400
PAMP,3.84,10613000,40753920
PESA,6.35,2039000,12947650
TECO2,48.75,4082400,199017000
TRAN,2.12,2206400,4677568
TS,234.4,15735200,3688330880
YPFD,341,44409800,15143741800
