Ticker,AvgClose,AvgVol,AvgTurnover
AEP,55,2534800,139414000
AES,15.45,7025400,108542430
AXP,94.3,2594800,244689640
BA,128.02,3929100,503003382
BAC,15.41,68504800,1055658968
CAT,108.52,1522900,165265108
CHRW,63.73,949100,60486143
CNP,25.16,5318200,133805912
CNW,49.77,862000,42901740
CSCO,24.65,19134400,471662960
CSX,30.65,5671600,173834540
CVX,130.92,6111400,800104488
D,71.13,6884200,489673146
DAL,39.3,10651000,418584300
DD,67.7,2895400,196018580
DIS,84.45,6424000,542506800
DUK,73.17,2259000,165291030
ED,57.28,1633400,93561152
EIX,57.6,1456800,83911680
ALEX,40.48,107200,4339456
EXC,36.11,6052300,218548553
EXPD,44.09,750300,33080727
FDX,151.5,1163000,176194500
FE,34.19,1779000,60824010
GE,26.29,23159000,608850110
GMT,66.18,317400,21005532
HD,80.75,5165200,417089900
HPQ,33.91,6577800,223053198
IBM,180.37,3258500,587735645
INTC,30.78,26722300,822512394
JBHT,73.52,1493900,109831528
JBLU,10.58,4549500,48133710
JPM,57.39,11854400,680324016
JNJ,105.65,5106900,539543985
KSU,106.35,391000,41582850
KO,42.03,16903300,710445699
LSTR,62.99,190000,11968100
LUV,27.06,3241400,87712284
MCD,101.51,2783200,282522632
MMM,143.73,1490900,214287057
MRK,58.53,7238300,423657699
MSFT,41.72,23604400,984775568
NEE,101.4,1960800,198825120
NI,39.39,3287500,129494625
NSC,101.64,2002300,203513772
PCG,47.2,1973300,93139760
PEG,39.91,2835600,113168796
PFE,29.59,19472200,576182398
PG,78.62,7258800,570686856
R,87.07,356900,31075283
SO,44.81,3337500,149553375
T,35.26,15789800,556748348
TRV,94.41,1215500,114755355
UAL,41.51,6673100,277000381
UNP,99.57,3127600,311415132
UTX,115.75,2914100,337307075
UPS,102.64,1557900,159902856
VZ,49.21,9332600,459257246
WMB,58.1,4933300,286624730
XOM,102.03,8424200,859521126
WMT,74.91,6922100,518534511
