,Ticker,MarketCap,AvgVol,Turnover
81,AB9.DU,57.2M,428,-
87,ABN.DU,5.8M,6,0
88,ABO.DU,37.7M,33352,37468.0860629
138,AIB.DU,51.084B,63135,9075.86735176
259,BGS.DU,163.1M,7,0
319,BUF.DU,193K,2367,6.1469512088
388,CLG.DU,37.6M,79,82.2789166856
493,DGW1.DU,3.716B,4,20.811610441
520,DOR.DU,70K,135,46.4889722973
926,IL0.DU,2.922B,19650,1330.43322071
928,ILM1.DU,13K,6,0.1424344812
941,IO5A.DU,79.7M,74012,0.8568477443
1127,LWD.DU,4.4M,0,5.1234827224
1224,MSU.DU,201.6M,1,0
1439,PCU.DU,15.219B,0,26.1451830325
1443,PDEK.DU,3.1M,2,68.1255930393
1477,PLT.DU,31K,7344,72.2058787486
1579,RHT.DU,8.8M,3,48.6234134556
1589,RLV.DU,127.5M,377,7499.65737505
1627,S26.DU,17.6M,135,5340.87846851
1647,SBE.DU,3.6M,317,57.906899389
1681,SGS.DU,4.7M,618,276.820468829
1716,SM1.DU,5.145B,0,0
1900,TRX.DU,56K,5350,32.4066455419
2062,WMR.DU,2.5M,9325,1.2520445585
2064,WO8.DU,5.1M,0,4.6144850405
