,Ticker,MarketCap,AvgVol,Turnover
50,AKS.HM,161K,10,-
265,EUK2.HM,430.9M,354,4536.48717634
307,GBQ.HM,41.7M,3885,25049.992262
355,HGL.HM,1.7M,3,196.804537736
375,I8CK.HM,844K,74,250.568932617
390,IRP.HM,6.5M,9833,1261.03769192
411,KAE.HM,250.9M,3,130.403231736
463,MDQ.HM,2.6M,1125,-
496,N5E.HM,3.6M,2,42.7784473408
497,N9VA.HM,780K,0,-
541,OFL.HM,3.5M,6001,689.294433636
545,OML.HM,3.0M,288,6315.11747672
548,OPP.HM,14K,59,1.9655643284
641,SBH.HM,13.7M,5142,479.850422787
711,T1W.HM,6.9M,1955,2877.64309098
772,UYN.HM,110K,130000,46.8130714003
