,Ticker,Turnover
0,2HR,0.0
1,42BA,0.0
2,5E2,0.0
3,6MK,0.0
4,7AA,0.0
5,8GM,0.0
6,AAD,0.0
7,AB1,4280.0
8,ACOA,0.0
9,ADD,0.0
10,ADS,0.0
11,ADV,0.0
12,AEC1,0.0
13,AEND,0.0
14,AFX,0.0
15,AGX,0.0
16,AHOE,0.0
17,AINN,0.0
18,AIXA,0.0
19,ALD,0.0
20,ALG,0.0
21,ALU,0.0
22,ALV,0.0
23,AMD,0.0
24,AOMD,0.0
25,ARL,0.0
26,ARO,0.0
27,ARRB,0.0
28,ASG,0.0
29,ATW,0.0
30,AUS,0.0
31,AXA,0.0
32,B5A,0.0
33,BAC,0.0
34,BAF,0.0
35,BAS,8242.0
36,BAYN,10150.0
37,BC8,0.0
38,BCO,0.0
39,BDT,0.0
40,BE8,0.0
41,BEI,0.0
42,BHE,0.0
43,BHS,0.0
44,BIJ,0.0
45,BIO,0.0
46,BIW,0.0
47,BMW,17090.0
48,BNP,0.0
49,BNR,0.0
50,BON,0.0
51,BOSS,0.0
52,BOY,0.0
53,BSD2,1955.9999999999998
54,BSN,0.0
55,BST,0.0
56,BTQ,0.0
57,BYW6,0.0
58,CAR,0.0
59,CAS,0.0
60,CAT1,0.0
61,CBK,39900.0
62,CCC3,0.0
63,CEV,0.0
64,CGE,0.0
65,CGYK,0.0
66,CHV,0.0
67,CIL,0.0
68,CIS,3300.0
69,CLS1,0.0
70,CMC,0.0
71,COK,0.0
72,COM,0.0
73,CON,0.0
74,COP,0.0
75,CRG,0.0
76,CRIH,0.0
77,CTNK,0.0
78,CWC,0.0
79,CXR,0.0
80,CY2,0.0
81,D9C,0.0
82,DAI,20112.000000000004
83,DB1,0.0
84,DBAN,0.0
85,DBK,0.0
86,DEQ,0.0
87,DEX,0.0
88,DEZ,0.0
89,DIC,0.0
90,DLG,0.0
91,DPB,0.0
92,DPW,5258.0
93,DRI,0.0
94,DRN,0.0
95,DRW8,0.0
96,DSY1,0.0
97,DTE,16926.0
98,DUE,0.0
99,DUP,0.0
100,DWNI,0.0
101,EAD,5342.0
102,EDL,0.0
103,EEX,0.0
104,EJR,0.0
105,EMP,0.0
106,ENA,0.0
107,ENI,0.0
108,ENL,0.0
109,EOAN,0.0
110,ETG,0.0
111,EUCA,0.0
112,EUK2,0.0
113,EV4,0.0
114,EVD,0.0
115,EVK,2961.0
116,EVT,0.0
117,FB2A,0.0
118,FIE,0.0
119,FME,5326.0
120,FNTN,0.0
121,FO4N,0.0
122,FRA,0.0
123,FRE,0.0
124,G1A,0.0
125,GBF,0.0
126,GBRA,0.0
127,GE1,0.0
128,GEC,0.0
129,GFJ,0.0
130,GFK,0.0
131,GGQ1,0.0
132,GGS,0.0
133,GIB,0.0
134,GIL,0.0
135,GLJ,0.0
136,GMM,0.0
137,GOB,0.0
138,GSC1,0.0
139,GTQ1,0.0
140,GU8,0.0
141,GWI1,3642.0
142,GXI,0.0
143,GZF,0.0
144,HAK,0.0
145,HAW,0.0
146,HDD,5420.0
147,HDI,0.0
148,HEI,29015.0
149,HF1,0.0
150,HG1,0.0
151,HHFA,0.0
152,HLG,0.0
153,HNM,0.0
154,HNR1,30830.0
155,HOT,0.0
156,HVB,0.0
157,HWP,0.0
158,HWSA,0.0
159,IBE1,0.0
160,IBM,0.0
161,IES,0.0
162,IFX,0.0
163,IKB,0.0
164,INH,0.0
165,INL,0.0
166,ITK,0.0
167,IVG,0.0
168,IXD,0.0
169,JEN,0.0
170,JNJ,0.0
171,KBC,0.0
172,KCO,0.0
173,KD8,0.0
174,KFI1,0.0
175,KRN,0.0
176,KTF,0.0
177,KU2,0.0
178,KWI,0.0
179,KWS,0.0
180,LEO,11550.0
181,LHA,5471.999999999999
182,LIN,0.0
183,LLD,0.0
184,LOR,0.0
185,LPK,0.0
186,LXS,26710.0
187,M5Z,0.0
188,MAK,0.0
189,MAN,0.0
190,MCH,0.0
191,MDN,0.0
192,MDO,21084.0
193,MEO,0.0
194,MHR,0.0
195,MKAN,0.0
196,MLP,0.0
197,MMM,0.0
198,MOH,0.0
199,MOR,0.0
200,MPCK,0.0
201,MRK,0.0
202,MSF,0.0
203,MTX,0.0
204,MUV2,0.0
205,MVV1,0.0
206,MYM,0.0
207,NCB,0.0
208,NDA,0.0
209,NDX1,0.0
210,NEM,0.0
211,NOA3,0.0
212,NOEJ,0.0
213,NSN,0.0
214,NST,0.0
215,O1BC,0.0
216,O2C,0.0
217,O4B,0.0
218,OLB,0.0
219,P1Z,0.0
220,PA9,0.0
221,PFE,0.0
222,PFV,0.0
223,PHI1,0.0
224,PHM7,5228.0
225,PNE3,0.0
226,PRA,0.0
227,PRG,0.0
228,PS4,0.0
229,PSAN,0.0
230,PSM,0.0
231,PUM,0.0
232,QCE,0.0
233,QIA,0.0
234,QSC,0.0
