,Ticker,MarketCap,AvgVol,Turnover
0,0001.HK,317.5B,3347870,411956619.732
1,0002.HK,161.3B,2367610,156580816.464
2,0003.HK,177.5B,6911890,160989343.5
3,0004.HK,169.4B,5914240,275071052.582
4,0005.HK,1.520T,10361900,1039089675.24
5,0006.HK,145.0B,2388750,179552588.705
6,0007.HK,1.803B,1545970,5532352.3125
7,0008.HK,33.656B,10123700,36161473.3014
8,0009.HK,795.6M,525736,1023679.81113
9,0010.HK,56.910B,541601,23997903.1706
10,0011.HK,243.2B,998021,128234789.79
11,0012.HK,137.0B,2992420,135715421.958
12,0013.HK,455.7B,4659710,572982732.542
13,0014.HK,38.889B,951051,35676938.9694
14,0015.HK,960.9M,315614,1000877.28832
15,0016.HK,288.0B,3874860,378515125.316
16,0017.HK,77.196B,18678800,142581972.537
17,0018.HK,2.110B,326693,501955.590451
18,0019.HK,86.432B,1360420,123119429.719
19,0020.HK,66.040B,1045010,30851801.8472
20,0021.HK,927.6M,197275,1039530.74367
21,0022.HK,312.0M,1268390,1122563.38056
22,0023.HK,74.962B,2198760,68663224.9445
23,0024.HK,1.560B,64345700,24430917.6945
24,0025.HK,3.575B,21734,475498.931771
25,0026.HK,2.806B,6677,386070.655208
26,0027.HK,252.4B,14411600,722779312.808
27,0028.HK,9.057B,101934,2919120.46039
28,0029.HK,657.0M,53652,354951.131919
29,0030.HK,201.9M,6008000,3351062.71736
30,0031.HK,2.160B,3749050,6753001.82786
31,0032.HK,2.380B,98953,651906.327222
32,0033.HK,233.0M,10467000,1552231.11944
33,0034.HK,10.532B,453954,4167505.27438
34,0035.HK,5.402B,659993,3319673.89272
35,0036.HK,230.1M,2578470,1266045.11944
36,0037.HK,128.8M,478496,164821.430035
37,0038.HK,2.086B,3781100,19322490.332
38,0039.HK,1.190B,1482240,1642114.70849
39,0040.HK,541.6M,96319,91988.9306597
40,0041.HK,18.237B,322235,15298772.7277
41,0042.HK,343.1M,6388220,2039929.29562
42,0043.HK,18.414B,4438600,1832633.14082
43,0044.HK,14.882B,16642,2190020.92517
44,0045.HK,16.340B,283814,3766645.48924
45,0046.HK,568.5M,60183,329762.756944
46,0047.HK,2.221B,252448,230978.941168
48,0050.HK,2.734B,41746,290096.823333
