,Ticker,MarketCap,AvgVol,Turnover
692,100220.KS,114.7B,46549,495255417.555
693,100250.KS,175.6B,609555,853313174.961
694,100840.KS,119.4B,9215,397352511.773
695,101060.KS,512.7B,291832,1631222727.17
696,101140.KS,9.202B,8463,12363090.4632
697,101990.KS,31.923B,20995,334510350.567
698,102260.KS,240.6B,279687,1158283693.77
699,102280.KS,59.751B,1580760,1002365545.32
700,102460.KS,303.1B,43392,822262917.961
701,103130.KS,159.8B,598652,2855652937.59
702,103140.KS,754.9B,149436,4806197907.6
703,103590.KS,348.5B,429534,2609189536.84
704,104110.KS,32.867B,216027,271383324.024
705,104120.KS,21.408B,325004,150509120.091
706,104700.KS,256.8B,6812,176777257.226
707,105560.KS,13.561T,941133,38921159954.3
708,105630.KS,1.056T,102489,2951327787.67
709,105840.KS,147.2B,37010,364186032.413
710,107590.KS,224.3B,253,68892436.9748
711,108670.KS,1.913T,45847,7914608180.92
712,109070.KS,12.056B,23123,56445511.0296
714,111770.KS,1.981T,76831,3421500411.25
715,114090.KS,2.517T,225600,8941194222.07
716,115390.KS,701.7B,402744,8576492706.38
718,117930.KS,739.3B,514295,8235255610.55
719,118000.KS,18.603B,219948,423638328.67
720,119650.KS,63.900B,50696,454561648.189
721,120030.KS,83.677B,33279,1629168064.4
722,120110.KS,1.747T,96447,4412199087.46
723,122900.KS,1.374T,84636,2665638135.72
724,123690.KS,29.162B,178130,135483479.671
725,123700.KS,131.9B,25449,305520358.237
727,128820.KS,121.5B,55929,465180014.829
728,128940.KS,941.4B,41773,6119013301.8
755,900050.KS,124.3B,1903900,3537875052.08
