,Ticker,MarketCap,AvgVol,Turnover
2,888.L,418.0M,446041,108607710.382
4,AAL.L,18.256B,3128413,6072082615.95
11,ABF.L,23.980B,476984,1834639146.16
12,ABG.L,846.3M,731877,222633760.252
14,ABT.L,57.344B,65,-
20,ACL.L,79.6M,11533,14701454.4617
23,ACO.L,1.4M,0,5521.17434919
31,ADM.L,3.918B,497192,756800915.107
32,ADN.L,5.089B,2755193,1849609968.43
38,AEP.L,277.6M,5177,4019164.75095
39,AERL.L,742.2M,14003,-
40,AEX.L,16.1M,229816,8125197.87218
48,AFR.L,1.566B,2320961,420758940.363
49,AFRB.L,775.3M,74229,103086.509274
51,AGA.L,111.0M,29162,25394445.1333
52,AGD.L,3.532B,425,2828254.14507
53,AGK.L,4.161B,521219,1253934007.56
59,AHT.L,4.341B,1567434,1247903638.1
60,AIE.L,265.4M,326980,97400141.2881
62,AIP.L,45.0M,1775,8338091.01031
65,AKT.L,1.1M,46730,395545.451655
70,ALNT.L,1.024B,162015,81424201.5738
74,ALU.L,40.8M,11866,1586239.21174
75,ALY.L,184.9M,92994,8484955.41386
78,AMEC.L,3.592B,756004,1280665746.93
83,AML.L,2.329B,735495,382052145.297
88,ANA.L,773.9B,150050,-
91,ANH.L,1.163B,38412,53955009.6848
94,ANTO.L,7.527B,1622685,1684487076.39
98,APF.L,191.9M,59728,29859714.7459
103,AQP.L,113.9M,3278364,54130569.571
111,ARM.L,12.342B,3191049,3477930385.44
115,ARW.L,383.2M,334113,189301743.606
117,ASBE.L,1.0M,409,37778.3564714
120,ASHM.L,2.461B,490894,386223912.842
121,ASPL.L,82.7M,25,14351.7837747
129,ATK.L,1.266B,89236,153781522.163
136,AVAP.L,67.2M,4500,16618532.6079
139,AVM.L,15.6M,134956,16655409.8929
142,AVON.L,182.7M,6075,19023343.1137
146,AVV.L,1.287B,107258,286302986.075
150,AYM.L,5.1M,71576,358842.693273
152,AZN.L,54.797B,3534192,9732572943.16
153,BAB.L,4.150B,1065696,1079842285.54
