,Ticker,Turnover
0,ABE,9903938.0
1,ACS,20745232.0
2,ACX,9731250.0
3,AMS,16321875.0
4,ANA,9438234.0
5,BBVA,136291567.0
6,BKT,15157472.0
7,BME,4035069.0
8,CABK,35920744.0
9,DIA,11250343.0
10,EBRO,3654039.0
11,ELE,4245810.0
12,ENG,16943199.0
13,FCC,16852304.0
14,FER,13058240.0
15,GAS,24547316.000000004
16,GRF,12008152.0
17,IAG,11086610.0
18,IBE,73487568.0
19,IDR,5431296.0
20,ITX,75710005.0
21,JAZ,6655700.0
22,MAP,18499616.0
23,MTS,10024560.0
24,OHL,5904360.0
25,POP,52486430.0
26,REE,24790262.0
27,REP,60901768.0
28,SAB,46380726.0
29,SAN,126827103.99999999
30,TEF,156031187.0
31,TL5,6775552.000000001
32,TRE,8887991.0
33,VIS,7860816.0
