,Ticker,MarketCap,AvgVol,Turnover
0,A2A.MI,2.635B,13847095,11836349.7206
1,ACA.MI,27.007B,5705,65877.0416484
2,ACE.MI,2.328B,142646,856842.573589
3,ACO.MI,67.9M,4039,73663.5535092
4,ACP.MI,46.1M,146154,105281.212094
5,ACS.MI,91.3M,34698,69695.9439611
6,AE.MI,42.2M,6856937,262002.711661
7,AEF.MI,120.9M,1576771,387078.741269
9,AFI.MI,113.2M,6337,26512.5672423
10,AGL.MI,1.683B,1593685,10341508.6077
11,AGN.MI,13.374B,2860,33155.9123965
12,AGS.MI,6.537B,917,30459.4481189
13,AH.MI,12.367B,0,-
16,ALU.MI,7.241B,42305,365143.453546
17,ALV.MI,55.039B,5356,478254.715429
19,AMP.MI,1.015B,207347,827306.813291
22,ARE.MI,6.7M,11494282,168044.830623
23,ARN.MI,150.1M,52493,162446.470755
24,ASC.MI,443.1M,447536,581396.023091
25,ASR.MI,132.2M,339099,851678.699196
26,AST.MI,811.6M,433238,1666517.91901
27,AT.MI,982.8M,70582,605836.461021
28,ATL.MI,16.472B,3658193,30236258.7514
29,AUTME.MI,68.7M,1500,46335.6856498
30,AXA.MI,42.245B,14084,181031.616393
31,AZM.MI,2.530B,1225636,16094656.144
32,B.MI,37.1M,35051,-
33,BAN.MI,129.9M,41239,-
34,BASF.MI,79.862B,1453,115458.875708
35,BAY.MI,84.927B,1901,216012.861119
37,BC.MI,1.110B,137635,2845407.4065
38,BCM.MI,20.6M,56577,126505.008123
39,BDB.MI,388.0M,75076,167505.468217
40,BDBR.MI,351.8M,5880,13673.2760281
41,BE.MI,89.6M,109205,157583.485828
42,BEC.MI,77.5M,11876,124457.850054
44,BEST.MI,19.8M,8485,23977.1147214
45,BET.MI,69.3M,1581142,267673.439015
46,BF.MI,202.3M,16272,268314.249365
47,BFE.MI,158.9M,344302,284087.976856
48,BGN.MI,2.303B,286997,5296393.46925
49,BIA.MI,38.0M,144716,193033.601197
50,BIE.MI,13.4M,103946,108233.653122
51,BIM.MI,502.8M,29798,256415.098545
52,BLZ.MI,86.1M,16081,71660.33998
53,BMPS.MI,174.6M,29304028,-
54,BMW.MI,60.671B,1894,200990.780799
56,BNP.MI,61.143B,14185,2109420.16104
57,BNS.MI,1.254B,5277215,1509855.27995
59,BOE.MI,88.8M,95,622.816302236
61,BP.MI,2.224B,3835723,20807202.9228
62,BPE.MI,2.152B,3511816,16796410.8738
63,BPSO.MI,1.212B,895852,1801067.52511
