,Ticker,Turnover
0,01X,0.0
1,02G,0.0
2,02M,0.0
3,02V,0.0
4,079,0.0
5,07K,0.0
6,07W,1755.0
7,08W,0.0
8,0BD,0.0
9,0C1,0.0
10,0CP1,0.0
11,0CZ,0.0
12,0DV,0.0
13,0E6,0.0
14,0KE,0.0
15,0LC,1019.0
16,0MJA,0.0
17,0ML,0.0
18,0SC,0.0
19,0SG,0.0
20,0UA,0.0
21,0WC,3220.0
22,0WP,0.0
23,0XB,0.0
24,102,0.0
25,13B,0.0
26,144,0.0
27,14A,0.0
28,16T,0.0
29,1AJ1,0.0
30,1CA,0.0
31,1CN,270.0
32,1CT,0.0
33,1FA,0.0
34,1FE,0.0
35,1GE,0.0
36,1GW,0.0
37,1HTA,0.0
38,1LA,0.0
39,1LG,0.0
40,1LP,0.0
41,1MH,0.0
42,1NC,0.0
43,1NS,0.0
44,1P2,0.0
45,1PL,0.0
46,1SK,0.0
47,1SO,0.0
48,1T5,0.0
49,1TQ,0.0
50,1VO,0.0
51,20A,0.0
52,21M,0.0
53,273,0.0
54,276A,11475.0
55,29X,0.0
56,2AE,0.0
57,2BH,0.0
58,2CD,0.0
59,2CI,0.0
60,2DB,0.0
61,2EV,0.0
62,2HR,0.0
63,2IB,0.0
64,2IS,0.0
65,2J1,0.0
66,2JA,0.0
67,2JC,0.0
68,2KD,0.0
69,2LR,0.0
70,2N9A,0.0
71,2NC,0.0
72,2TR,0.0
73,2YS,0.0
74,30M,0.0
75,31Z,0.0
76,32N,7065.0
77,33A,0.0
78,33R,0.0
79,33X1,0.0
80,34T1,0.0
81,34U,0.0
82,36M1,0.0
83,37RN,0.0
84,37S,0.0
85,39J,0.0
86,3A1,0.0
87,3BG,0.0
88,3C6A,0.0
89,3CAA,0.0
90,3CC,0.0
91,3CQ,0.0
92,3DM,0.0
93,3DW,0.0
94,3EC,0.0
95,3EV,0.0
96,3FH,0.0
97,3FO,0.0
98,3FV,0.0
99,3GY,0.0
100,3H3,0.0
101,3HG,0.0
102,3HU,0.0
103,3IB,0.0
104,3IW,0.0
105,3JR,0.0
106,3M71,0.0
107,3MJ,0.0
108,3NB,0.0
109,3NY,0.0
110,3P7,17132.0
111,3PW,0.0
112,3PY1,0.0
113,3R9,0.0
114,3RB,0.0
115,3RR,0.0
116,3RV,0.0
117,3SD,0.0
118,3SI,0.0
119,3SY,0.0
120,3T4,0.0
121,3TK,0.0
122,3V4,0.0
123,3V64,16634.0
124,3VE,0.0
125,3W9,0.0
126,3XO,0.0
127,41G1,0.0
128,44T,0.0
129,45S,0.0
130,46BA,0.0
131,46C1,0.0
132,48CA,0.0
133,48I,0.0
134,49D,0.0
135,49F,0.0
136,4BV,0.0
137,4BY,0.0
138,4CF,0.0
139,4DS,0.0
140,4E8,0.0
141,4EH,0.0
142,4FF,0.0
143,4FM,0.0
144,4FN,0.0
145,4FO,0.0
146,4FP,0.0
147,4FU,0.0
148,4FV,0.0
149,4FY,0.0
150,4FZ,0.0
151,4G3A,0.0
152,4GE,0.0
153,4GJ,0.0
154,4GM,0.0
155,4GN,0.0
156,4GO,0.0
157,4GP,0.0
158,4H5,0.0
159,4HB,0.0
160,4HN,0.0
161,4HW,0.0
162,4I1,0.0
163,4ID,0.0
164,4LD,0.0
165,4M4,0.0
166,4NS,0.0
167,4OJ,0.0
168,4P4,0.0
169,4P9,0.0
170,4PT,0.0
171,4QW,0.0
172,4SK,0.0
173,4XD,0.0
174,4XS,0.0
175,50E,0.0
176,55G,0.0
177,56P,0.0
178,58I,0.0
179,599A,0.0
180,59M,0.0
181,5AA,0.0
182,5AB,0.0
183,5AT,0.0
184,5BG,2532.0
185,5BN,0.0
186,5CM,0.0
187,5CW,0.0
188,5F4,0.0
189,5HY,0.0
190,5LM,0.0
191,5MB,0.0
192,5MH,0.0
193,5OG,0.0
194,5PF,0.0
195,5PV,0.0
196,5S4,0.0
197,5TN,0.0
198,5TP,0.0
199,5YG,0.0
200,60N,0.0
201,65P,0.0
202,68B,550.0
203,6AB,0.0
204,6AH,0.0
205,6AX,36.0
206,6BC,0.0
207,6BK,0.0
208,6C4,0.0
209,6C9,0.0
210,6E9,0.0
211,6H2,0.0
212,6HB,0.0
213,6HP,0.0
214,6HW,0.0
215,6K1,0.0
216,6LD,0.0
217,6LM,0.0
218,6MK,0.0
219,6MT,0.0
220,6ND,0.0
221,6OL,0.0
222,6PG,0.0
223,6TH,0.0
224,6TO,0.0
225,6TUW,0.0
226,6WX,0.0
227,6YP1,0.0
228,70P,0.0
229,72A,0.0
230,74M,0.0
231,75C,0.0
232,7A2,0.0
233,7AA,0.0
234,7AZ,0.0
235,7B7,0.0
236,7BF,0.0
237,7CH,0.0
238,7DG,0.0
239,7DM1,900.0
240,7FM,0.0
241,7GG,0.0
242,7HD,0.0
243,7IM,0.0
244,7KT,0.0
245,7KXN,0.0
246,7NX,0.0
247,7PW,0.0
248,7PZ,0.0
249,7RM,0.0
250,7S4,0.0
251,7SA,0.0
252,7T0,0.0
253,7TF,0.0
254,7TG,0.0
255,7TR,0.0
256,7X8,0.0
257,8AK,0.0
258,8BU,4300.0
259,8GC,0.0
260,8GM,0.0
261,8JN,0.0
262,8MG,0.0
263,8OL,0.0
264,8PEN,0.0
265,8RA,0.0
266,8RR,0.0
267,8SV,0.0
268,8WY,0.0
269,8ZZ,0.0
270,92G,0.0
271,98A,0.0
272,98D,0.0
273,9AE,0.0
274,9AI,0.0
275,9BC,0.0
276,9BM,0.0
277,9BR,0.0
278,9C6,0.0
279,9EW,0.0
280,9LMA,0.0
281,9ME,0.0
282,9MO,0.0
283,9ST,0.0
284,A1H,0.0
285,A1OS,4620.0
286,A1T,6370.0
287,A1U,0.0
288,A2O,0.0
289,A2V1,0.0
290,A3E,0.0
291,A3N1,0.0
292,A4B,0.0
293,A4L,2310.0
294,A4S,0.0
295,A4Y,0.0
296,A5A,0.0
297,A5DA,0.0
298,A60,0.0
299,A64,0.0
300,A6R,0.0
301,A6T,0.0
302,A6Z,0.0
303,A7R,0.0
304,A8M,0.0
305,A8N,0.0
306,A8Q,0.0
307,A9D,0.0
308,A9K,0.0
309,A9L,0.0
310,A9RB,0.0
311,A9W,0.0
312,AA2,0.0
313,AA9,0.0
314,AAB,0.0
315,AAD,0.0
316,AAGN,0.0
317,AAH,0.0
318,AAQ,5220.0
319,AAZ,0.0
320,AB1,15975.0
321,AB3A,0.0
322,AB7,0.0
323,ABA,5925.0
324,ABE1,0.0
325,ABG,0.0
326,ABHA,0.0
327,ABJ,60819.0
328,ABK,0.0
329,ABL,0.0
330,ABP,0.0
331,ABR,21490.0
332,ABW,0.0
333,AC8,0.0
334,ACB,1400.0
335,ACE1,0.0
336,ACJ,0.0
337,ACP,0.0
338,ACR,0.0
339,ACT,0.0
340,ACV,0.0
341,ACWN,0.0
342,AD2,0.0
343,AD3,0.0
344,AD9,0.0
345,ADB,0.0
346,ADD,0.0
347,ADF,13440.0
348,ADG,22630.0
349,ADI1,0.0
350,ADL,0.0
351,ADM,0.0
352,ADP,0.0
353,ADS,26019.0
354,ADV,2328.0
355,ADZ,0.0
356,AE1,0.0
357,AE6,0.0
358,AE9,12625.0
359,AEC1,0.0
360,AED,0.0
361,AEND,0.0
362,AEP,0.0
363,AES,0.0
364,AEU,0.0
365,AF5,0.0
366,AFB,0.0
367,AFF,0.0
368,AFG,0.0
369,AFL,0.0
370,AFO1,0.0
371,AFR,0.0
372,AFT,0.0
373,AFX,4464.0
374,AFZ,0.0
375,AG4,0.0
376,AG8,0.0
377,AGD,0.0
378,AGE,0.0
379,AGJ,3818.0
380,AGM,0.0
381,AGR,6655.0
382,AGU,0.0
383,AGV,0.0
384,AGX,35.0
385,AHC,0.0
386,AHE,0.0
387,AHNA,0.0
388,AHOE,0.0
389,AHS,0.0
390,AHU,0.0
391,AHV,0.0
392,AI3A,0.0
393,AIB,57988.00000000001
394,AINN,0.0
395,AIO,0.0
396,AIU,0.0
397,AIW,0.0
398,AIXA,3585.0
399,AIY,0.0
400,AJ3,0.0
401,AJ4,0.0
402,AJA,0.0
403,AJI,0.0
404,AJR,0.0
405,AJV2,0.0
406,AJW,0.0
407,AJXA,0.0
408,AK2,0.0
409,AK3,0.0
410,AK4,0.0
411,AK7,0.0
412,AK7A,0.0
413,AKH,0.0
414,AKJ,0.0
415,AKQ,0.0
416,AKU,0.0
417,AKY,0.0
418,ALB,0.0
419,ALD,0.0
420,ALE,0.0
421,ALG,0.0
422,ALR,0.0
423,ALS,0.0
424,ALU,831.0
425,ALV,155820.0
426,AM8,0.0
427,AMD,12195.0
428,AMG,0.0
429,AMK,0.0
430,AML,0.0
431,AMP,0.0
432,AMS,0.0
433,AMT,0.0
434,AMY,0.0
435,AMZ,0.0
436,AN5,0.0
437,ANCA,0.0
438,ANK,0.0
439,ANL,0.0
440,ANM,0.0
441,ANN,0.0
442,ANO,0.0
443,ANS,0.0
444,AO6B,0.0
445,AO9,0.0
446,AOB,0.0
447,AOC,0.0
448,AOD1,2590.0
449,AOF,0.0
450,AOL1,0.0
451,AOMD,0.0
452,AON,0.0
453,AOP,0.0
454,AOR,0.0
455,AOS,0.0
456,AP2,0.0
457,AP3,0.0
458,AP4B,0.0
459,APA,6105.0
460,APC,0.0
461,APDA,0.0
