Ticker,MarketCap,AvgVol,Close,Turnover
A,19.159B,1939950,54.0105194805,104777707.266196
AAME,81.7M,10106,3.8583549784,38992.5354112051
AAON,1.197B,122317,28.4907725322,3484905.82382111
AAPL,542.5B,67597200,502.234291845,33949631872.7048
AAWW,921.9M,267225,39.0906060606,10445987.2045438
ABAX,996.7M,148745,39.6015584416,5890533.81039579
ABCB,532.3M,79830,20.3576623377,1625152.18441859
ABCD,90.9M,26850,1.7904761905,48074.285714388
ABCO,1.849B,259833,59.9536051502,15577925.0869919
ABIO,30.1M,377491,1.6091341991,607433.677963783
ABMD,954.6M,362819,24.6812554113,8954828.40707246
ABTL,119.3M,225094,11.5040772532,2589498.7652318
ACAD,2.249B,1743600,22.9311688312,39982785.9740803
ACAS,3.931B,2977970,14.5729437229,43397789.2184845
ACAT,484.0M,255470,49.6586147186,12686286.3021607
ACET,505.6M,418297,18.8146320346,7870104.13617708
ACFC,63.1M,22034,4.0582683983,89419.8858874812
ACFN,51.0M,421803,3.917012987,1652207.82895978
ACGL,7.496B,399262,56.1719313305,22427317.6468781
ACHC,2.364B,491112,44.0819742489,21649186.5373258
ACHN,717.3M,5741110,4.08004329,23423977.3328815
ACIW,2.052B,229197,57.0116450216,13066898.0040157
ACLS,212.4M,576342,2.1280686695,1226495.35313426
ACNB,118.1M,2481,18.2229184549,45211.0606866069
ACOR,1.359B,594266,33.7990909091,20085650.5581872
ACPW,63.9M,64836,3.1331168831,203138.766233968
ACRX,434.0M,591006,10.2480519481,6056660.18963879
ACST,116.2M,413723,1.9463948498,805268.316439668
ACTG,836.0M,494195,16.8982251082,8351018.3573469
ACTS,162.5M,66988,2.4841558442,166408.63168859
ACUR,51.3M,175031,1.5764806867,275932.991073788
ACXM,1.653B,729234,30.6717316017,22366869.5228341
ADAT,24.9M,104767,1.0702145923,112123.172188351
ADBE,35.980B,3641720,58.5331759657,213161437.577809
ADEP,137.0M,300230,11.6436363636,3495768.94544363
ADES,446.9M,158220,39.3155411255,6220504.91687661
ADI,16.750B,1945980,50.1046753247,97502696.0883597
ADP,37.975B,1634940,76.3415151515,124813796.781793
ADSK,12.647B,2450370,46.3919047619,113677331.671417
ADTN,1.219B,738902,24.8567965368,18366736.6746346
ADUS,244.8M,68566,24.4293133047,1675020.29605006
ADVS,1.694B,284691,31.3113304721,8914053.98343262
AEGN,844.1M,238375,22.5841558442,5383498.14936118
AEGR,955.2M,1119300,64.0503463203,71691552.6363118
AEHR,23.3M,12877,2.4050649351,30970.0211687676
AEIS,762.6M,565675,21.9675107296,12426471.6319665
AEPI,182.6M,28989,51.9843290043,1506973.71350565
AETI,55.0M,18552,7.741038961,143611.754805214
AEY,28.3M,39928,2.7936909871,111546.493733727
AEZS,63.9M,439316,1.2936796537,568334.170736083
AFAM,201.4M,63094,23.7629437229,1499299.17125265
AFCB,40.3M,1936,19.5669264069,37881.5695237584
AFFX,655.6M,1028070,7.3851515152,7592452.71818026
AFFY,3.9M,423212,0.9833766234,416176.787532627
AFH,141.9M,75073,12.5721645022,943830.105673661
AFOP,329.0M,791155,19.5943722944,15502185.612576
AFSI,3.161B,607897,38.1770386266,23207707.2499943
AGEN,226.5M,563984,3.0889699571,1742129.63227381
AGII,1.300B,133155,45.0105194805,5993375.72142598
AGNC,8.167B,4057810,22.0713852814,89561487.9087177
