Ticker,Turnover
ABAN,519157519.153
ABB,116446135.096
ACC,357954211.896
ALBK,298767378.227
AQUA,135981.631974
ATFL,7414000.57002
BANG,11597.4501128
BASF,12052703.6282
BBTC,5860838.98811
BEML,121231189.534
BEPL,44984.5107754
BHEL,1047475336.08
BIL,3799949.88446
BPCL,589674495.341
BPL,885165.476007
BRFL,6022543.97682
CCCL,406678.790988
CIPLA,554412311.188
CMC,42975944.7694
CRISIL,23599001.7787
CTE,1083.62598694
DABUR,237916942.862
DCB,48963011.378
DCM,2491330.02924
DCW,7119266.20367
DPTL,1104707.04224
DQE,1639421.77483
EMCO,6267460.22409
EMKAY,41020.7530862
ENIL,6302788.82863
ESL,1972943.09203
FMNL,20634.465433
GAIL,418029100.091
GHCL,4005381.56983
GKB,1346.08637804
GNFC,8787933.33266
GRASIM,208268487.308
GSFC,16548180.6969
HCC,52890135.6489
HDFC,2683408293.76
HDIL,687600279.354
HEG,6552555.14058
HIL,2621566.66611
HMT,6880182.83217
HMVL,1796151.86543
HOVS,2414252.16505
IBPOW,20978955.8923
IBSEC,11146507.1342
ICRA,17581161.6136
IDBI,135105787.666
IDEA,859218053.667
IDFC,1062428807.23
IFCI,244704457.932
IGL,101162395.852
IGPL,106968.936818
IMFA,1811787.47431
IOB,92696694.7787
IRB,336305966.149
ITC,2183908266.27
ITI,4067384.33623
IVP,19320.5335652
JKIL,4589182.51913
JOCIL,121486.108436
KBIL,81821.2109382
KECL,286019.5429
KIL,-
KPIT,69518973.0733
KSCL,133312580.593
KSK,8255256.36386
KTIL,20576.7240595
LML,886227.4512
LT,2434732562.46
MAX,51993206.7086
MCX,600325399.989
MEGH,1146041.35624
MMTC,77232348.0987
MOIL,19665093.698
MRF,201927611.981
MRPL,21358138.0344
MTNL,37648309.205
NBCC,23038638.8264
NDTV,7434652.80256
NELCO,2129161.60922
NET4,43591.5801544
NFL,10710717.8637
NHPC,125834769.612
NITCO,290257.869435
NMDC,412884350.575
NOCIL,6073972.16033
NOL,5952.08592287
NTPC,890655153.979
OFSS,91389167.8192
OIL,170916460.65
OISL,61054.7392378
ONGC,1273075301.26
PGEL,2005622.38756
PGIL,1742626.65692
PNB,968721057.897
PPAP,405967.048196
PSL,3531652.0243
PTL,328225.035101
RBN,2733475.3085
RCF,32318870.053
RCOM,936368919.558
RIIL,138380096.939
RML,744059.571086
RUPA,644483.757987
SABTN,1527612.43816
SAIL,349065286.316
SBIN,3720118600.52
SCI,28382707.6886
SJVN,13920341.139
SOBHA,56602230.2652
SOTL,2026471.80354
SPYL,59553.8323909
SRF,39685171.7242
STEL,37322.5880149
SUDAR,650444.884368
SUNTV,251396781.92
TAKE,1492354.79613
TCS,2627174070.34
TECHM,1565349839.88
TI,22801217.5837
TIIL,2004706.6718
TIL,1454850.44712
TRENT,26803229.8806
TRF,9434770.37937
TRIL,1584705.59908
TWL,17900466.9684
VIPUL,19666.6304862
VSSL,66382.34651
