Ticker,MarketCap,Turnover
A,17.057B,131465088.211
AADR,2.553B,191255.480519
AAN,9.462B,27292259.9019
AAP,1.450B,86831586.167
AAT,1.138B,6294598.91332
AAXJ,2.402B,36283421.8552
AB,52.560B,8421424.03615
ABB,87.454B,39644922.233
ABBV,16.428B,276719108.177
ABC,2.035B,109471301.048
ABG,1.487B,16067005.4587
ABM,348.9M,5491092.03072
ABX,4.028B,259372415.344
ACC,699.4M,27085148.8081
ACCO,35.192B,4297425.88643
ACG,4.879B,6519382.86246
ACH,757.8M,903976.618429
ACI,3.192B,35986396.0768
ACM,11.852B,19920314.8794
ACMP,52.583B,24768052.9744
ACP,349.8M,928662.625176
ACRE,38.872B,3278174.83286
ACWX,442.0M,17536132.8803
ADC,28.725B,2592591.54068
ADRU,15.219B,129245.322426
ADS,6.034B,168722193.047
ADT,1.295B,118586832.034
ADZ,50.528B,8858.14876033
AEB,1.023B,647993.44585
AEC,53.243B,7753213.6563
AED,9.725B,1063058.59008
AEH,1.780B,2276873.80256
AEL,6.513B,18637700.5724
AEM,2.269B,63447733.6564
AEO,26.903B,68080180.2625
AFK,28.429B,940433.651543
AFL,2.359B,120129017.26
AFT,1.221B,927500.221629
AGC,5.229B,778736.077585
AGG,1.235B,122557052.766
AGI,330.1M,3825646.07108
AGN,4.506B,335115361.322
AGQ,1.111B,17347804.378
AGRO,13.095B,1773538.60229
AH,264.2M,4031776.14826
AHC,2.921B,735946.261427
AIF,79.407B,1238061.38296
AIG,1.192B,468728284.562
AIN,283.8M,4024397.81863
AIQ,1.038B,1391961.3787
AIR,2.086B,8643349.33498
AIT,4.712B,8743504.94792
AIZ,7.344B,36321526.7209
AKP,1.624B,376191.628718
AKR,1.065B,7628055.53337
AKS,3.962B,36513068.6087
AL,5.665B,24136909.6825
ALDW,2.074B,4289586.21082
ALE,1.983B,9286111.63203
ALEX,649.3M,7670522.39951
ALG,894.1M,1422147.96008
ALJ,6.549B,9697200.95212
ALK,25.480B,57471977.8398
ALT,9.895B,134653304.965
ALU,9.888B,55931787.9451
ALV,1.897B,41111186.5885
AMD,13.067B,89552844.931
AME,11.276B,55085891.8646
AMG,326.5M,82646173.841
AMLP,22.641B,53184028.0559
AMRC,357.1M,1105123.55372
AMRE,35.332B,1307666.25599
AMT,17.209B,186966396.515
AMTD,525.6M,84419453.2453
AMTG,69.068B,5834097.05109
AMX,6.970B,127232344.919
AN,3.133B,50191003.3902
ANF,387.1M,103457743.127
ANFI,656.3M,3866486.39831
ANN,803.5M,34294724.7434
ANR,479.3M,61475749.4638
AOD,229.2M,2910694.99916
AOK,3.098B,821728.149901
AOM,26.870B,1284117.25091
AOR,4.485B,1405761.8138
AOS,236.0M,33528547.8179
AP,38.331B,610372.747212
APB,55.339B,230224.613519
APC,27.498B,369352843.075
APF,15.106B,618185.328611
APH,2.756B,48952961.8761
APL,4.018B,16822238.2147
APO,4.187B,32752218.6384
ARB,286.4M,17007689.5392
ARDC,5.475B,1038246.573
ARL,272.9M,53764.0692641
ARO,1.324B,27993791.3517
ARP,1.525B,10687960.9435
ART,5.928B,509944.420949
ARW,905.0M,30997534.9303
ARY,276.6M,476550.958153
ASG,1.939B,401697.972302
ASGN,8.415B,11586676.2088
ASP,39.474B,215928.745826
ASR,9.704B,7037706.47507
ASX,430.7M,3750946.80197
AT,2.179B,4290228.8132
ATE,4.662B,171516.59684
ATI,4.354B,44224165.8395
ATK,2.318B,48781952.7833
ATLS,5.312B,19429275.4479
ATO,4.345B,24746306.5015
ATR,2.388B,13819075.3762
ATU,48.4M,20938040.2229
ATV,3.368B,19174.5834331
ATW,6.820B,34673648.8101
AUO,1.052B,2247619.10585
AUQ,6.217B,10294008.8994
AUY,25.370B,71153943.4331
AV,1.999B,2163236.93077
AVA,18.363B,9329104.14872
AVB,371.4M,100827328.909
AVG,1.351B,14236833.4286
AVK,6.343B,1214196.38596
AVP,6.027B,69183316.9907
AVV,2.202B,946438.3127
AVX,4.839B,2328583.46283
AWF,3.728B,3587752.81479
AWH,3.150B,51378567.0975
AWI,8.711B,43334869.2239
AWP,1.254B,1753279.02296
AXL,3.225B,26304833.0938
AXP,44.2M,312255890.924
AXR,4.788B,100902.181331
AYN,1.431B,223459.820281
AYT,93.705B,81100.1855288
AZN,17.343B,173817753.839
AZO,1.131B,130548251.687
AZZ,2.083B,6521237.86187
B,92.655B,10484089.4805
BAB,162.7B,4333981.49013
BAF,3.161B,418962.423118
BAH,5.226B,12275832.8752
BAL,345.4M,722726.374037
BALT,26.496B,4690148.88227
BAM,12.444B,27158868.9993
BAP,1.099B,50868815.6559
BAS,40.109B,17874489.4777
BAX,62.637B,228290911.061
BBD,63.225B,105702768.709
BBK,171.7B,483927.800917
BBN,28.108B,5606185.79374
BBVA,226.5M,19591221.2622
BBW,313.0M,737791.259309
BBX,10.659B,510600.940012
BBY,3.859B,227575733.512
BC,4.177B,39657491.5325
BCA,1.155B,1220516.99402
BCC,34.963B,9512687.02805
BCE,2.404B,28705151.2974
BCF,12.641B,2018564.04027
BCH,1.315B,4549481.5129
BCO,11.071B,10732367.0869
BCR,63.806B,91279168.4014
BCX,3.365B,2345734.03418
BDJ,2.398B,3699306.7376
BFO,2.131B,238662.03407
BFR,1.006B,2017471.7198
BFZ,10.994B,1104565.42371
BGB,1.225B,2661114.96273
BHL,557.2M,353466.056476
BHLB,180.9B,1848031.40027
BICK,2.771B,59453.3973365
BIF,2.488B,334223.201164
BIK,2.915B,1936640.76454
BIN,3.429B,4462415.427
BIT,1.867B,3075397.44158
BJZ,41.327B,224837.615168
BKD,2.143B,41703954.0636
BKF,2.691B,3360282.27891
BKN,1.294B,763327.564232
BKT,3.482B,1067050.62994
BKU,9.435B,20869803.5563
BLH,53.617B,188315.902907
BLK,8.674B,187804240.685
BLL,703.0M,48416564.9351
BLOX,636.1M,42390572.5586
BLW,1.114B,2147251.47647
BLX,2.126B,3272269.2091
BME,754.6M,646016.287851
BMS,82.411B,25084192.7443
BNJ,559.6M,325506.479451
BNO,80.483B,1978035.51086
BOE,2.588B,3192221.82661
BOM,68.4M,33153.2194674
BOXC,161.9B,35843.102097
BP,605.6M,230411773.938
BPK,9.433B,497377.57542
BPT,358.6M,9544494.09235
BQR,4.922B,409679.359382
BRAZ,1.500B,60927.1687562
BRF,20.930B,2862569.18124
BRO,2.372B,26848138.2594
BRP,2.814B,2861091.97493
BRS,103.3M,18539403.8461
BRY,12.649B,28890569.232
BSAC,25.527B,7852049.37966
BSE,215.0M,247166.505333
BSL,17.820B,1037461.09741
BSV,16.798B,78235452.3049
BSX,50.743B,158612685.495
BTA,5.668B,495854.712843
BTF,121.0M,489734.759469
BTT,4.458B,5381226.29737
BTZ,185.5B,3951480.78057
BUI,2.715B,1141081.3086
BVN,14.753B,25684023.51
BWA,3.529B,105180925.92
BWG,4.276B,1537561.22124
BWP,1.244B,34188122.3515
BWV,18.977B,53980.3926463
BX,103.5M,144619906.599
BXUC,1.309B,3864.24544143
BYD,2.533B,32300881.7379
BZF,548.1M,5030554.72858
BZQ,855.6M,1389238.27233
CAB,1.639B,52597913.2442
CACI,3.432B,21989374.1044
CAF,12.100B,3219474.01417
CAG,23.661B,112931001.893
CAH,37.140B,153029705.432
CAJ,389.0M,10389480.8613
