,Ticker,MarketCap,AvgVol,Turnover
0,ABA.NZ,116.0M,12690,70596.7219917
2,AIA.NZ,4.589B,1347490,6626725.787
3,AIR.NZ,2.373B,2146230,5555281.53135
4,ALF.NZ,4.5M,52966,2614.97817708
5,AMP.NZ,16.810B,29458,193658.706465
6,ANZ.NZ,98.744B,46103,1762725.59269
7,APN.NZ,575.5M,19131,7630.63405753
8,ARG.NZ,771.1M,1894440,-
9,ATM.NZ,452.0M,1627780,868565.991426
11,AWF.NZ,67.2M,3689,12995.7820833
12,BFW.NZ,148.0M,2048,7177.83184028
13,BGR.NZ,570.2M,14402,36293.8381944
14,BLT.NZ,17.6M,165414,6160.5125
15,BRL.NZ,41.1M,264467,60402.7318149
16,CAV.NZ,94.3M,25523,72637.8128472
17,CDI.NZ,145.6M,11679,10614.4543924
18,CEN.NZ,3.901B,499740,1960285.46661
20,CMO.NZ,170.3M,2682,11900.4738899
21,CNU.NZ,670.8M,1185320,3205102.33326
23,CUE.NZ,69.8M,79,335.209695208
24,CVT.NZ,120.5M,24005,35427.6566493
26,DGL.NZ,429.1M,10129,29155.2532639
27,DIL.NZ,344.4M,183516,961115.304514
28,DNZ.NZ,479.4M,277550,349396.251786
30,DPC.NZ,107.8M,127048,38969.0665104
31,EBO.NZ,1.476B,133407,1207831.8096
32,FBU.NZ,6.092B,1384160,15252427.0259
33,FCG.NZ,9.395B,142759,896141.153148
34,FIN.NZ,4.5M,15,27.28375
35,FPH.NZ,2.581B,1178990,3996516.83263
36,FRE.NZ,786.4M,99994,684574.831322
38,GFF.NZ,1.408B,98544,51621.6271424
39,GFL.NZ,5.6M,21108,752.547881944
40,GLL.NZ,1.317B,239817,95824.6034708
41,GPG.NZ,949.8M,1441810,1683750.44234
42,HBY.NZ,261.6M,39339,162400.997917
44,HLG.NZ,182.4M,40510,186676.239427
45,HNZ.NZ,365.1M,720214,455934.774671
46,IFT.NZ,1.365B,575990,1661022.2689
49,JWI.NZ,8.2M,9031,681.684375
50,KMD.NZ,656.8M,657223,1857900.61524
51,KRK.NZ,23.0M,1769,2028.91333333
52,LIC.NZ,227.3M,3678,23732.7835937
53,LPC.NZ,322.1M,1666,3616.46027778
54,MAD.NZ,11.2M,7219,6512.88519097
55,MCK.NZ,227.0M,45608,12769.7317708
56,MET.NZ,951.2M,259882,3837563.41199
57,MFT.NZ,1.421B,169020,1148232.8659
58,MGL.NZ,45.8M,7792,30391.241875
59,MHI.NZ,471.1M,162914,137145.008333
60,MOA.NZ,13.2M,24063,17884.1889236
61,MOW.NZ,6.4M,51,134.2125
62,MRP.NZ,3.093B,837225,3560786.52133
63,MVN.NZ,75.3M,66957,68255.1739812
64,MYK.NZ,1.6M,599,252.87708545
66,NPX.NZ,614.2M,222757,942989.361719
67,NTH.NZ,125.9M,4873,7388.0549233
69,NWF.NZ,14.2M,114402,5243.44791667
71,NZO.NZ,334.9M,311200,262478.203056
72,NZR.NZ,473.2M,102545,142761.911606
73,NZX.NZ,342.9M,231140,343290.848542
74,OGC.NZ,1.037B,72293,189797.188635
75,OIC.NZ,262.8M,25426,61893.517708
76,OMG.NZ,5.0M,746,43.7147916667
77,PBG.NZ,483.8M,1931,635.489722222
79,PEB.NZ,280.1M,564595,699194.001458
80,PFI.NZ,545.2M,247926,331476.780625
81,PGC.NZ,79.7M,20996,22048.6210938
82,PGW.NZ,313.3M,336854,170890.229094
83,PHB.NZ,160.2M,45038,-
85,POT.NZ,2.081B,37901,506093.588747
86,PPG.NZ,2.9M,12109,2259.96697917
87,PPL.NZ,76.1M,99942,94390.2031771
88,PPP.NZ,47.1M,53087,4869.31154917
89,RAK.NZ,44.2M,94646,22162.7512153
90,RBC.NZ,155.4M,179597,29138.9499653
91,RBD.NZ,326.9M,73001,206790.453715
92,RIS.NZ,745K,349,73.2315214958
93,RNS.NZ,6.2M,14859,3277.52796875
94,RYM.NZ,4.222B,608780,6736673.91684
95,SAN.NZ,377.9M,22330,86500.4901042
96,SCT.NZ,67.0M,12467,14658.3535938
97,SCY.NZ,26.4M,39323,9890.54861111
98,SDL.NZ,7.0M,13633,4434.9375
100,SEK.NZ,43.3M,499,1802.01125
101,SGL.NZ,907K,276,21.0976222861
102,SKC.NZ,2.281B,1383720,7914870.07162
103,SKL.NZ,339.3M,162093,277322.285052
104,SKT.NZ,2.658B,1007750,8451086.98375
105,SLG.NZ,13.0M,13418,2542.99292368
106,SLI.NZ,90.7M,26245,76386.0549306
107,SML.NZ,491.9M,75252,537864.646267
108,SNK.NZ,21.7M,174697,47009.6673611
109,SPN.NZ,90.8M,1502,4368.00449653
110,SPY.NZ,49.8M,79847,37146.4161774
111,STU.NZ,275.0M,113771,338683.902274
112,SUM.NZ,749.2M,423074,2851667.59109
114,TEL.NZ,4.896B,6450460,15184773.1376
115,TEN.NZ,97.6M,5507,11002.6516319
116,THL.NZ,121.2M,31334,126189.317591
117,TLS.NZ,69.031B,196250,1106741.6158
118,TME.NZ,1.384B,1465700,5766676.84639
119,TPI.NZ,1.894B,10006,481962.41855
120,TPW.NZ,2.222B,31464,261133.938542
121,TRS.NZ,5.4M,1430590,347.380989583
122,TTK.NZ,47.1M,20415,42922.9767882
123,TUA.NZ,74.5M,5605,18627.9729688
124,TUR.NZ,234.0M,3687,3766.56901042
125,TWR.NZ,346.4M,303850,1101732.81528
126,VCT.NZ,2.519B,228910,634064.252778
128,WBC.NZ,114.0B,136696,4767775.27246
129,WDT.NZ,13.9M,12922,5965.22296875
131,WHS.NZ,938.9M,249170,502297.919957
132,WTL.NZ,1.4M,465,98.0407017786
133,WYN.NZ,215.4M,228738,459822.693611
134,XRO.NZ,3.292B,394640,7352905.35549
135,ZEL.NZ,1.576B,484452,4676752.22262
