,Ticker,MarketCap,AvgVol,Turnover
0,AB.PA,357.3M,38240,1542724.83976
1,ABBV.PA,58.244B,0,108.505590278
2,ABCA.PA,261.3M,44386,215114.635581
3,AC.PA,8.666B,878582,30579870.084
4,ACA.PA,26.445B,5737383,60131119.7143
6,ADI.PA,127.3M,8495,79246.7072705
7,ADOC.PA,90.7M,61025,252963.956076
8,ADP.PA,9.478B,48739,3691433.29501
9,ADVI.PA,109.5M,258,20401.5520211
11,AF.PA,2.876B,2727027,28826908.3052
12,AFO.PA,41.7M,2310,17144.4268658
13,AGCR.PA,19.7M,5,82.9445774005
14,AGTA.PA,458.9M,827,25397.5151943
15,AI.PA,33.282B,639374,65127918.6167
16,AKA.PA,434.1M,11142,365256.074689
17,AKE.PA,4.562B,223209,14395692.961
20,ALA2M.PA,24.8M,4431,19618.5259012
21,ALACI.PA,19.9M,1923,2636.78579914
24,ALADM.PA,22.7M,8187,23280.9776615
25,ALADO.PA,1.0M,1492161,108433.206702
27,ALALO.PA,5.4M,232755,112466.074228
28,ALANT.PA,12.6M,923,6862.46133848
29,ALAQU.PA,7.0M,2091,3408.51875829
31,ALAST.PA,31.9M,1122,18106.6444915
32,ALAUP.PA,40.4M,156983,237490.186166
35,ALBFR.PA,42.3M,1130,41546.8174927
36,ALBIO.PA,7.1M,1959,26286.4851106
37,ALBRI.PA,211.2M,52,2430.83314368
39,ALBUD.PA,4.2M,1693,11492.2160852
40,ALCAR.PA,333.9M,3455,1037600.04902
41,ALCER.PA,25.2M,1367,4340.43656273
42,ALCES.PA,3.5M,60140,8551.4259052
43,ALCLA.PA,63.4M,520,22567.7482012
44,ALCLS.PA,270.1M,240420,1240938.79596
45,ALCNP.PA,13.3M,258,182.726212776
47,ALCOG.PA,15.3M,873,7332.94140941
49,ALCRM.PA,6.7M,5684,13912.7644152
52,ALDEI.PA,70.7M,8821,164635.627282
53,ALDIE.PA,10.8M,1813,4127.90168239
54,ALDLS.PA,35.6M,11165,29014.6226081
55,ALDMO.PA,13.2M,315,2519.72955011
56,ALDOL.PA,7.1M,305,305.305631904
57,ALEHT.PA,44.9M,202289,644821.850038
58,ALENT.PA,9.4M,580,2324.14423767
61,ALEUA.PA,71.3M,23,141.331657513
62,ALEUP.PA,38.5M,18936,522743.029924
64,ALFBA.PA,21.3M,14807,10832.0530103
66,ALFRE.PA,2.8M,988,483.24932422
68,ALGBE.PA,108.8M,1167,67352.6773516
69,ALGCM.PA,48.4M,185,5935.23012552
70,ALGEM.PA,65.9M,62,2519.54517603
71,ALGEN.PA,13.4M,10251,33721.0419285
76,ALGLD.PA,6.9M,730,4865.31919959
77,ALGOW.PA,1.440B,44431,759094.454281
78,ALGUI.PA,107.3M,55,13751.8982861
79,ALHEO.PA,22.0M,10336,1690.78679775
81,ALHIT.PA,10.8M,351,3656.60136706
84,ALHOM.PA,98.2M,957,2906.12244968
