Ticker,AvgClose,AvgVol,AvgTurnover
600000,8.99,43052400,387041076
600005,2.03,12434100,25241223
600009,12.79,4827600,61745004
600010,3.53,27080000,95592400
600015,8.17,9945000,81250650
600016,6.25,80363100,502269375
600019,4.08,41179700,168013176
600028,5.21,62695100,326641471
600029,2.29,9978900,22851681
600030,11.4,57277500,652963500
600031,4.97,12092100,60097737
600036,10.24,37108900,379995136
600037,10.52,13731800,144458536
600048,4.91,40363100,198182821
600050,3.28,115726100,379581608
600058,10.37,3825200,39667324
600064,10.58,4644400,49137752
600068,3.79,10278200,38954378
600085,17.17,6749200,115883764
600089,8.43,21713000,183040590
600096,6.99,3178200,22215618
600100,8.89,26499700,235582333
600104,15.3,11124100,170198730
600108,5.51,27626200,152220362
600109,19.32,30533500,589907220
600111,19.45,24068400,468130380
600115,2.27,4646800,10548236
600118,17.1,8430300,144158130
600123,7.52,6132900,46119408
600132,14.99,4581200,68672188
600150,19.85,5341400,106026790
600151,7.31,10128000,74035680
600158,9.18,20513100,188310258
600160,4.77,8886800,42390036
600166,4.98,12603600,62765928
600169,2.74,5075900,13907966
600173,4.07,9069800,36914086
600175,5.6,7407300,41480880
600177,6.56,5639600,36995776
600183,5.93,8980800,53256144
600188,6.95,12025100,83574445
600196,19.43,8559900,166318857
600208,2.92,8299500,24234540
600216,9.04,8407200,76001088
600219,4.98,11508500,57312330
600220,2.92,9864700,28804924
600221,1.67,48353400,80750178
600239,4.24,5844700,24781528
600246,3,5176600,15529800
600252,11.82,16484900,194851518
600256,6.97,31416000,218969520
600259,37.77,6961200,262924524
600266,7.55,19390100,146395255
600271,19.97,12440600,248438782
600309,15.03,5402600,81201078
600320,3.14,3359300,10548202
600322,3.36,9837500,33054000
600325,6.17,5220000,32207400
600331,5.79,19197000,111150630
600348,5.63,8070600,45437478
600352,15.07,34306100,516992927
600362,12.34,10525900,129889606
600369,8.47,6390100,54124147
600376,4.31,15102400,65091344
600395,6.41,8047500,51584475
600406,13.16,11279700,148440852
600415,4.98,6859700,34161306
600418,10.42,0,0
600432,14.51,23071000,334760210
600489,7.65,6447400,49322610
600497,9.28,25365000,235387200
600508,7.87,1574100,12388167
600516,9.44,155401900,1466993936
600518,14.88,12288800,182857344
600519,141.64,3634800,514833072
600528,4.53,4702200,21300966
600547,15.55,5639000,87686450
600549,25.18,7803000,196479540
600550,4.36,3088700,13466732
600583,7.29,12087800,88120062
600584,8.57,21205400,181730278
600585,15.8,10363500,163743300
600595,3.58,5805700,20784406
600598,6.72,6570300,44152416
600600,40.09,1156700,46372103
600383,8.99,10247200,92122328
600622,5.93,2185700,12961201
600635,4.73,14482500,68502225
600638,13.61,2346700,31938587
600641,3.94,2384700,9395718
600642,4.26,9753300,41549058
600643,9.1,7195700,65480870
600649,6.16,7142000,43994720
600655,7.29,3076000,22424040
600657,3.15,3024800,9528120
600660,8.33,6771000,56402430
600663,15.91,1803100,28687321
600664,6.19,4253900,26331641
600674,11.75,3740600,43952050
600675,4.73,0,0
600690,14.37,13882700,199494399
600703,22.9,6919800,158463420
600736,3.82,29788000,113790160
600737,4.85,2913100,14128535
600741,9.51,6890300,65526753
600739,14.96,12552100,187779416
600747,6.03,14087300,84946419
600748,7.49,27245400,204068046
600759,10.45,11271000,117781950
600795,2.16,30550800,65989728
600773,9.77,8029800,78451146
600804,14.38,20622500,296551550
600811,5.18,16336500,84623070
600812,4.77,5202800,24817356
600823,8.41,3212200,27014602
600832,10.98,0,0
600837,9.1,46727300,425218430
600863,3.72,10206500,37968180
600872,10.32,7217600,74485632
600875,11.67,7626700,89003589
600879,10.78,13205400,142354212
600887,33.22,15786600,524430852
600884,16.43,7055800,115926794
600895,6.43,6078400,39084112
600900,6.1,7986000,48714600
600997,4.36,4560600,19884216
600999,10,14411200,144112000
601001,5.54,14553400,80625836
601006,6.26,23446000,146771960
601009,7.97,6816700,54329099
601088,14.68,6878700,100979316
601018,2.23,34550500,77047615
601099,6.29,57635700,362528553
601101,5.58,7002000,39071160
601106,1.89,12802700,24197103
601111,3.25,7038000,22873500
601117,5.15,18557600,95571640
601158,4.89,3889000,19017210
601166,9.93,31118600,309007698
601118,6.21,36591500,227233215
601168,5.38,22800900,122668842
601179,3.55,8064100,28627555
601169,8.03,22668100,182024843
601186,4.55,8242700,37504285
601288,2.53,53135800,134433574
601268,2.35,0,0
601299,4.38,19981000,87516780
601318,39.7,13430500,533190850
601328,3.86,29941500,115574190
601377,8.36,29545600,247001216
601390,2.55,16876700,43035585
601398,3.39,48194400,163379016
601588,2.43,5315800,12917394
601600,3.05,10840300,33062915
601607,12.16,6016500,73160640
601601,18.09,12888900,233160201
601618,1.69,14469100,24452779
601628,13.6,3960000,53856000
601666,4.05,4084500,16542225
601668,2.81,30620300,86043043
601688,7.46,32538600,242737956
601699,7.51,8115000,60943650
601718,2.39,8361600,19984224
601717,4.76,9039100,43026116
601766,4.33,18841300,81582829
601727,3.82,7049000,26927180
601788,7.85,7362800,57797980
601818,2.53,56357800,142585234
601808,17.19,5743600,98732484
601857,7.53,14218000,107061540
601888,32.18,1918100,61724458
601866,2.11,6454600,13619206
601898,3.99,7610100,30364299
601899,2.17,31578800,68525996
601919,2.94,4067700,11959038
601939,4.11,15673200,64416852
601958,7.1,19129000,135815900
601988,2.77,59990100,166172577
601998,4.27,20629400,88087538
601989,4.51,61066500,275409915
