,Ticker,MarketCap,AvgVol,Turnover
0,500.SI,159.0M,116299,45051.0555556
5,510.SI,65.3M,59985,19329
6,519.SI,79.9M,9925090,108222.083333
7,526.SI,86.6M,3074610,128197.208333
8,528.SI,318.3M,190716,135381.243924
12,533.SI,150.7M,19552,17979.3157831
13,535.SI,18.8M,48955,124032.783333
15,538.SI,17.4M,868224,11980.4583333
20,543.SI,29.2M,6194,2491.96597222
21,544.SI,309.6M,1433850,786736.746354
24,547.SI,87.7M,4672,4137.1453125
26,552.SI,36.8M,41090,10813.3411458
28,554.SI,122.2M,1347870,192026.943751
30,558.SI,236.3M,2436130,847230.365451
31,560.SI,63.7M,410791,49998.0027892
32,561.SI,96.9M,83000,32779.7604167
33,564.SI,60.6M,15925,12259.9822917
35,566.SI,176.5M,1041130,1386581.30197
37,568.SI,244.7M,2866510,548047.232639
38,569.SI,38.5M,18522,1901.21388889
39,570.SI,29.2M,5687,1292.86111111
41,573.SI,176.1M,50657,14900.396875
43,575.SI,32.1M,438164,53276.0837451
45,578.SI,235.9M,38687,99522.4666667
46,579.SI,69.1M,9772490,355120.545865
54,588.SI,107.3M,196985,44993.8521248
55,591.SI,57.8M,426478,56357.9572917
57,593.SI,192.2M,238119,57367.0513889
60,596.SI,45.4M,156761,36254.5713542
62,5AB.SI,58.7M,94970,9418.80993785
68,5AU.SI,32.6M,50851,12706.0479167
71,5BK.SI,13.9M,6104,4993.2453125
72,5BM.SI,84.9M,218851,12437.0277778
75,5CB.SI,11.6M,99702,1569.34987345
77,5CF.SI,91.0M,37075,13516.1767361
78,5CH.SI,218.3M,597269,115045.26179
80,5CN.SI,79.1M,217970,59510.4739583
81,5CP.SI,2.649B,2495220,1382114.16556
82,5CQ.SI,185.6M,1150430,885959.296007
85,5CT.SI,62.1M,664224,69883.8381944
86,5DA.SI,375.6M,654716,388972.112911
87,5DD.SI,80.6M,18657,5670.07222222
89,5DL.SI,31.6M,41970,4647.47077357
90,5DM.SI,618.2M,2700540,844654.107023
91,5DN.SI,1.072B,2676600,7338435.28976
92,5DO.SI,71.8M,41687,24702.2453125
93,5DP.SI,180.0M,94672,44628.2454629
99,5EC.SI,12.2M,45149,66715.2669548
104,5EN.SI,541.8M,5301780,2473213.73611
105,5ER.SI,46.2M,56806,11078.7865223
106,5ET.SI,55.8M,10355300,4857584.61111
111,5FD.SI,169.8M,2920540,817993.646804
113,5FH.SI,25.8M,23037600,120485.997917
115,5FL.SI,314.8M,1059570,452501.813368
117,5FR.SI,271.2M,1391960,427311.16875
121,5GB.SI,1.452B,22699600,3001929.01758
122,5GC.SI,32.7M,6907340,2109616.3315
123,5GF.SI,13.2M,18343,2145.57986111
124,5GI.SI,171.8M,1185940,787279.706597
125,5GJ.SI,254.4M,13509400,2298405.33333
129,5HH.SI,27.3M,1142810,55683.1859375
130,5HJ.SI,21.2M,672,299.061999621
