,Ticker,Turnover
0,ABBV,0.0
1,ABT,0.0
2,ACIN,172950.0
3,ACUN,0.0
4,ADBN,111350.0
5,ADENE,0.0
6,ADVN,33220.0
7,ADXN,375469.0
8,AEVS,0.0
9,AFGN,810120.0
10,AIRE,0.0
11,ALLN,2450220.0
12,ALPH,3384790.0
13,ALSN,386880.0
14,AMS,6291540.0
15,APEN,2005.0
16,APGN,286000.0
17,APHN,1900.0
18,ARYN,6518670.0
19,ASCN,1002799.9999999999
20,AUTN,2557980.0
21,BANB,53020.0
22,BAP,0.0
23,BARN,4603200.0
24,BAS,0.0
25,BAX,0.0
26,BBN,544995.0
27,BC,116740.0
28,BCGE,22980.0
29,BCHN,2973300.0
30,BCJ,0.0
31,BCVN,3138450.0
32,BEAN,1233500.0
33,BEKN,360400.0
34,BELL,0.0
35,BHI,0.0
36,BKW,987840.0
37,BLIN,13175.0
38,BLKB,196900.0
39,BOBNN,1928409.9999999998
40,BON,0.0
41,BOS,0.0
42,BPDG,10131.0
43,BRKN,294450.0
44,BSKP,180960.0
45,BSLN,6247260.0
46,BUCN,2244000.0
47,BVZN,0.0
48,CADN,1540.0
49,CALN,78240.0
50,CAT,0.0
51,CFT,9500.0
52,CICN,69350.0
53,CIE,0.0
54,CKWN,0.0
55,CLTN,299200.0
56,CLXN,0.0
57,COPN,1210300.0
58,COTN,2842000.0
59,CPGN,43600.0
60,CPHN,0.0
61,CYTN,169676.0
62,CZH,238000.0
63,DAE,995039.9999999999
64,DAN,170100.0
65,DCN,0.0
66,DESN,0.0
67,DKSH,10952580.000000002
68,EDHN,1600965.0
69,EDIE,0.0
70,EFGN,483840.0
71,ELMN,0.0
72,EMMN,602000.0
73,EMSN,3391075.0
74,EPH,0.0
75,ESUN,2600.0
76,EVE,4257652.0
77,FHZN,1846200.0
78,FORN,2834200.0
79,FORNE,0.0
80,FTON,7375.0
81,GALN,8735000.0
82,GAM,4997045.0
83,GAME,157600.0
84,GATE,2514980.0
85,GAV,44900.0
86,GBMN,34830.0
87,GE,4530.0
88,GEBNE,0.0
89,GFMN,6453.0
90,GOB,0.0
91,GOLI,45770.0
92,GRKP,370500.0
93,GT,0.0
94,GUR,254000.0
95,HBLN,0.0
96,HELN,4504500.0
97,HLEE,0.0
98,HOCN,100800.0
99,HREN,0.0
100,HUBN,209660.0
101,HUE,115500.0
102,HUN,0.0
103,IFCN,1276800.0
104,IHSN,0.0
105,IMPN,4118380.0
106,IMZ,0.0
107,INDNE,0.0
108,INI,0.0
109,INRN,54500.0
110,IPS,0.0
111,IS,235550.0
112,JFN,60345.0
113,KABN,2489800.0
114,KARN,111439.99999999999
115,KOMN,1170300.0
116,KUD,1109220.0
117,KUNN,2404500.0
118,LECN,58233.0
119,LEHN,2043000.0
120,LEON,0.0
121,LIFE,137772.0
122,LINN,0.0
123,LISN,4980000.0
124,LISP,5849200.0
125,LLB,1946415.0
126,LLY,0.0
127,LOEP,18000.0
128,LOGN,5069200.0
129,LOHN,372500.0
130,LUKN,213600.0
131,MASN,306600.0
132,MBTN,10098880.0
133,MCHN,276000.0
134,METN,1462200.0
135,MIKN,37150.0
136,MMM,0.0
137,MOB,86130.0
138,MOBN,2519370.0
139,MYRN,58435.0
140,NATN,578690.0
141,NESNE,0.0
142,NEWN,0.0
143,NIBN,0.0
144,NIHN,83000.0
145,NOBN,10516850.0
146,NWRN,995500.0000000001
147,ODHN,1079140.0
148,OERL,22162500.0
149,OFN,0.0
150,ORON,207100.0
151,PARG,1910794.9999999998
152,PAXN,0.0
153,PCG,0.0
154,PEAN,124804.99999999999
155,PED,0.0
156,PEDP,0.0
157,PEL,5300.0
158,PEP,0.0
159,PFE,0.0
160,PGHN,6384480.0
161,PM,169350.0
162,PMI,36375.0
163,PRFN,0.0
164,PSPN,3761875.0
165,PUBN,121770.0
166,PUBNE,0.0
167,PWTN,1469160.0
168,REPI,0.0
169,REPP,52850.0
170,RIEN,3469200.0
171,RLD,0.0
172,RO,5128500.0
173,ROL,133740.0
174,SAHN,162750.0
175,SANN,146400.0
176,SCHN,2442440.0
177,SCHPE1,528800.0
178,SCR,30250.0
179,SFPN,39000.0
180,SFZN,241500.0
181,SGKN,1295000.0
182,SHLTN,2397.0
183,SIN,290000.0
184,SLB,0.0
185,SLOG,51837.00000000001
186,SMET,0.0
187,SNBN,0.0
188,SOPN,0.0
189,SQN,273800.0
190,STGN,138550.0
191,STLN,4547750.0
192,STMN,3449330.0
193,STRN,0.0
194,SUN,0.0
195,SWTQ,669000.0
196,SWTQE,0.0
197,TAMN,68400.0
198,TECN,975200.0
199,TEMN,11411550.0
200,TIBN,216120.0
201,TMX,149960.0
202,TOHN,9310.0
203,UBXN,2094400.0
204,UHRN,8162190.0
205,USIN,0.0
206,VAHN,348300.0
207,VALN,1134580.0
208,VATN,1163500.0
209,VBSN,0.0
210,VCH,125995.0
211,VET,1047000.0
212,VIJN,0.0
213,VILN,0.0
214,VLRT,0.0
215,VONN,760450.0
216,VPB,47550.0
217,VZN,46950.0
218,WARN,0.0
219,WFT,220440.0
220,WKB,149300.0
221,WMN,245100.0
222,WMNE,0.0
223,YPSN,54355.00000000001
224,ZEH,582200.0
225,ZG,0.0
226,ZMH,0.0
227,ZUBN,0.0
228,ZUGN,117800.0
229,ZWM,0.0
