,Ticker,Turnover
0,ACDP,0.0
1,ADGR,50982.0
2,ADO,540.0
3,ADVT,1200.0
4,AFHL,75012.0
5,AFID,0.0
6,AFIL,1934064.0
7,AFPR,266067.0
8,AFRE,11986.0
9,ALBA,72028.0
10,ALD,3552.0
11,ALGS,0.0
12,ALLT,1037400.0
13,ALMD,5640.0
14,ALVR,201354.00000000003
15,AMAN,0.0
16,AMOT,5811168.0
17,AMPL,0.0
18,AMS,1720.0
19,ANGL,13760.0
20,ANLT,48100.0
21,AOC,1935.0
22,APOS,11656.0
23,ARAD,0.0
24,ARAN,159600.0
25,ARD,187464.0
26,ARGM,2029.9999999999998
27,ARKO,105000.0
28,ARPT,1937949.9999999998
29,ARYT,19684.000000000004
30,ARZM,0.0
31,ASDR,3780.0
32,ASDV,3350.0
33,ASGR,123284.0
34,ASHO,56925.0
35,ASPR,161994.0
36,AUDC,927875.0
37,AURA,20850.0
38,AVER,10980.0
39,AVGL,158184.0
40,AVIA,12460.0
41,AVIV,25400.0
42,AVLN,122925.0
43,AYAL,71625.0
44,AZRG,2562750.0
45,AZRM,314084.0
46,BBYL,3434112.0
47,BCEL,156066.0
48,BCNV,184680.0
49,BCOM,2103990.0
50,BEZQ,14359440.0
51,BGI,266.0
52,BICL,93291.0
53,BIG,392559.99999999994
54,BIOV,36084.0
55,BLRX,503990.0
56,BLSR,897000.0
57,BMDX,9660.0
58,BNIN,0.0
59,BOLT,428789.0
60,BRAM,32638.999999999996
61,BRAN,306816.0
62,BRIL,22806.0
63,BRIN,25735320.0
64,BRMG,2796.0
65,BSEN,20052.0
66,BSI,845920.0
67,BSP,13350.0
68,BYAR,5500.0
69,BYSD,287130.0
70,CAMT,962808.0
71,CAST,52160.0
72,CBI,1015338.0
73,CDEV,401660.0
74,CEL,1448525.0
75,CFBI,653956.0
76,CGEN,2804232.0
77,CHAM,4600.0
78,CII,0.0
79,CISY,5850.0
80,CLIS,2065986.0
81,CLPT,73791.0
82,CMER,43692.0
83,CPTP,4158.0
84,CRMT,19573.0
85,CRNT,359384.0
86,CRSO,15728.0
87,CTCH,64100.0
88,CTPL1,0.0
89,DANE,144480.0
90,DANH,1951.0000000000002
91,DIMRI,520174.0
92,DISI,3362780.0
93,DLEA,638925.0
94,DLEKG,5272600.0
95,DLEN,229900.0
96,DNA,4598.0
97,DNYA,59820.00000000001
98,DORI,143016.0
99,DPRM,156604.00000000003
100,DRAL,14572.0
101,DRCN,129780.0
102,DROM,9576.000000000002
103,DRSL,1844.0000000000002
104,DSCT,6208668.0
105,DXIL,0.0
106,ECJM,1117208.0
107,ECP,777095.0
108,EDRL,2288.0
109,ELAL,382740.0
110,ELCO,570720.0
111,ELCRE,92829.0
112,ELDAV,2100.0
113,ELRN,651725.0
114,ELSPC,57720.0
115,ELTR,415760.00000000006
116,EMCO,11184.0
117,EMDV,11220.0
118,EMIT,7408260.0
119,EMTC,157110.0
120,ENDY,11399.999999999998
121,ENLT,319636.0
122,ENRG,0.0
123,EQTL,489767.0
124,ESLT,8114680.0
125,ETVW,8514.0
126,EVGN,1241105.9999999998
127,EXCE,4721.0
128,EXEN,129636.0
129,EXPO,2200.0
130,EXTR,0.0
131,EZ,4400.0
132,EZCH,1973398.0
133,FBRT,134715.0
134,FIBI,698804.0
135,FIBR,1197.0
136,FLSN,0.0
137,FORT,0.0
138,FOX,6983709.0
139,FRDN,8880.0
140,FRUT,14297400.0
141,FTIN,3802573.0
142,FVT,0.0
143,GAON,2080.0
144,GEFEN,9.0
145,GIBC,3322.0
146,GILN,5000.0
147,GIVN,0.0
148,GLCM,10040.0
149,GLPL,30912.0
150,GLVR,12945.0
151,GNGR,77616.0
152,GOHO,29000.0
153,GOLD,79640.0
154,GOLF,118286.0
155,GRTN,224.00000000000003
156,GSFI,27280.0
157,GTR,14447.999999999998
158,HAML,22912.0
159,HAP,159120.0
160,HARL,4661297.0
161,HDST,75548.0
162,HMAM,0.0
163,HOD,2830.0
164,IBI,0.0
165,IBLD,417147.0
166,ICCM,101796.00000000001
167,ICL,24585174.0
168,IDBH,1064250.0
169,IE,108841.0
170,IES,104940.0
171,IGLD,359283.0
172,ILCO,3163700.0
173,ILDC,209475.0
174,IMCO,46970.0
175,ININ,103740.0
176,INSL,947430.0000000001
177,INTCL,6335.0
178,INTP,81400.0
179,INTR,0.0
180,IPC,0.0
181,ISAL,0.0
182,ISRO,3720.0000000000005
183,ISRS,144000.0
184,ISTA,15240.0
185,ITGI,277056.0
186,ITMR,577395.0
187,ITRN,632958.0
188,JBKT,2430.0
189,JBNK,25515.0
190,JOEL,1771910.0
191,KARE,13778.0
192,KETR,6150.0
193,KLIL,107050.0
194,KLIR,0.0
195,KMDA,2274384.0
196,KMNH,0.0
197,KMOR,0.0
198,KNFM,1938.0
199,KOR,0.0
200,KRIS,35154.0
201,KRNV,12636.0
202,KRUR,244836.00000000003
203,KRYT,7548.000000000001
204,KTOV,9506.0
205,LAPD,3000.0
206,LBTL,12389.0
207,LDER,149930.0
208,LDRC,21920.0
209,LEVA,0.0
210,LEVI,0.0
211,LHIS,36500.0
212,LIFE,0.0
213,LODZ,11000.0
214,LPSN,686720.0
215,LUDN,154468.0
216,LUMI,17780900.0
217,LVPR,12284.0
218,LVR,63288.0
219,MABR,146421.0
220,MARA,23711.999999999996
221,MAYN,2100.0
222,MBMX,0.0
223,MCTC,89585.0
224,MDCL,383850.0
225,MDGS,8493.0
226,MDPR,14905.999999999998
227,MEDI,65945.0
228,MEDN,89460.0
229,MEYD,0.0
230,MGDL,2930256.0
231,MGIC,329226.0
232,MGOR,5950.0
233,MISH,1079300.0
234,MLRG,4780.0
235,MLSR,840567.0
236,MLTM,200663.99999999997
237,MLTX,0.0
238,MMAN,158470.0
239,MMHD,3527599.0000000005
240,MNIN,96642.0
241,MNRV,38760.0
242,MRPR,744.0
243,MSHR,68310.0
244,MSLA,6468.0
245,MTCO,8500.0
246,MTRN,133172.0
247,MTRX,895050.0
248,MZOR,2596800.0
249,MZTF,6050094.0
250,NAWI,454342.0
251,NCT,2400.0
252,NETZ,2580.0
253,NFTA,397509.0
254,NICE,2395960.0
255,NISA,55907.0
256,NRH,2247.0
257,NSEL,9708.0
258,NSKO,90750.0
259,NSVX,0.0
260,NTBA,1521772.0
261,NTGR,7011.0
262,NTO,203610.0
263,NTS,6345.0
264,NTX,171080.0
265,NVMI,721266.0
266,NXGN,507096.0
267,NXTM,6899.999999999999
268,OGEN,24480.0
269,OHH,0.0
270,ONE,52381.0
271,OPAL,6844.0
272,ORAD,0.0
273,ORBI,59598.0
274,ORCT,0.0
275,ORIN,8105.0
276,ORL,2498059.0
277,ORMT,1929583.0
278,ORTC,16638.0
279,ORTM,5712.000000000001
280,OSEM,2291290.0
281,PAYT,1248.0
282,PCBT,248400.0
283,PERI,450882.0
284,PHMD,611830.0
285,PHOE1,793860.0
286,PIH,192.0
287,PINR,0.0
288,PIU,17388.0
289,PLMG,6348.0
290,PLRC,18672.0
291,PLRM,18551.0
292,PLSN,1410070.0
293,PLST,478583.99999999994
294,PLX,629423.9999999999
295,POLI,21866250.0
296,POLRM,190368.0
297,PPIL,9000.0
298,PRGO,0.0
299,PRSD,11500.0
300,PRSK,6720.0
301,PRTC,64504.0
302,PRTL,2340.0
303,PSTI,903903.0
304,PTBL,474600.0
305,PTCH,1960.0
306,PTGR,0.0
307,PTNR,2094638.0
308,PZOL,1236020.0
309,QLTU,14915.0
310,QNCO,1848.0
311,RAVD,1790.0
312,RDHL,122400.0
313,REKA,64650.0
314,RHTCH,2500.0
315,RIMO,5880.0
