Ticker,Close,Vol,Turnover
AAB,0.14,31000,4340
AAV,7.18,361400,2594852
ABT,6.78,104100,705798
ABX,19.23,1830700,35204361
ACC,7.5,15000,112500
ACD,9.16,0,0
AD,29,150000,4350000
AEI,7.61,27500,209275
AEM,39.84,901900,35931696
AEZ,1.2,17500,21000
AF,11.2,500,5600
AFN,47.45,15600,740220
AGI,10.44,175800,1835352
AGT,21.88,78800,1724144
AGU,98.51,338100,33306231
AHX,1.38,18800,25944
AIF,23.22,178000,4133160
ALA,48.89,224400,10970916
ALB,18.35,400,7340
ALC,16.42,1400,22988
ALS,12.56,20500,257480
AM,2.18,41600,90688
AMF,0.32,82000,26240
AMM,1.47,7400,10878
ANV,4,121500,486000
ANS,2.76,119700,330372
ANX,0.09,60100,5409
APY,3.03,500,1515
AQA,0.1,0,0
AR,4.34,454300,1971662
ARE,16.81,286000,4807660
ARG,0.43,20600,8858
ARX,32.38,584400,18922872
ARL,0.42,0,0
ASR,2.62,153800,402956
ATA,15.34,389500,5974930
ATH,7.35,1047000,7695450
ATN,0.13,204000,26520
ATP,3.95,386400,1526280
AUE,0.45,0,0
AUM,1.17,38200,44694
AUQ,4.57,361200,1650684
AVK,0.13,0,0
AVL,0.49,185000,90650
AVP,0.1,0,0
AXL,0.24,131500,31560
AXR,1.4,205800,288120
AXX,2.83,37100,104993
AXY,0.35,121600,42560
AZC,3.38,213800,722644
BAA,0.48,320400,153792
BAN,0.08,193400,15472
BBO,12.4,16700,207080
BCB,7.42,19200,142464
BCE,48.16,980900,47240144
BCI,21.9,200,4380
BDT,13.32,14700,195804
BIN,27.27,71900,1960713
BIR,14.19,266400,3780216
BK,13.15,6000,78900
BKI,0.12,418800,50256
BKP,3.02,0,0
BKX,1.53,54400,83232
BLD,4.41,603300,2660553
BLU,1.25,47100,58875
BLX,13.25,302500,4008125
BMO,77.87,962400,74942088
BNC,0.19,126300,23997
BNE,61.75,65200,4026100
BNK,6.89,1081500,7451535
BNP,16.26,419700,6824322
BOS,9.19,3700,34003
BOY,0.61,0,0
BQE,0.05,3000,150
BRB,1.2,24800,29760
BRE,14.05,8400,118020
BNS,71.43,1694400,121030992
BRP,22.26,12500,278250
BRY,1.51,361400,545714
BSC,21.8,400,8720
BU,4.13,8400,34692
BTO,3.09,3982400,12305616
BUI,6.55,300,1965
BX,0.71,2500,1775
BZA,0.02,0,0
CAB,20.37,7500,152775
CAL,0.93,60600,56358
CAE,13.95,576700,8044965
CAM,13.49,18900,254961
CAX,0.02,3500,70
CAS,6.55,54500,356975
CAZ,0.38,159100,60458
CBN,18.46,500,9230
CBD,21.32,6000,127920
CBO,19.67,94100,1850947
CBQ,24.08,6800,163744
CBR,21.73,2700,58671
CBU,32.85,0,0
CCM,0.08,27500,2200
CCA,58.45,64000,3740800
CCO,20.63,500700,10329441
CCZ,0.47,10000,4700
CDH,2.05,29700,60885
CDG,0.04,59800,2392
CDU,0.09,1100,99
CDV,4.27,34400,146888
CDZ,26.15,47800,1249970
CEG,0.05,19700,985
CEE,1.13,16900,19097
CEU,33.67,117600,3959592
CEW,9.95,4000,39800
CEZ,0.03,8000,240
CFB,0.14,0,0
CF,12.34,486700,6005878
CFP,23.05,470100,10835805
CFW,19.82,216400,4289048
CG,5.81,503300,2924173
CGG,2.98,192800,574544
CGI,19.16,17800,341048
CFX,12.19,14800,180412
CGJ,0.05,110800,5540
CGL,11.7,38200,446940
CGR,22.97,2200,50534
CGX,41.82,109200,4566744
CGO,54.84,12500,685500
CHB,21.55,15000,323250
CHH,0.4,202300,80920
CHI,20.57,400,8228
CHW,13.95,15500,216225
CIC,10.9,15200,165680
CIE,17.54,11600,203464
CIF,24.27,4100,99507
CIX,34.55,968800,33472040
CJT,21.76,15500,337280
CJP,11.77,3700,43549
CKE,2.21,175600,388076
CKI,10.43,13700,142891
CLL,0.23,173900,39997
CLF,19.31,26800,517508
CLO,15.56,8300,129148
CLS,13.41,127200,1705752
CLU,26.86,2800,75208
CM,96.09,733200,70453188
CMG,29.02,10000,290200
CMH,0.19,13000,2470
CMR,50,2800,140000
CMW,15.36,300,4608
CNE,6.88,704300,4845584
CNL,3.4,347900,1182860
CNQ,48.49,1815700,88043293
CNR,68.75,1110200,76326250
COP,0.08,148500,11880
COM,8.55,4700,40185
COS,24.06,974000,23434440
COW,28.85,6100,175985
CP,192.4,278900,53660360
CPD,16.37,50500,826685
CPG,46.46,751500,34914690
CPI,0.29,29000,8410
CPN,0.04,843100,33724
CPT,0.07,124200,8694
CPX,26.15,132600,3467490
CR,11.15,234700,2616905
CQE,2.89,232100,670769
CRJ,0.21,127300,26733
CRP,6.89,3900,26871
CRQ,14.67,6200,90954
CRK,0.25,151600,37900
CS,2.5,1346700,3366750
CSD,20.45,11700,239265
CSU,249.61,40900,10209049
CSY,8.32,26400,219648
CTA,4.62,596300,2754906
CTC,146.58,200,29316
CTY,19.33,5600,108248
CU,39.68,161400,6404352
CUM,2.35,277700,652595
CUS,4.94,198700,981578
CUR,0.17,600,102
CUV,0.73,10300,7519
CVD,19.57,10300,201571
CVE,34.23,1381400,47285322
CVG,23.24,600,13944
CVL,21.12,16400,346368
CVT,0.84,0,0
CWF,4.22,0,0
CWO,30.74,200,6148
CWW,24.38,2500,60950
CWX,5.55,82700,458985
CXF,9.96,2900,28884
CXN,0.14,0,0
CXS,1.92,58200,111744
CYB,24.09,1400,33726
CYH,17.9,5700,102030
CZQ,0.45,800,360
CZN,0.31,165700,51367
DBO,0.27,0,0
DD,2.24,0,0
DEJ,0.22,0,0
DEE,4.27,525500,2243885
DEN,0.2,288100,57620
DF,8.8,30100,264880
DGC,14.05,791500,11120575
DFN,12,53800,645600
DGS,10.15,36400,369460
DHX,6.59,370900,2444231
DL,9.41,0,0
DLR,10.67,47500,506825
DM,0.6,47200,28320
