,Ticker,Turnover
0,ABE,0.0
1,AEM,0.0
2,AGLT,11200.0
3,AGR,34700.0
4,AIN,14000.000000000002
5,AMAG,14172.0
6,ANDR,5115124.0
7,ATB,0.0
8,ATEC,0.0
9,ATRS,0.0
10,ATS,226324.0
11,AW2,0.0
12,BENE,1020.0000000000001
13,BFC,8325.0
14,BHD,0.0
15,BIND,0.0
16,BPTY,60520.00000000001
17,BWT,12688.0
18,C8I,0.0
19,CAI,1706600.0
20,CEG,0.0
21,CRF,0.0
22,CWI,1404039.0
23,DOC,432000.0
24,EAGB,8000.0
25,EBS,10305405.0
26,ECO,0.0
27,ETV,0.0
28,EVN,440298.0
29,FKA,1872.0
30,FLU,758328.0
31,GAGS,0.0
32,HEAD,0.0
33,HED,0.0
34,HIS,0.0
35,HST,0.0
36,HTI,96.0
37,HUS,0.0
38,IIA,6870030.0
39,IPO,0.0
40,KTCG,1165500.0
41,KTM,7326.000000000001
42,LNZ,1052710.0
43,LTH,0.0
44,MAN,0.0
45,MTHO,0.0
46,OBS,0.0
47,OESD,0.0
48,OMV,2834166.0
49,OTS,0.0
50,PAL,406375.0
51,PARS,18389.0
52,PIN,0.0
53,PLA,0.0
54,POS,472000.0
55,POST,1311960.0
56,PYT,362670.0
57,QCP,0.0
58,QINO,848.0
59,RAT,0.0
60,RBI,4611592.0
61,RHI,384800.0
62,ROS,151938.0
63,SAC,5856.0
64,SBO,336880.0
65,SEM,234050.0
66,SGS,0.0
67,SLBS,0.0
68,SPI,339090.0
69,STM,0.0
70,STR,441000.0
71,SWUT,570.0
72,TEAK,3146.0
73,TKA,3703700.0
74,UBS,1580.0
75,UIV,13245.0
76,UQA,740554.0
77,VBPS,725.0
78,VER,5040700.0
79,VIG,929376.0000000001
80,VLA,1766160.0
81,VOE,4607850.0
82,VVPS,0.0
83,WIE,902259.0
84,WOL,1800.0
85,WPB,0.0
86,WXF,41760.0
87,ZAG,1286900.0
88,ZOO,0.0
