,Ticker,MarketCap,AvgVol,Turnover
1,1P2.DE,8.5M,34405,2170.19362614
2,1PL.DE,29.9M,6238,35953.0020483
3,1VS.DE,33.0M,406615,13179.5614222
4,2GB.DE,129.8M,3532,208254.544738
8,3RB.DE,45.923B,2158,190320.216383
10,3W9.DE,11.9M,72891,-
11,49G.DE,19.0M,5687,7948.41366573
12,4BY.DE,1.399B,7033,475.087165841
13,4DS.DE,66.4M,2462,29328.1294095
14,4FF.DE,8.435B,900,139.022703199
15,4WM.DE,2.2M,400,-
16,5AB.DE,19.7M,26816,62877.2329791
18,75C.DE,21.101B,15,105.738983829
19,7A2.DE,43.928B,1355,687.81323706
22,8GC.DE,53.143B,17703,111730.160361
24,8GS.DE,36.3M,15785,51594.4089583
26,A3E.DE,7.0M,3607,2390.87864358
28,A6R.DE,276.5M,0,2121.94039969
29,A6T.DE,3.0M,3396,2156.16421281
30,A7A.DE,16.8M,1837,4300.4656081
31,A8A.DE,22.8M,3609,4608.01779535
32,AAD.DE,291.2M,11727,473510.634618
33,AAGN.DE,83.3M,2362,8405.22800916
34,AAQ.DE,93.6M,25125,101957.830115
35,AB1.DE,151.3M,263547,425472.563523
36,ABE1.DE,221.0M,427,23695.6855797
37,ABJ.DE,38.350B,9779,212823.506171
38,ABL.DE,45.058B,357,-
39,ABR.DE,15.246B,62800,1281607.23167
40,ACT.DE,10.345B,752,31656.1530961
41,ACWN.DE,89.6M,915,-
42,ACX.DE,162.7M,1977,55212.5775109
43,AD2.DE,3.940B,2910,767.257962008
44,ADD.DE,230.7M,30127,341868.958597
45,ADI1.DE,10.644B,144,10044.6083227
46,ADL.DE,102.1M,42185,120471.35929
47,ADM.DE,21.100B,467,6080.59802875
48,ADN1.DE,78.7M,3616,36465.7374346
49,ADS.DE,15.243B,1004137,76342672.8804
50,ADV.DE,147.0M,64943,474869.423047
52,AEI.DE,147.5M,6757,242048.070552
53,AFX.DE,1.697B,41935,1072345.36621
54,AGE.DE,350.6M,22135,12590.5952627
56,AGYA.DE,3.6M,2548,1411.41375
57,AINN.DE,57.627B,1027,45387.641778
58,AIXA.DE,1.171B,538165,6264348.64085
59,AJ3.DE,3.760B,70,2826.7688941
61,AJA.DE,106.1M,2945,72435.9272422
62,ALG.DE,4.7M,6808,2713.72293902
63,ALU.DE,12.866B,8719,-
64,ALV.DE,55.152B,1309776,183217851.461
65,AMG.DE,66.209B,419,54723.691462
66,ANO.DE,53.4M,117285,169658.431155
67,AOF.DE,118.5M,1317,36811.834507
68,APM.DE,19.5M,27138,24186.7667568
69,AQE.DE,17.104B,455,700.117152778
70,AR4.DE,861.7M,44026,1471400.22864
71,ARL.DE,2.034B,203875,6220724.38105
72,ARM.DE,15.463B,1427,39373.4553317
73,ARO.DE,4.5M,401941,3471.12389489
74,ARRB.DE,19.493B,19795,244537.847299
75,ART.DE,17.1M,2233,12059.7987121
76,AS1.DE,10.7M,16423,23014.3499764
77,ASG.DE,25.089B,1060,14670.6939835
78,ATF.DE,16.3M,7367,71142.2063339
80,AUS.DE,373.4M,6903,54954.5555575
81,AV7.DE,19.7M,802,706.329546051
83,AXA.DE,42.293B,25219,-
84,AYO.DE,3.928B,3206,14182.2871972
85,AYO2.DE,2.946B,506,656.650060024
86,AZ2.DE,4.373B,2453,96300.9865899
88,AZU.DE,2.498B,728,6479.27932292
89,B5A.DE,319.6M,16235,461007.585021
90,B7E.DE,17.2M,2237,12825.5998319
91,B8A.DE,214.2M,661,45813.1631687
92,B8F.DE,62.4M,10570,60324.6109137
94,BAF.DE,194.0M,85454,1103681.22662
